project,analysis_key,date,project_version,revision
TUT:Kactus2,AWHhG4Qb2_fMMS5C--KY,2018-03-01 10:13:56,,
TUT:Kactus2,AWHgU0WM2_fMMS5C-9YZ,2018-03-01 06:37:11,,
TUT:Kactus2,AWG9SHXC2_fMMS5C-9X6,2018-02-22 10:44:09,,
TUT:Kactus2,AWG8sUTr2_fMMS5C-pBP,2018-02-22 08:00:48,,
TUT:Kactus2,AWG4t2Y-2_fMMS5C-pBK,2018-02-21 14:06:51,,
TUT:Kactus2,AWG4oCcN2_fMMS5C-pBF,2018-02-21 13:43:27,,
TUT:Kactus2,AWG4mJzk2_fMMS5C-pBA,2018-02-21 13:35:27,,
TUT:Kactus2,AWG4Vj8z2_fMMS5C-pA7,2018-02-21 12:21:15,,
TUT:Kactus2,AWG4ToNs2_fMMS5C-pA2,2018-02-21 12:11:51,,
TUT:Kactus2,AWG4OHau2_fMMS5C-pAQ,2018-02-21 11:48:06,,
TUT:Kactus2,AWG3olqF2_fMMS5C-ozS,2018-02-21 09:05:17,,
TUT:Kactus2,AWGzW2u02_fMMS5C-ozN,2018-02-20 13:14:14,,
TUT:Kactus2,AWGzNbuk2_fMMS5C-ozI,2018-02-20 12:33:45,,
TUT:Kactus2,AWGzMjtr2_fMMS5C-oy_,2018-02-20 12:29:54,,
TUT:Kactus2,AWGzK5LM2_fMMS5C-oLm,2018-02-20 12:21:35,,
TUT:Kactus2,AWGzFC-HydEVvPZ14WRt,2018-02-20 11:58:08,,
