project,analysis_key,date,project_version,revision
firefox,AV5jb5x6G0XxMwG_WMIm,2017-09-08 21:13:38,,
firefox,AV5iytSfG0XxMwG_WMFk,2017-09-08 18:20:28,,
firefox,AV5ir2O4G0XxMwG_WME5,2017-09-08 17:59:07,,
firefox,AV5eZVr9G0XxMwG_WLvA,2017-09-07 21:50:34,,
firefox,AV5dNpdhG0XxMwG_WLpz,2017-09-07 16:11:05,,
firefox,AV5ZB3HPG0XxMwG_WLRK,2017-09-06 20:51:38,,
firefox,AV5Yfhw_G0XxMwG_WLMV,2017-09-06 18:15:16,,
firefox,AV5Tjq4sG0XxMwG_WKxS,2017-09-05 19:22:03,,
firefox,AV5TIM8WG0XxMwG_WKu0,2017-09-05 17:15:58,,
firefox,AV5S6eJaG0XxMwG_WKtL,2017-09-05 16:30:16,,
firefox,AV5BuBtYG0XxMwG_WIuI,2017-09-01 21:56:39,,
firefox,AV47CrYWG0XxMwG_WHzg,2017-09-01 01:12:14,,
firefox,AV41iNEVG0XxMwG_WHH0,2017-08-30 23:39:56,,
firefox,AV41doaMG0XxMwG_WHHR,2017-08-30 23:06:55,,
firefox,AV40r5QmG0XxMwG_WG5E,2017-08-30 18:15:24,,
firefox,AV4x5cTXG0XxMwG_WGgM,2017-08-29 20:03:39,,
firefox,AV4f0XuXG0XxMwG_Vs8H,2017-08-26 01:46:17,,
firefox,AV4Tc8F2G0XxMwG_VOas,2017-08-24 00:40:32,,
