project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:ant,AVzy6B2QqygeeigI_vjJ,AVzy6B2QqygeeigI_vjJ,AVzy6CZaqygeeigI_vxV,CODE_SMELL,squid:S1488,MINOR,OPEN,,2,2,clumsy,2017-06-29 07:34:40,2017-06-29 07:34:40,,"Immediately return this expression instead of assigning it to the temporary variable ""o"".",QC:ant:src/main/org/apache/tools/ant/AntTypeDefinition.java,274.0,274.0,23.0,52.0,,
QC:ant,AVzy6B2QqygeeigI_vjJ,AVzy6B2QqygeeigI_vjJ,AVzy6CZaqygeeigI_vxW,CODE_SMELL,squid:S1192,MINOR,OPEN,,12,12,design,2017-06-29 07:34:40,2017-06-29 07:34:40,,"Define a constant instead of duplicating this literal ""Could not create type "" 5 times.",QC:ant:src/main/org/apache/tools/ant/AntTypeDefinition.java,279.0,279.0,16.0,40.0,,
QC:ant,AVzy6B2QqygeeigI_vjJ,AVzy6B2QqygeeigI_vjJ,AVzy6CZaqygeeigI_vxX,CODE_SMELL,squid:S1067,MAJOR,OPEN,,8,8,brain-overload,2017-06-29 07:34:40,2017-06-29 07:34:40,,Reduce the number of conditional operators (6) used in the expression (maximum allowed 3).,QC:ant:src/main/org/apache/tools/ant/AntTypeDefinition.java,344.0,349.0,15.0,50.0,,
QC:ant,AVzy6B2QqygeeigI_vjJ,AVzy6B2QqygeeigI_vjJ,AVzy6CZaqygeeigI_vxY,CODE_SMELL,squid:S1067,MAJOR,OPEN,,7,7,brain-overload,2017-06-29 07:34:40,2017-06-29 07:34:40,,Reduce the number of conditional operators (5) used in the expression (maximum allowed 3).,QC:ant:src/main/org/apache/tools/ant/AntTypeDefinition.java,364.0,371.0,12.0,41.0,,
QC:ant,AVzy6B2QqygeeigI_vjJ,AVzy6B2QqygeeigI_vjJ,AVzy6CZaqygeeigI_vxZ,CODE_SMELL,squid:S1066,MAJOR,OPEN,,5,5,clumsy,2017-06-29 07:34:40,2017-06-29 07:34:40,,Merge this if statement with the enclosing one.,QC:ant:src/main/org/apache/tools/ant/AntTypeDefinition.java,224.0,224.0,12.0,14.0,,
QC:ant,AVzy6B2QqygeeigI_vjJ,AVzy6B2QqygeeigI_vjJ,AVzy6CZaqygeeigI_vxa,CODE_SMELL,squid:S1172,MAJOR,OPEN,,5,5,"cert,misra,unused",2017-06-29 07:34:40,2017-06-29 07:34:40,,"Remove this unused method parameter ""project"".",QC:ant:src/main/org/apache/tools/ant/AntTypeDefinition.java,363.0,363.0,70.0,77.0,,
QC:ant,AVzy6B2QqygeeigI_vjJ,AVzy6B2QqygeeigI_vjJ,AVzy6CZaqygeeigI_vxb,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-06-29 07:34:40,2017-06-29 07:34:40,,Either log or rethrow this exception.,QC:ant:src/main/org/apache/tools/ant/AntTypeDefinition.java,169.0,169.0,17.0,43.0,,
QC:ant,AVzy6B2QqygeeigI_vjJ,AVzy6B2QqygeeigI_vjJ,AVzy6CZaqygeeigI_vxc,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-06-29 07:34:40,2017-06-29 07:34:40,,Either log or rethrow this exception.,QC:ant:src/main/org/apache/tools/ant/AntTypeDefinition.java,173.0,173.0,17.0,44.0,,
QC:ant,AVzy6B2QqygeeigI_vjJ,AVzy6B2QqygeeigI_vjJ,AVzy6CZaqygeeigI_vxd,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-06-29 07:34:40,2017-06-29 07:34:40,,Either log or rethrow this exception.,QC:ant:src/main/org/apache/tools/ant/AntTypeDefinition.java,276.0,276.0,17.0,45.0,,
QC:ant,AVzy6B2QqygeeigI_vjJ,AVzy6B2QqygeeigI_vjJ,AVzy6CZaqygeeigI_vxe,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-06-29 07:34:40,2017-06-29 07:34:40,,Either log or rethrow this exception.,QC:ant:src/main/org/apache/tools/ant/AntTypeDefinition.java,284.0,284.0,17.0,43.0,,
