project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:aoi,AVzy69DpqygeeigI_xRX,AVzy69DpqygeeigI_xRX,AVzy69ffqygeeigI_xrp,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-06-29 07:54:48,2017-06-29 07:54:48,,Do not forget to remove this deprecated code someday.,QC:aoi:ArtOfIllusion/src/artofillusion/Scene.java,810.0,810.0,14.0,28.0,,
QC:aoi,AVzy69DpqygeeigI_xRX,AVzy69DpqygeeigI_xRX,AVzy69ffqygeeigI_xrr,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-06-29 07:54:48,2017-06-29 07:54:48,,Do not forget to remove this deprecated code someday.,QC:aoi:ArtOfIllusion/src/artofillusion/Scene.java,837.0,837.0,14.0,33.0,,
QC:aoi,AVzy69DpqygeeigI_xRX,AVzy69DpqygeeigI_xRX,AVzy69ffqygeeigI_xrt,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-06-29 07:54:48,2017-06-29 07:54:48,,Do not forget to remove this deprecated code someday.,QC:aoi:ArtOfIllusion/src/artofillusion/Scene.java,1049.0,1049.0,16.0,40.0,,
QC:aoi,AVzy69DpqygeeigI_xRX,AVzy69DpqygeeigI_xRX,AVzy69nTqygeeigI_yRf,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-06-29 07:54:48,2017-06-29 07:54:48,,Complete the task associated to this TODO comment.,QC:aoi:ArtOfIllusion/src/artofillusion/image/BMPEncoder.java,57.0,57.0,0.0,60.0,,
QC:aoi,AVzy69DpqygeeigI_xRX,AVzy69DpqygeeigI_xRX,AVzy69owqygeeigI_yV2,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-06-29 07:54:48,2017-06-29 07:54:48,,Do not forget to remove this deprecated code someday.,QC:aoi:ArtOfIllusion/src/artofillusion/image/filter/ImageFilter.java,114.0,114.0,29.0,42.0,,
QC:aoi,AVzy69DpqygeeigI_xRX,AVzy69DpqygeeigI_xRX,AVzy694oqygeeigI_zIG,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-06-29 07:54:48,2017-06-29 07:54:48,,Do not forget to remove this deprecated code someday.,QC:aoi:ArtOfIllusion/src/artofillusion/ui/ThemeManager.java,558.0,558.0,29.0,42.0,,
QC:aoi,AVzy69DpqygeeigI_xRX,AVzy69DpqygeeigI_xRX,AVzy695mqygeeigI_zK8,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-06-29 07:54:48,2017-06-29 07:54:48,,Complete the task associated to this TODO comment.,QC:aoi:ArtOfIllusion/src/artofillusion/util/IconGenerator.java,2012.0,2012.0,0.0,38.0,,
QC:aoi,AVzy69DpqygeeigI_xRX,AVzy69DpqygeeigI_xRX,AVzy69blqygeeigI_xc9,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-06-29 07:54:48,2017-06-29 07:54:48,,Do not forget to remove this deprecated code someday.,QC:aoi:ArtOfIllusion/src/artofillusion/Camera.java,60.0,60.0,14.0,29.0,,
QC:aoi,AVzy69DpqygeeigI_xRX,AVzy69DpqygeeigI_xRX,AVzy69blqygeeigI_xc-,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-06-29 07:54:48,2017-06-29 07:54:48,,Do not forget to remove this deprecated code someday.,QC:aoi:ArtOfIllusion/src/artofillusion/Camera.java,162.0,162.0,14.0,21.0,,
QC:aoi,AVzy69DpqygeeigI_xRX,AVzy69DpqygeeigI_xRX,AVzy69dSqygeeigI_xlI,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-06-29 07:54:48,2017-06-29 07:54:48,,Do not forget to remove this deprecated code someday.,QC:aoi:ArtOfIllusion/src/artofillusion/ModellingApp.java,28.0,28.0,13.0,25.0,,
QC:aoi,AVzy69DpqygeeigI_xRX,AVzy69DpqygeeigI_xRX,AVzy69ffqygeeigI_xrn,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-06-29 07:54:48,2017-06-29 07:54:48,,Do not forget to remove this deprecated code someday.,QC:aoi:ArtOfIllusion/src/artofillusion/Scene.java,785.0,785.0,14.0,26.0,,
