project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:c_jdbc,AV0HvUwbxxgZwiQcKzvz,AV0HvUwbxxgZwiQcKzvz,AV0HvXmUxxgZwiQcK0Cg,CODE_SMELL,squid:S134,MAJOR,OPEN,,10,10,brain-overload,2017-07-03 09:12:08,2017-07-03 09:12:08,,Refactor this code to not nest more than 3 if/for/while/switch/try statements.,QC:c_jdbc:src/org/objectweb/cjdbc/driver/PreparedStatement.java,1677.0,1677.0,10.0,13.0,,
QC:c_jdbc,AV0HvUwbxxgZwiQcKzvz,AV0HvUwbxxgZwiQcKzvz,AV0HvXmjxxgZwiQcK0Ci,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 09:12:08,2017-07-03 09:12:08,,Complete the task associated to this TODO comment.,QC:c_jdbc:src/org/objectweb/cjdbc/driver/Blob.java,265.0,265.0,0.0,35.0,,
QC:c_jdbc,AV0HvUwbxxgZwiQcKzvz,AV0HvUwbxxgZwiQcKzvz,AV0HvXmjxxgZwiQcK0Ck,CODE_SMELL,squid:S1134,MAJOR,OPEN,,,,cwe,2017-07-03 09:12:08,2017-07-03 09:12:08,,Take the required action to fix the issue indicated by this comment.,QC:c_jdbc:src/org/objectweb/cjdbc/driver/Blob.java,137.0,137.0,0.0,49.0,,
QC:c_jdbc,AV0HvUwbxxgZwiQcKzvz,AV0HvUwbxxgZwiQcKzvz,AV0HvXmjxxgZwiQcK0Cm,CODE_SMELL,squid:S1134,MAJOR,OPEN,,,,cwe,2017-07-03 09:12:08,2017-07-03 09:12:08,,Take the required action to fix the issue indicated by this comment.,QC:c_jdbc:src/org/objectweb/cjdbc/driver/Blob.java,146.0,146.0,0.0,52.0,,
QC:c_jdbc,AV0HvUwbxxgZwiQcKzvz,AV0HvUwbxxgZwiQcKzvz,AV0HvXmjxxgZwiQcK0Co,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 09:12:08,2017-07-03 09:12:08,,Replace all tab characters in this file by sequences of white-spaces.,QC:c_jdbc:src/org/objectweb/cjdbc/driver/Blob.java,,,,,,
QC:c_jdbc,AV0HvUwbxxgZwiQcKzvz,AV0HvUwbxxgZwiQcKzvz,AV0HvXmjxxgZwiQcK0Cq,CODE_SMELL,squid:S2176,MAJOR,OPEN,,5,5,pitfall,2017-07-03 09:12:08,2017-07-03 09:12:08,,Rename this class.,QC:c_jdbc:src/org/objectweb/cjdbc/driver/Savepoint.java,36.0,36.0,13.0,22.0,,
QC:c_jdbc,AV0HvUwbxxgZwiQcKzvz,AV0HvUwbxxgZwiQcKzvz,AV0HvXmjxxgZwiQcK0Cs,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 09:12:08,2017-07-03 09:12:08,,Replace this use of System.out or System.err by a logger.,QC:c_jdbc:src/org/objectweb/cjdbc/driver/Driver.java,328.0,328.0,8.0,18.0,,
QC:c_jdbc,AV0HvUwbxxgZwiQcKzvz,AV0HvUwbxxgZwiQcKzvz,AV0HvXmjxxgZwiQcK0Cu,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 09:12:08,2017-07-03 09:12:08,,Replace this use of System.out or System.err by a logger.,QC:c_jdbc:src/org/objectweb/cjdbc/driver/Driver.java,421.0,421.0,8.0,18.0,,
QC:c_jdbc,AV0HvUwbxxgZwiQcKzvz,AV0HvUwbxxgZwiQcKzvz,AV0HvXh6xxgZwiQcKz9f,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 09:12:08,2017-07-03 09:12:08,,Replace this use of System.out or System.err by a logger.,QC:c_jdbc:build/doc/examples/jmx/DBBackup.java,93.0,93.0,6.0,16.0,,
QC:c_jdbc,AV0HvUwbxxgZwiQcKzvz,AV0HvUwbxxgZwiQcKzvz,AV0HvXmjxxgZwiQcK0Cw,VULNERABILITY,squid:S2068,CRITICAL,OPEN,,30,30,"cert,cwe,owasp-a2,sans-top25-porous",2017-07-03 09:12:08,2017-07-03 09:12:08,,Remove this hard-coded password.,QC:c_jdbc:src/org/objectweb/cjdbc/driver/Driver.java,168.0,168.0,33.0,50.0,,
