project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:cayenne,AV0Mxv16t6tne_r57zRX,AV0Mxv16t6tne_r57zRX,AV0MxzjOt6tne_r570gx,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-04 08:36:08,2017-07-04 08:36:08,,Long method,QC:cayenne:framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/conf/MultiProjectConfiguration.java,1.0,1.0,0.0,66.0,,
QC:cayenne,AV0Mxv16t6tne_r57zRX,AV0Mxv16t6tne_r57zRX,AV0Mxza7t6tne_r570TS,CODE_SMELL,squid:S134,MAJOR,OPEN,,10,10,brain-overload,2017-07-04 08:36:08,2017-07-04 08:36:08,,Refactor this code to not nest more than 3 if/for/while/switch/try statements.,QC:cayenne:framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/exp/parser/ExpressionParser.java,449.0,449.0,10.0,13.0,,
QC:cayenne,AV0Mxv16t6tne_r57zRX,AV0Mxv16t6tne_r57zRX,AV0MxzjOt6tne_r570gz,CODE_SMELL,squid:ModifiersOrderCheck,MINOR,OPEN,,2,2,convention,2017-07-04 08:36:08,2017-07-04 08:36:08,,Reorder the modifiers to comply with the Java Language Specification.,QC:cayenne:framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/conf/RuntimeLoadDelegate.java,50.0,50.0,10.0,16.0,,
QC:cayenne,AV0Mxv16t6tne_r57zRX,AV0Mxv16t6tne_r57zRX,AV0Mxza7t6tne_r570TU,CODE_SMELL,squid:S134,MAJOR,OPEN,,10,10,brain-overload,2017-07-04 08:36:08,2017-07-04 08:36:08,,Refactor this code to not nest more than 3 if/for/while/switch/try statements.,QC:cayenne:framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/exp/parser/ExpressionParser.java,458.0,458.0,25.0,27.0,,
QC:cayenne,AV0Mxv16t6tne_r57zRX,AV0Mxv16t6tne_r57zRX,AV0MxzjOt6tne_r570g1,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-04 08:36:08,2017-07-04 08:36:08,,"Define a constant instead of duplicating this literal ""Warning: <node> '"" 3 times.",QC:cayenne:framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/conf/RuntimeLoadDelegate.java,273.0,273.0,24.0,43.0,,
QC:cayenne,AV0Mxv16t6tne_r57zRX,AV0Mxv16t6tne_r57zRX,AV0Mxza7t6tne_r570TW,CODE_SMELL,squid:S134,MAJOR,OPEN,,10,10,brain-overload,2017-07-04 08:36:08,2017-07-04 08:36:08,,Refactor this code to not nest more than 3 if/for/while/switch/try statements.,QC:cayenne:framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/exp/parser/ExpressionParser.java,464.0,464.0,26.0,28.0,,
QC:cayenne,AV0Mxv16t6tne_r57zRX,AV0Mxv16t6tne_r57zRX,AV0MxzjOt6tne_r570g3,CODE_SMELL,squid:S1226,MAJOR,OPEN,,5,5,"misra,pitfall",2017-07-04 08:36:08,2017-07-04 08:36:08,,"Introduce a new variable instead of reusing the parameter ""status"".",QC:cayenne:framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/conf/RuntimeLoadDelegate.java,65.0,65.0,12.0,18.0,,
QC:cayenne,AV0Mxv16t6tne_r57zRX,AV0Mxv16t6tne_r57zRX,AV0Mxza7t6tne_r570TZ,CODE_SMELL,squid:S134,MAJOR,OPEN,,10,10,brain-overload,2017-07-04 08:36:08,2017-07-04 08:36:08,,Refactor this code to not nest more than 3 if/for/while/switch/try statements.,QC:cayenne:framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/exp/parser/ExpressionParser.java,479.0,479.0,32.0,34.0,,
QC:cayenne,AV0Mxv16t6tne_r57zRX,AV0Mxv16t6tne_r57zRX,AV0MxzjOt6tne_r570g5,CODE_SMELL,squid:S1226,MAJOR,OPEN,,5,5,"misra,pitfall",2017-07-04 08:36:08,2017-07-04 08:36:08,,"Introduce a new variable instead of reusing the parameter ""adapter"".",QC:cayenne:framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/conf/RuntimeLoadDelegate.java,269.0,269.0,8.0,15.0,,
QC:cayenne,AV0Mxv16t6tne_r57zRX,AV0Mxv16t6tne_r57zRX,AV0Mxza7t6tne_r570Tb,CODE_SMELL,squid:S134,MAJOR,OPEN,,10,10,brain-overload,2017-07-04 08:36:08,2017-07-04 08:36:08,,Refactor this code to not nest more than 3 if/for/while/switch/try statements.,QC:cayenne:framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/exp/parser/ExpressionParser.java,488.0,488.0,32.0,34.0,,
QC:cayenne,AV0Mxv16t6tne_r57zRX,AV0Mxv16t6tne_r57zRX,AV0Mxza7t6tne_r570Tc,CODE_SMELL,squid:S134,MAJOR,OPEN,,10,10,brain-overload,2017-07-04 08:36:08,2017-07-04 08:36:08,,Refactor this code to not nest more than 3 if/for/while/switch/try statements.,QC:cayenne:framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/exp/parser/ExpressionParser.java,491.0,491.0,33.0,35.0,,
QC:cayenne,AV0Mxv16t6tne_r57zRX,AV0Mxv16t6tne_r57zRX,AV0MxzjOt6tne_r570g7,CODE_SMELL,squid:S1066,MAJOR,OPEN,,5,5,clumsy,2017-07-04 08:36:08,2017-07-04 08:36:08,,Merge this if statement with the enclosing one.,QC:cayenne:framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/conf/RuntimeLoadDelegate.java,483.0,483.0,12.0,14.0,,
QC:cayenne,AV0Mxv16t6tne_r57zRX,AV0Mxv16t6tne_r57zRX,AV0Mxza7t6tne_r570Te,CODE_SMELL,squid:S134,MAJOR,OPEN,,10,10,brain-overload,2017-07-04 08:36:08,2017-07-04 08:36:08,,Refactor this code to not nest more than 3 if/for/while/switch/try statements.,QC:cayenne:framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/exp/parser/ExpressionParser.java,503.0,503.0,10.0,13.0,,
