project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:collections,AV0Iawf2xxgZwiQcLjJ6,AV0Iawf2xxgZwiQcLjJ6,AV0IaxT3xxgZwiQcLjRl,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,20,20,pitfall,2017-07-03 12:24:37,2017-07-03 12:24:37,,1 duplicated blocks of code must be removed.,QC:collections:src/java/org/apache/commons/collections/bidimap/AbstractSortedBidiMapDecorator.java,,,,,,
QC:collections,AV0Iawf2xxgZwiQcLjJ6,AV0Iawf2xxgZwiQcLjJ6,AV0IaxT3xxgZwiQcLjRm,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,20,20,pitfall,2017-07-03 12:24:37,2017-07-03 12:24:37,,1 duplicated blocks of code must be removed.,QC:collections:src/java/org/apache/commons/collections/bidimap/AbstractBidiMapDecorator.java,,,,,,
QC:collections,AV0Iawf2xxgZwiQcLjJ6,AV0Iawf2xxgZwiQcLjJ6,AV0IaxT3xxgZwiQcLjRn,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,20,20,pitfall,2017-07-03 12:24:37,2017-07-03 12:24:37,,1 duplicated blocks of code must be removed.,QC:collections:src/java/org/apache/commons/collections/bidimap/AbstractOrderedBidiMapDecorator.java,,,,,,
QC:collections,AV0Iawf2xxgZwiQcLjJ6,AV0Iawf2xxgZwiQcLjJ6,AV0IaxT3xxgZwiQcLjRo,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,80,80,pitfall,2017-07-03 12:24:37,2017-07-03 12:24:37,,7 duplicated blocks of code must be removed.,QC:collections:src/java/org/apache/commons/collections/bidimap/UnmodifiableOrderedBidiMap.java,,,,,,
QC:collections,AV0Iawf2xxgZwiQcLjJ6,AV0Iawf2xxgZwiQcLjJ6,AV0IaxT3xxgZwiQcLjRp,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 12:24:37,2017-07-03 12:24:37,,Move this constructor to comply with Java Code Conventions.,QC:collections:src/java/org/apache/commons/collections/bidimap/UnmodifiableOrderedBidiMap.java,70.0,70.0,12.0,38.0,,
QC:collections,AV0Iawf2xxgZwiQcLjJ6,AV0Iawf2xxgZwiQcLjJ6,AV0IaxT3xxgZwiQcLjRq,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,120,120,pitfall,2017-07-03 12:24:37,2017-07-03 12:24:37,,11 duplicated blocks of code must be removed.,QC:collections:src/java/org/apache/commons/collections/bidimap/TreeBidiMap.java,,,,,,
QC:collections,AV0Iawf2xxgZwiQcLjJ6,AV0Iawf2xxgZwiQcLjJ6,AV0IaxT3xxgZwiQcLjRr,CODE_SMELL,squid:S1125,MINOR,OPEN,,2,2,clumsy,2017-07-03 12:24:37,2017-07-03 12:24:37,,"Remove the literal ""false"" boolean value.",QC:collections:src/java/org/apache/commons/collections/bidimap/TreeBidiMap.java,1387.0,1387.0,34.0,39.0,,
QC:collections,AV0Iawf2xxgZwiQcLjJ6,AV0Iawf2xxgZwiQcLjJ6,AV0IaxT3xxgZwiQcLjRs,CODE_SMELL,squid:S1125,MINOR,OPEN,,2,2,clumsy,2017-07-03 12:24:37,2017-07-03 12:24:37,,"Remove the literal ""false"" boolean value.",QC:collections:src/java/org/apache/commons/collections/bidimap/TreeBidiMap.java,1400.0,1400.0,56.0,61.0,,
QC:collections,AV0Iawf2xxgZwiQcLjJ6,AV0Iawf2xxgZwiQcLjJ6,AV0IaxT3xxgZwiQcLjRt,CODE_SMELL,squid:S1125,MINOR,OPEN,,2,2,clumsy,2017-07-03 12:24:37,2017-07-03 12:24:37,,"Remove the literal ""false"" boolean value.",QC:collections:src/java/org/apache/commons/collections/bidimap/TreeBidiMap.java,1682.0,1682.0,44.0,49.0,,
QC:collections,AV0Iawf2xxgZwiQcLjJ6,AV0Iawf2xxgZwiQcLjJ6,AV0IaxT3xxgZwiQcLjRu,CODE_SMELL,squid:S1125,MINOR,OPEN,,2,2,clumsy,2017-07-03 12:24:37,2017-07-03 12:24:37,,"Remove the literal ""false"" boolean value.",QC:collections:src/java/org/apache/commons/collections/bidimap/TreeBidiMap.java,1692.0,1692.0,44.0,49.0,,
