project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:colt,AV0IbJh-xxgZwiQcLkYw,AV0IbJh-xxgZwiQcLkYw,AV0IbJu6xxgZwiQcLkdy,CODE_SMELL,squid:UnusedPrivateMethod,MAJOR,OPEN,,5,5,"cert,unused",2017-07-03 12:27:04,2017-07-03 12:27:04,,"Remove this unused private ""xstaticSetRandomGenerator"" method.",QC:colt:src/cern/jet/random/Normal.java,140.0,140.0,20.0,45.0,,
QC:colt,AV0IbJh-xxgZwiQcLkYw,AV0IbJh-xxgZwiQcLkYw,AV0IbJu6xxgZwiQcLkdz,BUG,squid:S1244,CRITICAL,OPEN,,5,5,misra,2017-07-03 12:27:04,2017-07-03 12:27:04,,Equality tests should not be made with floating point values.,QC:colt:src/cern/jet/random/Normal.java,78.0,78.0,30.0,32.0,,
QC:colt,AV0IbJh-xxgZwiQcLkYw,AV0IbJh-xxgZwiQcLkYw,AV0IbJu6xxgZwiQcLkd0,BUG,squid:S1244,CRITICAL,OPEN,,5,5,misra,2017-07-03 12:27:04,2017-07-03 12:27:04,,Equality tests should not be made with floating point values.,QC:colt:src/cern/jet/random/Normal.java,78.0,78.0,64.0,66.0,,
QC:colt,AV0IbJh-xxgZwiQcLkYw,AV0IbJh-xxgZwiQcLkYw,AV0IbJu6xxgZwiQcLkd1,BUG,squid:S1244,CRITICAL,OPEN,,5,5,misra,2017-07-03 12:27:04,2017-07-03 12:27:04,,Equality tests should not be made with floating point values.,QC:colt:src/cern/jet/random/Normal.java,113.0,113.0,9.0,11.0,,
QC:colt,AV0IbJh-xxgZwiQcLkYw,AV0IbJh-xxgZwiQcLkYw,AV0IbJu6xxgZwiQcLkd2,BUG,squid:S1244,CRITICAL,OPEN,,5,5,misra,2017-07-03 12:27:04,2017-07-03 12:27:04,,Equality tests should not be made with floating point values.,QC:colt:src/cern/jet/random/Normal.java,113.0,113.0,41.0,43.0,,
QC:colt,AV0IbJh-xxgZwiQcLkYw,AV0IbJh-xxgZwiQcLkYw,AV0IbJu6xxgZwiQcLkd3,CODE_SMELL,squid:EmptyStatementUsageCheck,MINOR,OPEN,,2,2,"cert,misra,unused",2017-07-03 12:27:04,2017-07-03 12:27:04,,Remove this empty statement.,QC:colt:src/cern/jet/random/Normal.java,81.0,81.0,2.0,3.0,,
QC:colt,AV0IbJh-xxgZwiQcLkYw,AV0IbJh-xxgZwiQcLkYw,AV0IbJu6xxgZwiQcLkd4,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 12:27:04,2017-07-03 12:27:04,,Replace all tab characters in this file by sequences of white-spaces.,QC:colt:src/cern/jet/random/Normal.java,,,,,,
QC:colt,AV0IbJh-xxgZwiQcLkYw,AV0IbJh-xxgZwiQcLkYw,AV0IbJu6xxgZwiQcLkd5,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-03 12:27:04,2017-07-03 12:27:04,,"Rename this field ""SQRT_INV"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:colt:src/cern/jet/random/Normal.java,49.0,49.0,18.0,26.0,,
QC:colt,AV0IbJh-xxgZwiQcLkYw,AV0IbJh-xxgZwiQcLkYw,AV0IbJu6xxgZwiQcLkd6,CODE_SMELL,code_smells:antisingleton,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 12:27:04,2017-07-03 12:27:04,,Anti-singleton,QC:colt:src/cern/jet/random/Normal.java,1.0,1.0,0.0,3.0,,
QC:colt,AV0IbJh-xxgZwiQcLkYw,AV0IbJh-xxgZwiQcLkYw,AV0IbJu6xxgZwiQcLkd7,CODE_SMELL,squid:UnusedPrivateMethod,MAJOR,OPEN,,5,5,"cert,unused",2017-07-03 12:27:04,2017-07-03 12:27:04,,"Remove this unused private ""cdfSlow"" method.",QC:colt:src/cern/jet/random/Binomial.java,68.0,68.0,15.0,22.0,,
QC:colt,AV0IbJh-xxgZwiQcLkYw,AV0IbJh-xxgZwiQcLkYw,AV0IbJu6xxgZwiQcLkd8,CODE_SMELL,squid:UnusedPrivateMethod,MAJOR,OPEN,,5,5,"cert,unused",2017-07-03 12:27:04,2017-07-03 12:27:04,,"Remove this unused private ""xstaticSetRandomGenerator"" method.",QC:colt:src/cern/jet/random/Binomial.java,311.0,311.0,20.0,45.0,,
