project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:columba,AV0IdLP8xxgZwiQcLmST,AV0IdLP8xxgZwiQcLmST,AV0IdL2BxxgZwiQcLmoV,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 12:29:04,2017-07-03 12:29:04,,Replace all tab characters in this file by sequences of white-spaces.,QC:columba:plugins/org.columba.core.HippoLookAndFeel/src/HippoLookAndFeelPlugin.java,,,,,,
QC:columba,AV0IdLP8xxgZwiQcLmST,AV0IdLP8xxgZwiQcLmST,AV0IdL2BxxgZwiQcLmoX,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 12:29:04,2017-07-03 12:29:04,,Complete the task associated to this TODO comment.,QC:columba:plugins/org.columba.chat.altura/src/org/columba/chat/ui/conversation/ChatMediator.java,174.0,174.0,0.0,38.0,,
QC:columba,AV0IdLP8xxgZwiQcLmST,AV0IdLP8xxgZwiQcLmST,AV0IdL2BxxgZwiQcLmoZ,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-03 12:29:04,2017-07-03 12:29:04,,Either log or rethrow this exception.,QC:columba:plugins/org.columba.chat.altura/src/org/columba/chat/ui/conversation/ChatMediator.java,173.0,173.0,12.0,27.0,,
QC:columba,AV0IdLP8xxgZwiQcLmST,AV0IdLP8xxgZwiQcLmST,AV0IdL2BxxgZwiQcLmob,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 12:29:04,2017-07-03 12:29:04,,This block of commented-out lines of code should be removed.,QC:columba:plugins/org.columba.chat.altura/src/org/columba/chat/ui/conversation/ChatMediator.java,53.0,53.0,0.0,44.0,,
QC:columba,AV0IdLP8xxgZwiQcLmST,AV0IdLP8xxgZwiQcLmST,AV0IdL2RxxgZwiQcLmod,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 12:29:04,2017-07-03 12:29:04,,Long method,QC:columba:plugins/org.columba.chat.altura/src/org/columba/chat/ui/conversation/ChatMediator.java,1.0,1.0,0.0,78.0,,
QC:columba,AV0IdLP8xxgZwiQcLmST,AV0IdLP8xxgZwiQcLmST,AV0IdL2RxxgZwiQcLmof,CODE_SMELL,squid:S1068,MAJOR,OPEN,,5,5,"cert,unused",2017-07-03 12:29:04,2017-07-03 12:29:04,,"Remove this unused ""mediator"" private field.",QC:columba:plugins/org.columba.chat.altura/src/org/columba/chat/ui/conversation/ReceivingMessageController.java,28.0,28.0,22.0,30.0,,
QC:columba,AV0IdLP8xxgZwiQcLmST,AV0IdLP8xxgZwiQcLmST,AV0IdL2RxxgZwiQcLmog,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 12:29:04,2017-07-03 12:29:04,,Replace all tab characters in this file by sequences of white-spaces.,QC:columba:plugins/org.columba.chat.altura/src/org/columba/chat/ui/conversation/ReceivingMessageController.java,,,,,,
QC:columba,AV0IdLP8xxgZwiQcLmST,AV0IdLP8xxgZwiQcLmST,AV0IdL2RxxgZwiQcLmoi,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 12:29:04,2017-07-03 12:29:04,,Replace all tab characters in this file by sequences of white-spaces.,QC:columba:plugins/org.columba.chat.altura/src/org/columba/chat/ui/conversation/ConversationController.java,,,,,,
QC:columba,AV0IdLP8xxgZwiQcLmST,AV0IdLP8xxgZwiQcLmST,AV0IdL2RxxgZwiQcLmoj,BUG,squid:S1948,CRITICAL,OPEN,,30,30,"cwe,serialization",2017-07-03 12:29:04,2017-07-03 12:29:04,,"Make ""chatMap"" transient or serializable.",QC:columba:plugins/org.columba.chat.altura/src/org/columba/chat/ui/conversation/ConversationController.java,41.0,41.0,13.0,20.0,,
QC:columba,AV0IdLP8xxgZwiQcLmST,AV0IdLP8xxgZwiQcLmST,AV0IdL2RxxgZwiQcLmol,CODE_SMELL,squid:S1481,MAJOR,OPEN,,5,5,unused,2017-07-03 12:29:04,2017-07-03 12:29:04,,"Remove this unused ""date"" local variable.",QC:columba:plugins/org.columba.chat.altura/src/org/columba/chat/ui/conversation/MessageListener.java,55.0,55.0,7.0,11.0,,
