project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:displaytag,AV0INWoZxxgZwiQcLQNj,AV0INWoZxxgZwiQcLQNj,AV0INW3yxxgZwiQcLQW4,CODE_SMELL,squid:S00112,MAJOR,OPEN,,20,20,"cert,cwe,error-handling",2017-07-03 11:27:11,2017-07-03 11:27:11,,Define and throw a dedicated exception instead of using a generic one.,QC:displaytag:displaytag/src/main/java/org/displaytag/render/TableWriterTemplate.java,227.0,227.0,74.0,83.0,,
QC:displaytag,AV0INWoZxxgZwiQcLQNj,AV0INWoZxxgZwiQcLQNj,AV0INXAVxxgZwiQcLQfR,CODE_SMELL,squid:ModifiersOrderCheck,MINOR,OPEN,,2,2,convention,2017-07-03 11:27:11,2017-07-03 11:27:11,,Reorder the modifiers to comply with the Java Language Specification.,QC:displaytag:displaytag-examples/src/main/java/org/displaytag/sample/decorators/TotalWrapperTemplate.java,93.0,93.0,13.0,22.0,,
QC:displaytag,AV0INWoZxxgZwiQcLQNj,AV0INWoZxxgZwiQcLQNj,AV0INW3yxxgZwiQcLQW6,CODE_SMELL,squid:S00112,MAJOR,OPEN,,20,20,"cert,cwe,error-handling",2017-07-03 11:27:11,2017-07-03 11:27:11,,Define and throw a dedicated exception instead of using a generic one.,QC:displaytag:displaytag/src/main/java/org/displaytag/render/TableWriterTemplate.java,241.0,241.0,70.0,79.0,,
QC:displaytag,AV0INWoZxxgZwiQcLQNj,AV0INWoZxxgZwiQcLQNj,AV0INXAVxxgZwiQcLQfT,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,performance,2017-07-03 11:27:11,2017-07-03 11:27:11,,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",QC:displaytag:displaytag-examples/src/main/java/org/displaytag/sample/decorators/TotalWrapperTemplate.java,99.0,99.0,14.0,26.0,,
QC:displaytag,AV0INWoZxxgZwiQcLQNj,AV0INWoZxxgZwiQcLQNj,AV0INW3yxxgZwiQcLQW8,CODE_SMELL,squid:S00112,MAJOR,OPEN,,20,20,"cert,cwe,error-handling",2017-07-03 11:27:11,2017-07-03 11:27:11,,Define and throw a dedicated exception instead of using a generic one.,QC:displaytag:displaytag/src/main/java/org/displaytag/render/TableWriterTemplate.java,255.0,255.0,71.0,80.0,,
QC:displaytag,AV0INWoZxxgZwiQcLQNj,AV0INWoZxxgZwiQcLQNj,AV0INXAlxxgZwiQcLQfV,CODE_SMELL,squid:MethodCyclomaticComplexity,MAJOR,OPEN,,14,14,brain-overload,2017-07-03 11:27:11,2017-07-03 11:27:11,,"The Cyclomatic Complexity of this method ""addParameter"" is 14 which is greater than 10 authorized.",QC:displaytag:displaytag-portlet/src/main/java/org/displaytag/portlet/PortletHref.java,226.0,226.0,16.0,28.0,,
QC:displaytag,AV0INWoZxxgZwiQcLQNj,AV0INWoZxxgZwiQcLQNj,AV0INW3yxxgZwiQcLQW-,CODE_SMELL,squid:S00112,MAJOR,OPEN,,20,20,"cert,cwe,error-handling",2017-07-03 11:27:11,2017-07-03 11:27:11,,Define and throw a dedicated exception instead of using a generic one.,QC:displaytag:displaytag/src/main/java/org/displaytag/render/TableWriterTemplate.java,458.0,458.0,59.0,68.0,,
QC:displaytag,AV0INWoZxxgZwiQcLQNj,AV0INWoZxxgZwiQcLQNj,AV0INXAlxxgZwiQcLQfX,CODE_SMELL,squid:S00112,MAJOR,OPEN,,20,20,"cert,cwe,error-handling",2017-07-03 11:27:11,2017-07-03 11:27:11,,Define and throw a dedicated exception instead of using a generic one.,QC:displaytag:displaytag-portlet/src/main/java/org/displaytag/portlet/PortletHref.java,498.0,498.0,26.0,42.0,,
QC:displaytag,AV0INWoZxxgZwiQcLQNj,AV0INWoZxxgZwiQcLQNj,AV0INW3yxxgZwiQcLQXA,CODE_SMELL,squid:S00112,MAJOR,OPEN,,20,20,"cert,cwe,error-handling",2017-07-03 11:27:11,2017-07-03 11:27:11,,Define and throw a dedicated exception instead of using a generic one.,QC:displaytag:displaytag/src/main/java/org/displaytag/render/TableWriterTemplate.java,473.0,473.0,81.0,90.0,,
QC:displaytag,AV0INWoZxxgZwiQcLQNj,AV0INWoZxxgZwiQcLQNj,AV0INXAlxxgZwiQcLQfZ,CODE_SMELL,squid:S134,MAJOR,OPEN,,10,10,brain-overload,2017-07-03 11:27:11,2017-07-03 11:27:11,,Refactor this code to not nest more than 3 if/for/while/switch/try statements.,QC:displaytag:displaytag-portlet/src/main/java/org/displaytag/portlet/PortletHref.java,276.0,276.0,20.0,22.0,,
