project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:drawswf,AV0UGpgMt6tne_r58bzV,AV0UGpgMt6tne_r58bzV,AV0UGpuWt6tne_r58b3b,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-05 15:52:26,2017-07-05 15:52:26,,Replace this use of System.out or System.err by a logger.,QC:drawswf:src/at/bestsolution/drawswf/PluginLoader.java,58.0,58.0,20.0,30.0,,
QC:drawswf,AV0UGpgMt6tne_r58bzV,AV0UGpgMt6tne_r58bzV,AV0UGpuWt6tne_r58b3c,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-05 15:52:26,2017-07-05 15:52:26,,Replace this use of System.out or System.err by a logger.,QC:drawswf:src/at/bestsolution/drawswf/PluginLoader.java,70.0,70.0,24.0,34.0,,
QC:drawswf,AV0UGpgMt6tne_r58bzV,AV0UGpgMt6tne_r58bzV,AV0UGpuWt6tne_r58b3d,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-05 15:52:26,2017-07-05 15:52:26,,Either log or rethrow this exception.,QC:drawswf:src/at/bestsolution/drawswf/PluginLoader.java,73.0,73.0,23.0,47.0,,
QC:drawswf,AV0UGpgMt6tne_r58bzV,AV0UGpgMt6tne_r58bzV,AV0UGpuWt6tne_r58b3e,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-05 15:52:26,2017-07-05 15:52:26,,Either log or rethrow this exception.,QC:drawswf:src/at/bestsolution/drawswf/PluginLoader.java,77.0,77.0,23.0,47.0,,
QC:drawswf,AV0UGpgMt6tne_r58bzV,AV0UGpgMt6tne_r58bzV,AV0UGpuWt6tne_r58b3f,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-05 15:52:26,2017-07-05 15:52:26,,Either log or rethrow this exception.,QC:drawswf:src/at/bestsolution/drawswf/PluginLoader.java,81.0,81.0,23.0,36.0,,
QC:drawswf,AV0UGpgMt6tne_r58bzV,AV0UGpgMt6tne_r58bzV,AV0UGpuWt6tne_r58b3g,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-05 15:52:26,2017-07-05 15:52:26,,Either log or rethrow this exception.,QC:drawswf:src/at/bestsolution/drawswf/PluginLoader.java,85.0,85.0,23.0,47.0,,
QC:drawswf,AV0UGpgMt6tne_r58bzV,AV0UGpgMt6tne_r58bzV,AV0UGpuWt6tne_r58b3h,CODE_SMELL,squid:S1186,MAJOR,OPEN,,5,5,suspicious,2017-07-05 15:52:26,2017-07-05 15:52:26,,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",QC:drawswf:src/at/bestsolution/drawswf/PluginLoader.java,41.0,41.0,11.0,23.0,,
QC:drawswf,AV0UGpgMt6tne_r58bzV,AV0UGpgMt6tne_r58bzV,AV0UGpuWt6tne_r58b3i,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-05 15:52:26,2017-07-05 15:52:26,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:drawswf:src/at/bestsolution/drawswf/PluginLoader.java,59.0,59.0,26.0,36.0,,
QC:drawswf,AV0UGpgMt6tne_r58bzV,AV0UGpgMt6tne_r58bzV,AV0UGpuWt6tne_r58b3j,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-05 15:52:26,2017-07-05 15:52:26,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:drawswf:src/at/bestsolution/drawswf/PluginLoader.java,95.0,95.0,33.0,42.0,,
QC:drawswf,AV0UGpgMt6tne_r58bzV,AV0UGpgMt6tne_r58bzV,AV0UGpuWt6tne_r58b3k,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-05 15:52:26,2017-07-05 15:52:26,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:drawswf:src/at/bestsolution/drawswf/PluginLoader.java,95.0,95.0,63.0,78.0,,
