project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:findbugs,AV0LsFmzt6tne_r57lvp,AV0LsFmzt6tne_r57lvp,AV0LsGQTt6tne_r57mCx,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-07-04 03:37:31,2017-07-04 03:37:31,,Do not forget to remove this deprecated code someday.,QC:findbugs:src/java/edu/umd/cs/findbugs/DetectorFactory.java,334.0,334.0,17.0,23.0,,
QC:findbugs,AV0LsFmzt6tne_r57lvp,AV0LsFmzt6tne_r57lvp,AV0LsGQjt6tne_r57mDa,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-04 03:37:31,2017-07-04 03:37:31,,Complete the task associated to this TODO comment.,QC:findbugs:src/java/edu/umd/cs/findbugs/PluginLoader.java,472.0,472.0,0.0,37.0,,
QC:findbugs,AV0LsFmzt6tne_r57lvp,AV0LsFmzt6tne_r57lvp,AV0LsGQjt6tne_r57mDb,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-04 03:37:31,2017-07-04 03:37:31,,Complete the task associated to this TODO comment.,QC:findbugs:src/java/edu/umd/cs/findbugs/PluginLoader.java,530.0,530.0,0.0,41.0,,
QC:findbugs,AV0LsFmzt6tne_r57lvp,AV0LsFmzt6tne_r57lvp,AV0LsGQzt6tne_r57mEQ,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-07-04 03:37:31,2017-07-04 03:37:31,,Do not forget to remove this deprecated code someday.,QC:findbugs:src/java/edu/umd/cs/findbugs/Project.java,93.0,93.0,16.0,31.0,,
QC:findbugs,AV0LsFmzt6tne_r57lvp,AV0LsFmzt6tne_r57lvp,AV0LsGQzt6tne_r57mER,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-07-04 03:37:31,2017-07-04 03:37:31,,Do not forget to remove this deprecated code someday.,QC:findbugs:src/java/edu/umd/cs/findbugs/Project.java,103.0,103.0,30.0,40.0,,
QC:findbugs,AV0LsFmzt6tne_r57lvp,AV0LsFmzt6tne_r57lvp,AV0LsGQzt6tne_r57mES,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-07-04 03:37:31,2017-07-04 03:37:31,,Do not forget to remove this deprecated code someday.,QC:findbugs:src/java/edu/umd/cs/findbugs/Project.java,217.0,217.0,15.0,33.0,,
QC:findbugs,AV0LsFmzt6tne_r57lvp,AV0LsFmzt6tne_r57lvp,AV0LsGQzt6tne_r57mET,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-07-04 03:37:31,2017-07-04 03:37:31,,Do not forget to remove this deprecated code someday.,QC:findbugs:src/java/edu/umd/cs/findbugs/Project.java,227.0,227.0,13.0,31.0,,
QC:findbugs,AV0LsFmzt6tne_r57lvp,AV0LsFmzt6tne_r57lvp,AV0LsGQzt6tne_r57mEU,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-07-04 03:37:31,2017-07-04 03:37:31,,Do not forget to remove this deprecated code someday.,QC:findbugs:src/java/edu/umd/cs/findbugs/Project.java,276.0,276.0,16.0,25.0,,
QC:findbugs,AV0LsFmzt6tne_r57lvp,AV0LsFmzt6tne_r57lvp,AV0LsGQzt6tne_r57mEV,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-07-04 03:37:31,2017-07-04 03:37:31,,Do not forget to remove this deprecated code someday.,QC:findbugs:src/java/edu/umd/cs/findbugs/Project.java,513.0,513.0,24.0,53.0,,
QC:findbugs,AV0LsFmzt6tne_r57lvp,AV0LsFmzt6tne_r57lvp,AV0LsGQzt6tne_r57mEW,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-07-04 03:37:31,2017-07-04 03:37:31,,Do not forget to remove this deprecated code someday.,QC:findbugs:src/java/edu/umd/cs/findbugs/Project.java,610.0,610.0,13.0,18.0,,
