project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lcp,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,20,20,pitfall,2017-07-04 03:36:53,2017-07-04 03:36:53,,1 duplicated blocks of code must be removed.,QC:fitjava:spec/fat/Tests.java,,,,,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lcq,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-04 03:36:53,2017-07-04 03:36:53,,"Move the ""null"" string literal on the left side of this string comparison.",QC:fitjava:spec/fat/Tests.java,34.0,34.0,50.0,56.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lcr,CODE_SMELL,squid:S1226,MAJOR,OPEN,,5,5,"misra,pitfall",2017-07-04 03:36:53,2017-07-04 03:36:53,,"Introduce a new variable instead of reusing the parameter ""data"".",QC:fitjava:spec/fat/Tests.java,83.0,83.0,12.0,16.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lcs,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-04 03:36:53,2017-07-04 03:36:53,,Either log or rethrow this exception.,QC:fitjava:spec/fat/Tests.java,116.0,116.0,29.0,40.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lct,CODE_SMELL,squid:S00112,MAJOR,OPEN,,20,20,"cert,cwe,error-handling",2017-07-04 03:36:53,2017-07-04 03:36:53,,Define and throw a dedicated exception instead of using a generic one.,QC:fitjava:spec/fat/Tests.java,117.0,117.0,34.0,43.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lcu,CODE_SMELL,squid:S00112,MAJOR,OPEN,,20,20,"cert,cwe,error-handling",2017-07-04 03:36:53,2017-07-04 03:36:53,,Define and throw a dedicated exception instead of using a generic one.,QC:fitjava:spec/fat/Tests.java,101.0,101.0,54.0,63.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lcv,CODE_SMELL,squid:S1181,BLOCKER,OPEN,,20,20,"bad-practice,cert,cwe,error-handling",2017-07-04 03:36:53,2017-07-04 03:36:53,,Catch Exception instead of Throwable.,QC:fitjava:spec/fat/Tests.java,54.0,54.0,17.0,26.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lcw,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-04 03:36:53,2017-07-04 03:36:53,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:fitjava:spec/fat/Tests.java,84.0,84.0,0.0,48.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lcx,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-04 03:36:53,2017-07-04 03:36:53,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:fitjava:spec/fat/Tests.java,85.0,85.0,0.0,54.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lcy,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-04 03:36:53,2017-07-04 03:36:53,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:fitjava:spec/fat/Tests.java,86.0,86.0,0.0,54.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lcz,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-04 03:36:53,2017-07-04 03:36:53,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:fitjava:spec/fat/Tests.java,87.0,87.0,0.0,59.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lc0,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-04 03:36:53,2017-07-04 03:36:53,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:fitjava:spec/fat/Tests.java,88.0,88.0,0.0,56.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lc1,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-04 03:36:53,2017-07-04 03:36:53,,"At most one statement is allowed per line, but 3 statements were found on this line.",QC:fitjava:spec/fat/Tests.java,98.0,98.0,0.0,42.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lc2,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-04 03:36:53,2017-07-04 03:36:53,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:fitjava:spec/fat/Tests.java,111.0,111.0,0.0,63.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lc3,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-04 03:36:53,2017-07-04 03:36:53,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:fitjava:spec/fat/Tests.java,112.0,112.0,0.0,63.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lc4,CODE_SMELL,squid:S1301,MINOR,OPEN,,5,5,"bad-practice,misra",2017-07-04 03:36:53,2017-07-04 03:36:53,,"Replace this ""switch"" statement by ""if"" statements to increase readability.",QC:fitjava:spec/fat/Tests.java,22.0,22.0,8.0,14.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lc5,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,performance,2017-07-04 03:36:53,2017-07-04 03:36:53,,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",QC:fitjava:spec/fat/Tests.java,71.0,71.0,8.0,20.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lc6,CODE_SMELL,squid:S134,MAJOR,OPEN,,10,10,brain-overload,2017-07-04 03:36:53,2017-07-04 03:36:53,,Refactor this code to not nest more than 3 if/for/while/switch/try statements.,QC:fitjava:spec/fat/Tests.java,111.0,111.0,24.0,26.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lc7,CODE_SMELL,squid:S134,MAJOR,OPEN,,10,10,brain-overload,2017-07-04 03:36:53,2017-07-04 03:36:53,,Refactor this code to not nest more than 3 if/for/while/switch/try statements.,QC:fitjava:spec/fat/Tests.java,112.0,112.0,24.0,26.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lc8,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,20,20,pitfall,2017-07-04 03:36:53,2017-07-04 03:36:53,,1 duplicated blocks of code must be removed.,QC:fitjava:spec/fat/Color.java,,,,,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lc9,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-04 03:36:53,2017-07-04 03:36:53,,"Move the ""black"" string literal on the left side of this string comparison.",QC:fitjava:spec/fat/Color.java,31.0,31.0,24.0,31.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lc-,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-04 03:36:53,2017-07-04 03:36:53,,"Move the ""#808080"" string literal on the left side of this string comparison.",QC:fitjava:spec/fat/Color.java,47.0,47.0,24.0,33.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57lc_,CODE_SMELL,squid:S1067,MAJOR,OPEN,,7,7,brain-overload,2017-07-04 03:36:53,2017-07-04 03:36:53,,Reduce the number of conditional operators (5) used in the expression (maximum allowed 3).,QC:fitjava:spec/fat/Color.java,43.0,48.0,12.0,16.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57ldA,CODE_SMELL,squid:S00112,MAJOR,OPEN,,20,20,"cert,cwe,error-handling",2017-07-04 03:36:53,2017-07-04 03:36:53,,Define and throw a dedicated exception instead of using a generic one.,QC:fitjava:spec/fat/Color.java,15.0,15.0,22.0,38.0,,
QC:fitjava,AV0LrIvrt6tne_r57la7,AV0LrIvrt6tne_r57la7,AV0LrI1Dt6tne_r57ldB,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-04 03:36:53,2017-07-04 03:36:53,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:fitjava:spec/fat/Color.java,36.0,36.0,0.0,44.0,,
