project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:fitlibraryforfitnesse,AV0H4YymxxgZwiQcLJnO,AV0H4YymxxgZwiQcLJnO,AV0H4ZS7xxgZwiQcLJ6J,VULNERABILITY,squid:ClassVariableVisibilityCheck,MAJOR,OPEN,,10,10,cwe,2017-07-03 09:15:16,2017-07-03 09:15:16,,Make room a static final constant or non-public and provide accessors if needed.,QC:fitlibraryforfitnesse:fitnesse/lib/src/fitbookSrc/Occupancy.java,13.0,13.0,15.0,19.0,,
QC:fitlibraryforfitnesse,AV0H4YymxxgZwiQcLJnO,AV0H4YymxxgZwiQcLJnO,AV0H4ZS8xxgZwiQcLJ6K,VULNERABILITY,squid:ClassVariableVisibilityCheck,MAJOR,OPEN,,10,10,cwe,2017-07-03 09:15:16,2017-07-03 09:15:16,,Make user a static final constant or non-public and provide accessors if needed.,QC:fitlibraryforfitnesse:fitnesse/lib/src/fitbookSrc/Occupancy.java,13.0,13.0,21.0,25.0,,
QC:fitlibraryforfitnesse,AV0H4YymxxgZwiQcLJnO,AV0H4YymxxgZwiQcLJnO,AV0H4ZS8xxgZwiQcLJ6L,CODE_SMELL,squid:S1220,MINOR,OPEN,,10,10,convention,2017-07-03 09:15:16,2017-07-03 09:15:16,,Move this file to a named package.,QC:fitlibraryforfitnesse:fitnesse/lib/src/fitbookSrc/Occupancy.java,,,,,,
QC:fitlibraryforfitnesse,AV0H4YymxxgZwiQcLJnO,AV0H4YymxxgZwiQcLJnO,AV0H4ZS8xxgZwiQcLJ6M,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 09:15:16,2017-07-03 09:15:16,,Replace all tab characters in this file by sequences of white-spaces.,QC:fitlibraryforfitnesse:fitnesse/lib/src/fitbookSrc/Occupancy.java,,,,,,
QC:fitlibraryforfitnesse,AV0H4YymxxgZwiQcLJnO,AV0H4YymxxgZwiQcLJnO,AV0H4ZS8xxgZwiQcLJ6N,CODE_SMELL,code_smells:class_data_private,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 09:15:16,2017-07-03 09:15:16,,Class data should be private,QC:fitlibraryforfitnesse:fitnesse/lib/src/fitbookSrc/Occupancy.java,1.0,1.0,0.0,3.0,,
QC:fitlibraryforfitnesse,AV0H4YymxxgZwiQcLJnO,AV0H4YymxxgZwiQcLJnO,AV0H4ZS_xxgZwiQcLJ6O,VULNERABILITY,squid:ClassVariableVisibilityCheck,MAJOR,OPEN,,10,10,cwe,2017-07-03 09:15:16,2017-07-03 09:15:16,,Make name a static final constant or non-public and provide accessors if needed.,QC:fitlibraryforfitnesse:fitnesse/lib/src/fitbookSrc/UserCopy.java,11.0,11.0,15.0,19.0,,
QC:fitlibraryforfitnesse,AV0H4YymxxgZwiQcLJnO,AV0H4YymxxgZwiQcLJnO,AV0H4ZS_xxgZwiQcLJ6P,CODE_SMELL,squid:S1220,MINOR,OPEN,,10,10,convention,2017-07-03 09:15:16,2017-07-03 09:15:16,,Move this file to a named package.,QC:fitlibraryforfitnesse:fitnesse/lib/src/fitbookSrc/UserCopy.java,,,,,,
QC:fitlibraryforfitnesse,AV0H4YymxxgZwiQcLJnO,AV0H4YymxxgZwiQcLJnO,AV0H4ZS_xxgZwiQcLJ6Q,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 09:15:16,2017-07-03 09:15:16,,Replace all tab characters in this file by sequences of white-spaces.,QC:fitlibraryforfitnesse:fitnesse/lib/src/fitbookSrc/UserCopy.java,,,,,,
QC:fitlibraryforfitnesse,AV0H4YymxxgZwiQcLJnO,AV0H4YymxxgZwiQcLJnO,AV0H4ZS_xxgZwiQcLJ6R,CODE_SMELL,code_smells:class_data_private,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 09:15:16,2017-07-03 09:15:16,,Class data should be private,QC:fitlibraryforfitnesse:fitnesse/lib/src/fitbookSrc/UserCopy.java,1.0,1.0,0.0,3.0,,
QC:fitlibraryforfitnesse,AV0H4YymxxgZwiQcLJnO,AV0H4YymxxgZwiQcLJnO,AV0H4ZTCxxgZwiQcLJ6S,VULNERABILITY,squid:ClassVariableVisibilityCheck,MAJOR,OPEN,,10,10,cwe,2017-07-03 09:15:16,2017-07-03 09:15:16,,Make amount a static final constant or non-public and provide accessors if needed.,QC:fitlibraryforfitnesse:fitnesse/lib/src/fitbookSrc/CalculateDiscount.java,13.0,13.0,15.0,21.0,,
