project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5J4uxxgZwiQcLLvQ,BUG,squid:S1244,CRITICAL,OPEN,,5,5,misra,2017-07-03 09:56:59,2017-07-03 09:56:59,,Equality tests should not be made with floating point values.,QC:freecol:src/net/sf/freecol/client/gui/i18n/DualNumberRule.java,35.0,35.0,18.0,20.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5JuexxgZwiQcLLev,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 09:56:59,2017-07-03 09:56:59,,Replace this use of System.out or System.err by a logger.,QC:freecol:src/net/sf/freecol/FreeCol.java,311.0,311.0,12.0,22.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5J4uxxgZwiQcLLvS,BUG,squid:S1244,CRITICAL,OPEN,,5,5,misra,2017-07-03 09:56:59,2017-07-03 09:56:59,,Equality tests should not be made with floating point values.,QC:freecol:src/net/sf/freecol/client/gui/panel/PreCombatDialog.java,132.0,132.0,26.0,28.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5J4uxxgZwiQcLLvT,CODE_SMELL,squid:MethodCyclomaticComplexity,MAJOR,OPEN,,12,12,brain-overload,2017-07-03 09:56:59,2017-07-03 09:56:59,,"The Cyclomatic Complexity of this method ""addModifier"" is 12 which is greater than 10 authorized.",QC:freecol:src/net/sf/freecol/client/gui/panel/PreCombatDialog.java,144.0,144.0,20.0,31.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5JuexxgZwiQcLLez,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 09:56:59,2017-07-03 09:56:59,,Replace this use of System.out or System.err by a logger.,QC:freecol:src/net/sf/freecol/FreeCol.java,721.0,721.0,16.0,26.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5J4uxxgZwiQcLLvV,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-03 09:56:59,2017-07-03 09:56:59,,"Define a constant instead of duplicating this literal ""%unit%"" 3 times.",QC:freecol:src/net/sf/freecol/client/gui/panel/PreCombatDialog.java,70.0,70.0,39.0,47.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5JuexxgZwiQcLLe1,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 09:56:59,2017-07-03 09:56:59,,Replace this use of System.out or System.err by a logger.,QC:freecol:src/net/sf/freecol/FreeCol.java,786.0,786.0,20.0,30.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5J4uxxgZwiQcLLvX,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-03 09:56:59,2017-07-03 09:56:59,,"Define a constant instead of duplicating this literal ""%nation%"" 3 times.",QC:freecol:src/net/sf/freecol/client/gui/panel/PreCombatDialog.java,69.0,69.0,39.0,49.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5JuexxgZwiQcLLe3,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 09:56:59,2017-07-03 09:56:59,,Replace this use of System.out or System.err by a logger.,QC:freecol:src/net/sf/freecol/FreeCol.java,936.0,936.0,24.0,34.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5J4uxxgZwiQcLLvZ,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 09:56:59,2017-07-03 09:56:59,,Long method,QC:freecol:src/net/sf/freecol/client/gui/panel/PreCombatDialog.java,1.0,1.0,0.0,3.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5JuexxgZwiQcLLe5,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 09:56:59,2017-07-03 09:56:59,,Replace this use of System.out or System.err by a logger.,QC:freecol:src/net/sf/freecol/FreeCol.java,943.0,943.0,20.0,30.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5J4uxxgZwiQcLLvb,CODE_SMELL,squid:S1312,MINOR,OPEN,,5,5,convention,2017-07-03 09:56:59,2017-07-03 09:56:59,,"Rename the ""logger"" logger to comply with the format ""LOG(?:GER)?"".",QC:freecol:src/net/sf/freecol/client/gui/panel/FindSettlementDialog.java,63.0,63.0,32.0,38.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5JuexxgZwiQcLLe7,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 09:56:59,2017-07-03 09:56:59,,Replace this use of System.out or System.err by a logger.,QC:freecol:src/net/sf/freecol/FreeCol.java,968.0,968.0,12.0,22.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5J4-xxgZwiQcLLvd,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 09:56:59,2017-07-03 09:56:59,,Replace all tab characters in this file by sequences of white-spaces.,QC:freecol:src/net/sf/freecol/client/gui/panel/ChoiceItem.java,,,,,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5JuexxgZwiQcLLe9,CODE_SMELL,squid:ForLoopCounterChangedCheck,MAJOR,OPEN,,10,10,"misra,pitfall",2017-07-03 09:56:59,2017-07-03 09:56:59,,Refactor the code in order to not assign to this loop counter from within the loop body.,QC:freecol:src/net/sf/freecol/FreeCol.java,506.0,506.0,35.0,40.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5JuexxgZwiQcLLe-,CODE_SMELL,squid:ForLoopCounterChangedCheck,MAJOR,OPEN,,10,10,"misra,pitfall",2017-07-03 09:56:59,2017-07-03 09:56:59,,Refactor the code in order to not assign to this loop counter from within the loop body.,QC:freecol:src/net/sf/freecol/FreeCol.java,508.0,508.0,37.0,42.0,,
