project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:freecs,AV0H5WYjxxgZwiQcLMnP,AV0H5WYjxxgZwiQcLMnP,AV0H5WjyxxgZwiQcLM9Y,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 10:00:10,2017-07-03 10:00:10,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:freecs:src/freecs/util/FileMonitor.java,72.0,72.0,0.0,42.0,,
QC:freecs,AV0H5WYjxxgZwiQcLMnP,AV0H5WYjxxgZwiQcLMnP,AV0H5Wg2xxgZwiQcLMui,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 10:00:10,2017-07-03 10:00:10,,This block of commented-out lines of code should be removed.,QC:freecs:src/freecs/core/RequestReader.java,200.0,200.0,0.0,62.0,,
QC:freecs,AV0H5WYjxxgZwiQcLMnP,AV0H5WYjxxgZwiQcLMnP,AV0H5Wg2xxgZwiQcLMuj,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 10:00:10,2017-07-03 10:00:10,,This block of commented-out lines of code should be removed.,QC:freecs:src/freecs/core/RequestReader.java,277.0,277.0,0.0,71.0,,
QC:freecs,AV0H5WYjxxgZwiQcLMnP,AV0H5WYjxxgZwiQcLMnP,AV0H5Wg2xxgZwiQcLMuk,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 10:00:10,2017-07-03 10:00:10,,This block of commented-out lines of code should be removed.,QC:freecs:src/freecs/core/RequestReader.java,292.0,292.0,0.0,38.0,,
QC:freecs,AV0H5WYjxxgZwiQcLMnP,AV0H5WYjxxgZwiQcLMnP,AV0H5WjyxxgZwiQcLM9c,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 10:00:10,2017-07-03 10:00:10,,"Add the ""@Override"" annotation above this method signature",QC:freecs:src/freecs/util/FileMonitor.java,48.0,48.0,13.0,16.0,,
QC:freecs,AV0H5WYjxxgZwiQcLMnP,AV0H5WYjxxgZwiQcLMnP,AV0H5WjyxxgZwiQcLM9d,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 10:00:10,2017-07-03 10:00:10,,"Add the ""@Override"" annotation above this method signature",QC:freecs:src/freecs/util/FileMonitor.java,90.0,90.0,18.0,26.0,,
QC:freecs,AV0H5WYjxxgZwiQcLMnP,AV0H5WYjxxgZwiQcLMnP,AV0H5WjyxxgZwiQcLM9e,CODE_SMELL,squid:S135,MAJOR,OPEN,,40,40,brain-overload,2017-07-03 10:00:10,2017-07-03 10:00:10,,Reduce the total number of break and continue statements in this loop to use at most one.,QC:freecs:src/freecs/util/FileMonitor.java,55.0,55.0,3.0,6.0,,
QC:freecs,AV0H5WYjxxgZwiQcLMnP,AV0H5WYjxxgZwiQcLMnP,AV0H5Wg2xxgZwiQcLMun,CODE_SMELL,squid:S134,MAJOR,OPEN,,10,10,brain-overload,2017-07-03 10:00:10,2017-07-03 10:00:10,,Refactor this code to not nest more than 3 if/for/while/switch/try statements.,QC:freecs:src/freecs/core/RequestReader.java,251.0,251.0,4.0,6.0,,
QC:freecs,AV0H5WYjxxgZwiQcLMnP,AV0H5WYjxxgZwiQcLMnP,AV0H5WjyxxgZwiQcLM9g,CODE_SMELL,squid:S134,MAJOR,OPEN,,10,10,brain-overload,2017-07-03 10:00:10,2017-07-03 10:00:10,,Refactor this code to not nest more than 3 if/for/while/switch/try statements.,QC:freecs:src/freecs/util/FileMonitor.java,72.0,72.0,36.0,39.0,,
QC:freecs,AV0H5WYjxxgZwiQcLMnP,AV0H5WYjxxgZwiQcLMnP,AV0H5Wg2xxgZwiQcLMup,CODE_SMELL,squid:S134,MAJOR,OPEN,,10,10,brain-overload,2017-07-03 10:00:10,2017-07-03 10:00:10,,Refactor this code to not nest more than 3 if/for/while/switch/try statements.,QC:freecs:src/freecs/core/RequestReader.java,264.0,264.0,13.0,15.0,,
