project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:galleon,AV0KdA2Ht6tne_r57P-Y,AV0KdA2Ht6tne_r57P-Y,AV0KdCp2t6tne_r57QC7,CODE_SMELL,squid:S1141,MAJOR,OPEN,,20,20,confusing,2017-07-03 21:54:29,2017-07-03 21:54:29,,Extract this nested try block into a separate method.,QC:galleon:src/org/lnicholls/galleon/goback/ConnectionThread.java,80.0,80.0,16.0,19.0,,
QC:galleon,AV0KdA2Ht6tne_r57P-Y,AV0KdA2Ht6tne_r57P-Y,AV0KdCp2t6tne_r57QC8,CODE_SMELL,squid:S1481,MAJOR,OPEN,,5,5,unused,2017-07-03 21:54:29,2017-07-03 21:54:29,,"Remove this unused ""input"" local variable.",QC:galleon:src/org/lnicholls/galleon/goback/ConnectionThread.java,65.0,65.0,23.0,28.0,,
QC:galleon,AV0KdA2Ht6tne_r57P-Y,AV0KdA2Ht6tne_r57P-Y,AV0KdCp2t6tne_r57QC9,CODE_SMELL,squid:S1481,MAJOR,OPEN,,5,5,unused,2017-07-03 21:54:29,2017-07-03 21:54:29,,"Remove this unused ""output"" local variable.",QC:galleon:src/org/lnicholls/galleon/goback/ConnectionThread.java,66.0,66.0,23.0,29.0,,
QC:galleon,AV0KdA2Ht6tne_r57P-Y,AV0KdA2Ht6tne_r57P-Y,AV0KdCp2t6tne_r57QC-,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 21:54:29,2017-07-03 21:54:29,,Move this variable to comply with Java Code Conventions.,QC:galleon:src/org/lnicholls/galleon/goback/ConnectionThread.java,105.0,105.0,27.0,32.0,,
QC:galleon,AV0KdA2Ht6tne_r57P-Y,AV0KdA2Ht6tne_r57P-Y,AV0KdCp2t6tne_r57QC_,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 21:54:29,2017-07-03 21:54:29,,Move this variable to comply with Java Code Conventions.,QC:galleon:src/org/lnicholls/galleon/goback/ConnectionThread.java,107.0,107.0,19.0,26.0,,
QC:galleon,AV0KdA2Ht6tne_r57P-Y,AV0KdA2Ht6tne_r57P-Y,AV0KdCp2t6tne_r57QDA,CODE_SMELL,squid:UselessImportCheck,MINOR,OPEN,,2,2,unused,2017-07-03 21:54:29,2017-07-03 21:54:29,,Remove this unnecessary import: same package classes are always implicitly imported.,QC:galleon:src/org/lnicholls/galleon/goback/ConnectionThread.java,27.0,27.0,0.0,38.0,,
QC:galleon,AV0KdA2Ht6tne_r57P-Y,AV0KdA2Ht6tne_r57P-Y,AV0KdCp2t6tne_r57QDB,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 21:54:29,2017-07-03 21:54:29,,"Add the ""@Override"" annotation above this method signature",QC:galleon:src/org/lnicholls/galleon/goback/ConnectionThread.java,64.0,64.0,16.0,19.0,,
QC:galleon,AV0KdA2Ht6tne_r57P-Y,AV0KdA2Ht6tne_r57P-Y,AV0KdCp2t6tne_r57QDC,CODE_SMELL,squid:S1312,MINOR,OPEN,,5,5,convention,2017-07-03 21:54:29,2017-07-03 21:54:29,,"Make the ""log"" logger private static final and rename it to comply with the format ""LOG(?:GER)?"".",QC:galleon:src/org/lnicholls/galleon/goback/ConnectionThread.java,52.0,52.0,26.0,29.0,,
QC:galleon,AV0KdA2Ht6tne_r57P-Y,AV0KdA2Ht6tne_r57P-Y,AV0KdCp2t6tne_r57QDD,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 21:54:29,2017-07-03 21:54:29,,This block of commented-out lines of code should be removed.,QC:galleon:src/org/lnicholls/galleon/goback/ConnectionThread.java,77.0,77.0,0.0,45.0,,
QC:galleon,AV0KdA2Ht6tne_r57P-Y,AV0KdA2Ht6tne_r57P-Y,AV0KdCp2t6tne_r57QDE,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 21:54:29,2017-07-03 21:54:29,,"Move the ""Linux"" string literal on the left side of this string comparison.",QC:galleon:src/org/lnicholls/galleon/goback/BroadcastThread.java,94.0,94.0,49.0,56.0,,
QC:galleon,AV0KdA2Ht6tne_r57P-Y,AV0KdA2Ht6tne_r57P-Y,AV0KdCp2t6tne_r57QDF,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-03 21:54:29,2017-07-03 21:54:29,,Either log or rethrow this exception.,QC:galleon:src/org/lnicholls/galleon/goback/BroadcastThread.java,88.0,88.0,21.0,33.0,,
QC:galleon,AV0KdA2Ht6tne_r57P-Y,AV0KdA2Ht6tne_r57P-Y,AV0KdCp2t6tne_r57QDG,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 21:54:29,2017-07-03 21:54:29,,Replace all tab characters in this file by sequences of white-spaces.,QC:galleon:src/org/lnicholls/galleon/goback/BroadcastThread.java,,,,,,
QC:galleon,AV0KdA2Ht6tne_r57P-Y,AV0KdA2Ht6tne_r57P-Y,AV0KdCp2t6tne_r57QDH,CODE_SMELL,squid:S00108,MAJOR,OPEN,,5,5,suspicious,2017-07-03 21:54:29,2017-07-03 21:54:29,,Either remove or fill this block of code.,QC:galleon:src/org/lnicholls/galleon/goback/BroadcastThread.java,73.0,73.0,46.0,47.0,,
