project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:ganttproject,AV0I5m-tt6tne_r55Mt3,AV0I5m-tt6tne_r55Mt3,AV0I5nX3t6tne_r55M6B,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 14:39:38,2017-07-03 14:39:38,,Replace this use of System.out or System.err by a logger.,QC:ganttproject:ganttproject/src/org/w3c/util/DateParser.java,258.0,258.0,12.0,22.0,,
QC:ganttproject,AV0I5m-tt6tne_r55Mt3,AV0I5m-tt6tne_r55Mt3,AV0I5nYmt6tne_r55M8A,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 14:39:38,2017-07-03 14:39:38,,This block of commented-out lines of code should be removed.,QC:ganttproject:ganttproject/src/net/sourceforge/ganttproject/ResourceTreeTableModel.java,278.0,278.0,0.0,44.0,,
QC:ganttproject,AV0I5m-tt6tne_r55Mt3,AV0I5m-tt6tne_r55Mt3,AV0I5nX3t6tne_r55M6F,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 14:39:38,2017-07-03 14:39:38,,Replace this use of System.out or System.err by a logger.,QC:ganttproject:ganttproject/src/org/w3c/util/DateParser.java,266.0,266.0,8.0,18.0,,
QC:ganttproject,AV0I5m-tt6tne_r55Mt3,AV0I5m-tt6tne_r55Mt3,AV0I5nYmt6tne_r55M8C,CODE_SMELL,code_smells:antisingleton,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 14:39:38,2017-07-03 14:39:38,,Anti-singleton,QC:ganttproject:ganttproject/src/net/sourceforge/ganttproject/ResourceTreeTableModel.java,1.0,1.0,0.0,37.0,,
QC:ganttproject,AV0I5m-tt6tne_r55Mt3,AV0I5m-tt6tne_r55Mt3,AV0I5nYmt6tne_r55M8D,CODE_SMELL,code_smells:class_data_private,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 14:39:38,2017-07-03 14:39:38,,Class data should be private,QC:ganttproject:ganttproject/src/net/sourceforge/ganttproject/ResourceTreeTableModel.java,1.0,1.0,0.0,37.0,,
QC:ganttproject,AV0I5m-tt6tne_r55Mt3,AV0I5m-tt6tne_r55Mt3,AV0I5nX3t6tne_r55M6H,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 14:39:38,2017-07-03 14:39:38,,"Move the ""."" string literal on the left side of this string comparison.",QC:ganttproject:ganttproject/src/org/w3c/util/DateParser.java,104.0,104.0,35.0,38.0,,
QC:ganttproject,AV0I5m-tt6tne_r55Mt3,AV0I5m-tt6tne_r55Mt3,AV0I5nYmt6tne_r55M8F,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 14:39:38,2017-07-03 14:39:38,,Long method,QC:ganttproject:ganttproject/src/net/sourceforge/ganttproject/ResourceTreeTableModel.java,1.0,1.0,0.0,37.0,,
QC:ganttproject,AV0I5m-tt6tne_r55Mt3,AV0I5m-tt6tne_r55Mt3,AV0I5nX3t6tne_r55M6J,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 14:39:38,2017-07-03 14:39:38,,"Move the ""+"" string literal on the left side of this string comparison.",QC:ganttproject:ganttproject/src/org/w3c/util/DateParser.java,130.0,130.0,33.0,36.0,,
QC:ganttproject,AV0I5m-tt6tne_r55Mt3,AV0I5m-tt6tne_r55Mt3,AV0I5nX3t6tne_r55M6K,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 14:39:38,2017-07-03 14:39:38,,"Move the ""-"" string literal on the left side of this string comparison.",QC:ganttproject:ganttproject/src/org/w3c/util/DateParser.java,130.0,130.0,52.0,55.0,,
QC:ganttproject,AV0I5m-tt6tne_r55Mt3,AV0I5m-tt6tne_r55Mt3,AV0I5nZVt6tne_r55M8H,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,30,30,pitfall,2017-07-03 14:39:38,2017-07-03 14:39:38,,2 duplicated blocks of code must be removed.,QC:ganttproject:ganttproject/src/net/sourceforge/ganttproject/GanttOptions.java,,,,,,
