project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:heritrix,AV0I6NNlt6tne_r55QVE,AV0I6NNlt6tne_r55QVE,AV0I6NqJt6tne_r55Qyj,CODE_SMELL,squid:S1125,MINOR,OPEN,,2,2,clumsy,2017-07-03 14:41:53,2017-07-03 14:41:53,,"Remove the literal ""false"" boolean value.",QC:heritrix:src/java/org/archive/crawler/admin/CrawlJob.java,423.0,423.0,62.0,67.0,,
QC:heritrix,AV0I6NNlt6tne_r55QVE,AV0I6NNlt6tne_r55QVE,AV0I6Nmut6tne_r55QnS,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 14:41:53,2017-07-03 14:41:53,,Complete the task associated to this TODO comment.,QC:heritrix:src/java/org/archive/crawler/filter/SurtPrefixFilter.java,118.0,118.0,0.0,66.0,,
QC:heritrix,AV0I6NNlt6tne_r55QVE,AV0I6NNlt6tne_r55QVE,AV0I6NqJt6tne_r55Qyl,CODE_SMELL,squid:S1125,MINOR,OPEN,,2,2,clumsy,2017-07-03 14:41:53,2017-07-03 14:41:53,,"Remove the literal ""false"" boolean value.",QC:heritrix:src/java/org/archive/crawler/admin/CrawlJob.java,425.0,425.0,49.0,54.0,,
QC:heritrix,AV0I6NNlt6tne_r55QVE,AV0I6NNlt6tne_r55QVE,AV0I6Nmut6tne_r55QnU,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 14:41:53,2017-07-03 14:41:53,,Replace all tab characters in this file by sequences of white-spaces.,QC:heritrix:src/java/org/archive/crawler/filter/SurtPrefixFilter.java,,,,,,
QC:heritrix,AV0I6NNlt6tne_r55QVE,AV0I6NNlt6tne_r55QVE,AV0I6NqJt6tne_r55Qyn,CODE_SMELL,squid:S1125,MINOR,OPEN,,2,2,clumsy,2017-07-03 14:41:53,2017-07-03 14:41:53,,"Remove the literal ""false"" boolean value.",QC:heritrix:src/java/org/archive/crawler/admin/CrawlJob.java,427.0,427.0,50.0,55.0,,
QC:heritrix,AV0I6NNlt6tne_r55QVE,AV0I6NNlt6tne_r55QVE,AV0I6Nmut6tne_r55QnW,VULNERABILITY,squid:S1148,CRITICAL,OPEN,,10,10,error-handling,2017-07-03 14:41:53,2017-07-03 14:41:53,,Use a logger to log this exception.,QC:heritrix:src/java/org/archive/crawler/filter/SurtPrefixFilter.java,107.0,107.0,14.0,29.0,,
QC:heritrix,AV0I6NNlt6tne_r55QVE,AV0I6NNlt6tne_r55QVE,AV0I6NqYt6tne_r55Qyp,CODE_SMELL,squid:S1125,MINOR,OPEN,,2,2,clumsy,2017-07-03 14:41:53,2017-07-03 14:41:53,,"Remove the literal ""false"" boolean value.",QC:heritrix:src/java/org/archive/crawler/admin/CrawlJob.java,429.0,429.0,60.0,65.0,,
QC:heritrix,AV0I6NNlt6tne_r55QVE,AV0I6NNlt6tne_r55QVE,AV0I6Nmut6tne_r55QnY,CODE_SMELL,squid:S1125,MINOR,OPEN,,2,2,clumsy,2017-07-03 14:41:53,2017-07-03 14:41:53,,"Remove the literal ""false"" boolean value.",QC:heritrix:src/java/org/archive/crawler/filter/HTTPMidFetchUnchangedFilter.java,109.0,109.0,40.0,45.0,,
QC:heritrix,AV0I6NNlt6tne_r55QVE,AV0I6NNlt6tne_r55QVE,AV0I6NqYt6tne_r55Qyr,CODE_SMELL,squid:S1125,MINOR,OPEN,,2,2,clumsy,2017-07-03 14:41:53,2017-07-03 14:41:53,,"Remove the literal ""false"" boolean value.",QC:heritrix:src/java/org/archive/crawler/admin/CrawlJob.java,1093.0,1093.0,69.0,74.0,,
QC:heritrix,AV0I6NNlt6tne_r55QVE,AV0I6NNlt6tne_r55QVE,AV0I6Nmut6tne_r55Qna,CODE_SMELL,squid:MethodCyclomaticComplexity,MAJOR,OPEN,,23,23,brain-overload,2017-07-03 14:41:53,2017-07-03 14:41:53,,"The Cyclomatic Complexity of this method ""innerAccepts"" is 23 which is greater than 10 authorized.",QC:heritrix:src/java/org/archive/crawler/filter/HTTPMidFetchUnchangedFilter.java,95.0,95.0,22.0,34.0,,
QC:heritrix,AV0I6NNlt6tne_r55QVE,AV0I6NNlt6tne_r55QVE,AV0I6NqYt6tne_r55Qyt,CODE_SMELL,squid:S1141,MAJOR,OPEN,,20,20,confusing,2017-07-03 14:41:53,2017-07-03 14:41:53,,Extract this nested try block into a separate method.,QC:heritrix:src/java/org/archive/crawler/admin/CrawlJob.java,858.0,858.0,12.0,15.0,,
QC:heritrix,AV0I6NNlt6tne_r55QVE,AV0I6NNlt6tne_r55QVE,AV0I6NqYt6tne_r55Qyu,CODE_SMELL,squid:S1141,MAJOR,OPEN,,20,20,confusing,2017-07-03 14:41:53,2017-07-03 14:41:53,,Extract this nested try block into a separate method.,QC:heritrix:src/java/org/archive/crawler/admin/CrawlJob.java,1232.0,1232.0,16.0,19.0,,
QC:heritrix,AV0I6NNlt6tne_r55QVE,AV0I6NNlt6tne_r55QVE,AV0I6Nmut6tne_r55Qnc,CODE_SMELL,squid:S1066,MAJOR,OPEN,,5,5,clumsy,2017-07-03 14:41:53,2017-07-03 14:41:53,,Merge this if statement with the enclosing one.,QC:heritrix:src/java/org/archive/crawler/filter/HTTPMidFetchUnchangedFilter.java,159.0,159.0,16.0,18.0,,
