project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:htmlunit,AV0IPKFCxxgZwiQcLUFy,AV0IPKFCxxgZwiQcLUFy,AV0IPKgYxxgZwiQcLUS5,CODE_SMELL,squid:S1186,MAJOR,OPEN,,5,5,suspicious,2017-07-03 11:33:21,2017-07-03 11:33:21,,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",QC:htmlunit:src/main/java/com/gargoylesoftware/htmlunit/WebWindowAdapter.java,36.0,36.0,16.0,31.0,,
QC:htmlunit,AV0IPKFCxxgZwiQcLUFy,AV0IPKFCxxgZwiQcLUFy,AV0IPKgYxxgZwiQcLUS6,CODE_SMELL,squid:S1186,MAJOR,OPEN,,5,5,suspicious,2017-07-03 11:33:21,2017-07-03 11:33:21,,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",QC:htmlunit:src/main/java/com/gargoylesoftware/htmlunit/WebWindowAdapter.java,44.0,44.0,16.0,39.0,,
QC:htmlunit,AV0IPKFCxxgZwiQcLUFy,AV0IPKFCxxgZwiQcLUFy,AV0IPKgYxxgZwiQcLUS7,CODE_SMELL,squid:S1186,MAJOR,OPEN,,5,5,suspicious,2017-07-03 11:33:21,2017-07-03 11:33:21,,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",QC:htmlunit:src/main/java/com/gargoylesoftware/htmlunit/WebWindowAdapter.java,52.0,52.0,16.0,31.0,,
QC:htmlunit,AV0IPKFCxxgZwiQcLUFy,AV0IPKFCxxgZwiQcLUFy,AV0IPKgYxxgZwiQcLUS8,CODE_SMELL,squid:S1186,MAJOR,OPEN,,5,5,suspicious,2017-07-03 11:33:21,2017-07-03 11:33:21,,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",QC:htmlunit:src/main/java/com/gargoylesoftware/htmlunit/WebWindowAdapter.java,28.0,28.0,11.0,27.0,,
QC:htmlunit,AV0IPKFCxxgZwiQcLUFy,AV0IPKFCxxgZwiQcLUFy,AV0IPKgoxxgZwiQcLUS9,CODE_SMELL,squid:MethodCyclomaticComplexity,MAJOR,OPEN,,11,11,brain-overload,2017-07-03 11:33:21,2017-07-03 11:33:21,,"The Cyclomatic Complexity of this method ""combine"" is 11 which is greater than 10 authorized.",QC:htmlunit:src/main/java/com/gargoylesoftware/htmlunit/ScriptResult.java,97.0,97.0,31.0,38.0,,
QC:htmlunit,AV0IPKFCxxgZwiQcLUFy,AV0IPKFCxxgZwiQcLUFy,AV0IPKgoxxgZwiQcLUS-,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-03 11:33:21,2017-07-03 11:33:21,,"Rename this field ""javaScriptResult_"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:htmlunit:src/main/java/com/gargoylesoftware/htmlunit/ScriptResult.java,29.0,29.0,25.0,42.0,,
QC:htmlunit,AV0IPKFCxxgZwiQcLUFy,AV0IPKFCxxgZwiQcLUFy,AV0IPKgoxxgZwiQcLUS_,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-03 11:33:21,2017-07-03 11:33:21,,"Rename this field ""newPage_"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:htmlunit:src/main/java/com/gargoylesoftware/htmlunit/ScriptResult.java,32.0,32.0,23.0,31.0,,
QC:htmlunit,AV0IPKFCxxgZwiQcLUFy,AV0IPKFCxxgZwiQcLUFy,AV0IPKgoxxgZwiQcLUTA,CODE_SMELL,code_smells:complex_class,MINOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 11:33:21,2017-07-03 11:33:21,,Complex class,QC:htmlunit:src/main/java/com/gargoylesoftware/htmlunit/ScriptResult.java,1.0,1.0,0.0,2.0,,
QC:htmlunit,AV0IPKFCxxgZwiQcLUFy,AV0IPKFCxxgZwiQcLUFy,AV0IPKgoxxgZwiQcLUTB,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 11:33:21,2017-07-03 11:33:21,,Long method,QC:htmlunit:src/main/java/com/gargoylesoftware/htmlunit/ScriptResult.java,1.0,1.0,0.0,2.0,,
QC:htmlunit,AV0IPKFCxxgZwiQcLUFy,AV0IPKFCxxgZwiQcLUFy,AV0IPKgoxxgZwiQcLUTC,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-03 11:33:21,2017-07-03 11:33:21,,"Rename this field ""cookiesEnabled_"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:htmlunit:src/main/java/com/gargoylesoftware/htmlunit/CookieManager.java,58.0,58.0,20.0,35.0,,
