project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:informa,AV0IPm4cxxgZwiQcLVj2,AV0IPm4cxxgZwiQcLVj2,AV0IPnABxxgZwiQcLVnZ,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 11:36:24,2017-07-03 11:36:24,,Complete the task associated to this TODO comment.,QC:informa:src/de/nava/informa/exporters/RSS_1_0_Exporter.java,203.0,203.0,0.0,42.0,,
QC:informa,AV0IPm4cxxgZwiQcLVj2,AV0IPm4cxxgZwiQcLVj2,AV0IPnABxxgZwiQcLVna,CODE_SMELL,squid:MethodCyclomaticComplexity,MAJOR,OPEN,,16,16,brain-overload,2017-07-03 11:36:24,2017-07-03 11:36:24,,"The Cyclomatic Complexity of this method ""write"" is 16 which is greater than 10 authorized.",QC:informa:src/de/nava/informa/exporters/RSS_1_0_Exporter.java,128.0,128.0,14.0,19.0,,
QC:informa,AV0IPm4cxxgZwiQcLVj2,AV0IPm4cxxgZwiQcLVj2,AV0IPnABxxgZwiQcLVnb,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-03 11:36:24,2017-07-03 11:36:24,,"Define a constant instead of duplicating this literal ""title"" 3 times.",QC:informa:src/de/nava/informa/exporters/RSS_1_0_Exporter.java,154.0,154.0,39.0,46.0,,
QC:informa,AV0IPm4cxxgZwiQcLVj2,AV0IPm4cxxgZwiQcLVj2,AV0IPnABxxgZwiQcLVnc,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-03 11:36:24,2017-07-03 11:36:24,,"Define a constant instead of duplicating this literal ""description"" 3 times.",QC:informa:src/de/nava/informa/exporters/RSS_1_0_Exporter.java,164.0,164.0,39.0,52.0,,
QC:informa,AV0IPm4cxxgZwiQcLVj2,AV0IPm4cxxgZwiQcLVj2,AV0IPnABxxgZwiQcLVnd,CODE_SMELL,squid:S00101,MINOR,OPEN,,5,5,convention,2017-07-03 11:36:24,2017-07-03 11:36:24,,Rename this class name to match the regular expression '^[A-Z][a-zA-Z0-9]*$'.,QC:informa:src/de/nava/informa/exporters/RSS_1_0_Exporter.java,55.0,55.0,13.0,29.0,,
QC:informa,AV0IPm4cxxgZwiQcLVj2,AV0IPm4cxxgZwiQcLVj2,AV0IPnABxxgZwiQcLVne,CODE_SMELL,squid:S00112,MAJOR,OPEN,,20,20,"cert,cwe,error-handling",2017-07-03 11:36:24,2017-07-03 11:36:24,,Define and throw a dedicated exception instead of using a generic one.,QC:informa:src/de/nava/informa/exporters/RSS_1_0_Exporter.java,130.0,130.0,16.0,32.0,,
QC:informa,AV0IPm4cxxgZwiQcLVj2,AV0IPm4cxxgZwiQcLVj2,AV0IPnABxxgZwiQcLVnf,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 11:36:24,2017-07-03 11:36:24,,This block of commented-out lines of code should be removed.,QC:informa:src/de/nava/informa/exporters/RSS_1_0_Exporter.java,148.0,148.0,0.0,40.0,,
QC:informa,AV0IPm4cxxgZwiQcLVj2,AV0IPm4cxxgZwiQcLVj2,AV0IPnABxxgZwiQcLVng,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 11:36:24,2017-07-03 11:36:24,,This block of commented-out lines of code should be removed.,QC:informa:src/de/nava/informa/exporters/RSS_1_0_Exporter.java,204.0,204.0,0.0,48.0,,
QC:informa,AV0IPm4cxxgZwiQcLVj2,AV0IPm4cxxgZwiQcLVj2,AV0IPnABxxgZwiQcLVnh,CODE_SMELL,code_smells:complex_class,MINOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 11:36:24,2017-07-03 11:36:24,,Complex class,QC:informa:src/de/nava/informa/exporters/RSS_1_0_Exporter.java,1.0,1.0,0.0,2.0,,
QC:informa,AV0IPm4cxxgZwiQcLVj2,AV0IPm4cxxgZwiQcLVj2,AV0IPnAQxxgZwiQcLVni,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,20,20,pitfall,2017-07-03 11:36:24,2017-07-03 11:36:24,,1 duplicated blocks of code must be removed.,QC:informa:src/de/nava/informa/exporters/RSS_0_91_Exporter.java,,,,,,
