project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:itext,AV0I6tzdt6tne_r55TEb,AV0I6tzdt6tne_r55TEb,AV0I6uMWt6tne_r55TL9,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 14:44:27,2017-07-03 14:44:27,,Replace this use of System.out or System.err by a logger.,QC:itext:core/com/itextpdf/text/ExceptionConverter.java,125.0,125.0,24.0,34.0,,
QC:itext,AV0I6tzdt6tne_r55TEb,AV0I6tzdt6tne_r55TEb,AV0I6uMWt6tne_r55TL-,CODE_SMELL,squid:S1165,MAJOR,OPEN,,15,15,error-handling,2017-07-03 14:44:27,2017-07-03 14:44:27,,"Make this ""ex"" field final.",QC:itext:core/com/itextpdf/text/ExceptionConverter.java,63.0,63.0,22.0,24.0,,
QC:itext,AV0I6tzdt6tne_r55TEb,AV0I6tzdt6tne_r55TEb,AV0I6uMWt6tne_r55TL_,CODE_SMELL,squid:S1165,MAJOR,OPEN,,15,15,error-handling,2017-07-03 14:44:27,2017-07-03 14:44:27,,"Make this ""prefix"" field final.",QC:itext:core/com/itextpdf/text/ExceptionConverter.java,65.0,65.0,19.0,25.0,,
QC:itext,AV0I6tzdt6tne_r55TEb,AV0I6tzdt6tne_r55TEb,AV0I6uMWt6tne_r55TMA,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 14:44:27,2017-07-03 14:44:27,,Replace all tab characters in this file by sequences of white-spaces.,QC:itext:core/com/itextpdf/text/ExceptionConverter.java,,,,,,
QC:itext,AV0I6tzdt6tne_r55TEb,AV0I6tzdt6tne_r55TEb,AV0I6uMWt6tne_r55TMB,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 14:44:27,2017-07-03 14:44:27,,"Add the ""@Override"" annotation above this method signature",QC:itext:core/com/itextpdf/text/ExceptionConverter.java,103.0,103.0,18.0,28.0,,
QC:itext,AV0I6tzdt6tne_r55TEb,AV0I6tzdt6tne_r55TEb,AV0I6uMWt6tne_r55TMC,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 14:44:27,2017-07-03 14:44:27,,"Add the ""@Override"" annotation above this method signature",QC:itext:core/com/itextpdf/text/ExceptionConverter.java,111.0,111.0,18.0,37.0,,
QC:itext,AV0I6tzdt6tne_r55TEb,AV0I6tzdt6tne_r55TEb,AV0I6uMWt6tne_r55TMD,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 14:44:27,2017-07-03 14:44:27,,"Add the ""@Override"" annotation above this method signature",QC:itext:core/com/itextpdf/text/ExceptionConverter.java,119.0,119.0,18.0,26.0,,
QC:itext,AV0I6tzdt6tne_r55TEb,AV0I6tzdt6tne_r55TEb,AV0I6uMWt6tne_r55TME,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 14:44:27,2017-07-03 14:44:27,,"Add the ""@Override"" annotation above this method signature",QC:itext:core/com/itextpdf/text/ExceptionConverter.java,124.0,124.0,16.0,31.0,,
QC:itext,AV0I6tzdt6tne_r55TEb,AV0I6tzdt6tne_r55TEb,AV0I6uMWt6tne_r55TMF,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 14:44:27,2017-07-03 14:44:27,,"Add the ""@Override"" annotation above this method signature",QC:itext:core/com/itextpdf/text/ExceptionConverter.java,133.0,133.0,16.0,31.0,,
QC:itext,AV0I6tzdt6tne_r55TEb,AV0I6tzdt6tne_r55TEb,AV0I6uMWt6tne_r55TMG,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 14:44:27,2017-07-03 14:44:27,,"Add the ""@Override"" annotation above this method signature",QC:itext:core/com/itextpdf/text/ExceptionConverter.java,144.0,144.0,16.0,31.0,,
QC:itext,AV0I6tzdt6tne_r55TEb,AV0I6tzdt6tne_r55TEb,AV0I6uMWt6tne_r55TMH,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 14:44:27,2017-07-03 14:44:27,,"Add the ""@Override"" annotation above this method signature",QC:itext:core/com/itextpdf/text/ExceptionConverter.java,157.0,157.0,21.0,37.0,,
QC:itext,AV0I6tzdt6tne_r55TEb,AV0I6tzdt6tne_r55TEb,AV0I6uMWt6tne_r55TMI,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-03 14:44:27,2017-07-03 14:44:27,,Either log or rethrow this exception.,QC:itext:core/com/itextpdf/text/List.java,228.0,228.0,14.0,34.0,,
QC:itext,AV0I6tzdt6tne_r55TEb,AV0I6tzdt6tne_r55TEb,AV0I6uMWt6tne_r55TMJ,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 14:44:27,2017-07-03 14:44:27,,Replace all tab characters in this file by sequences of white-spaces.,QC:itext:core/com/itextpdf/text/List.java,,,,,,
QC:itext,AV0I6tzdt6tne_r55TEb,AV0I6tzdt6tne_r55TEb,AV0I6uMWt6tne_r55TMK,CODE_SMELL,squid:S1700,MAJOR,OPEN,,10,10,brain-overload,2017-07-03 14:44:27,2017-07-03 14:44:27,,"Rename field ""list""",QC:itext:core/com/itextpdf/text/List.java,115.0,115.0,33.0,37.0,,
QC:itext,AV0I6tzdt6tne_r55TEb,AV0I6tzdt6tne_r55TEb,AV0I6uMWt6tne_r55TML,CODE_SMELL,squid:S1155,MAJOR,OPEN,,2,2,clumsy,2017-07-03 14:44:27,2017-07-03 14:44:27,,Use isEmpty() to check whether the collection is empty or not.,QC:itext:core/com/itextpdf/text/List.java,449.0,449.0,12.0,27.0,,
QC:itext,AV0I6tzdt6tne_r55TEb,AV0I6tzdt6tne_r55TEb,AV0I6uMWt6tne_r55TMM,CODE_SMELL,squid:S1319,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 14:44:27,2017-07-03 14:44:27,,"The return type of this method should be an interface such as ""List"" rather than the implementation ""ArrayList"".",QC:itext:core/com/itextpdf/text/List.java,247.0,247.0,11.0,27.0,,
QC:itext,AV0I6tzdt6tne_r55TEb,AV0I6tzdt6tne_r55TEb,AV0I6uMWt6tne_r55TMN,CODE_SMELL,squid:S1319,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 14:44:27,2017-07-03 14:44:27,,"The return type of this method should be an interface such as ""List"" rather than the implementation ""ArrayList"".",QC:itext:core/com/itextpdf/text/List.java,421.0,421.0,11.0,29.0,,
QC:itext,AV0I6tzdt6tne_r55TEb,AV0I6tzdt6tne_r55TEb,AV0I6uMWt6tne_r55TMO,CODE_SMELL,code_smells:complex_class,MINOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 14:44:27,2017-07-03 14:44:27,,Complex class,QC:itext:core/com/itextpdf/text/List.java,1.0,1.0,0.0,2.0,,
QC:itext,AV0I6tzdt6tne_r55TEb,AV0I6tzdt6tne_r55TEb,AV0I6uMWt6tne_r55TMP,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,20,20,pitfall,2017-07-03 14:44:27,2017-07-03 14:44:27,,1 duplicated blocks of code must be removed.,QC:itext:core/com/itextpdf/text/RomanList.java,,,,,,
