project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:ivatagroupware,AV0JcQHnt6tne_r57ERj,AV0JcQHnt6tne_r57ERj,AV0JcQS1t6tne_r57EWg,CODE_SMELL,squid:S1905,MINOR,OPEN,,5,5,"clumsy,redundant",2017-07-03 17:11:55,2017-07-03 17:11:55,,"Remove this unnecessary cast to ""int"".",QC:ivatagroupware:core/src/java/com/ivata/groupware/container/persistence/BaseDO.java,147.0,147.0,36.0,39.0,,
QC:ivatagroupware,AV0JcQHnt6tne_r57ERj,AV0JcQHnt6tne_r57ERj,AV0JcQS1t6tne_r57EWh,CODE_SMELL,squid:S1905,MINOR,OPEN,,5,5,"clumsy,redundant",2017-07-03 17:11:55,2017-07-03 17:11:55,,"Remove this unnecessary cast to ""int"".",QC:ivatagroupware:core/src/java/com/ivata/groupware/container/persistence/BaseDO.java,149.0,149.0,32.0,35.0,,
QC:ivatagroupware,AV0JcQHnt6tne_r57ERj,AV0JcQHnt6tne_r57ERj,AV0JcQS1t6tne_r57EWi,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,30,30,pitfall,2017-07-03 17:11:55,2017-07-03 17:11:55,,2 duplicated blocks of code must be removed.,QC:ivatagroupware:core/src/java/com/ivata/groupware/container/persistence/hibernate/HibernateInterceptor.java,,,,,,
QC:ivatagroupware,AV0JcQHnt6tne_r57ERj,AV0JcQHnt6tne_r57ERj,AV0JcQS1t6tne_r57EWj,CODE_SMELL,squid:S1134,MAJOR,OPEN,,,,cwe,2017-07-03 17:11:55,2017-07-03 17:11:55,,Take the required action to fix the issue indicated by this comment.,QC:ivatagroupware:core/src/java/com/ivata/groupware/container/persistence/hibernate/HibernateInterceptor.java,409.0,409.0,0.0,77.0,,
QC:ivatagroupware,AV0JcQHnt6tne_r57ERj,AV0JcQHnt6tne_r57ERj,AV0JcQS1t6tne_r57EWk,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-03 17:11:55,2017-07-03 17:11:55,,"Define a constant instead of duplicating this literal "" listener(s) of superclass "" 3 times.",QC:ivatagroupware:core/src/java/com/ivata/groupware/container/persistence/hibernate/HibernateInterceptor.java,336.0,336.0,26.0,55.0,,
QC:ivatagroupware,AV0JcQHnt6tne_r57ERj,AV0JcQHnt6tne_r57ERj,AV0JcQS1t6tne_r57EWl,CODE_SMELL,squid:S1192,MINOR,OPEN,,10,10,design,2017-07-03 17:11:55,2017-07-03 17:11:55,,"Define a constant instead of duplicating this literal ""Error setting property for key '"" 4 times.",QC:ivatagroupware:core/src/java/com/ivata/groupware/container/persistence/hibernate/HibernateInterceptor.java,251.0,251.0,16.0,50.0,,
QC:ivatagroupware,AV0JcQHnt6tne_r57ERj,AV0JcQHnt6tne_r57ERj,AV0JcQS1t6tne_r57EWm,CODE_SMELL,squid:S1481,MAJOR,OPEN,,5,5,unused,2017-07-03 17:11:55,2017-07-03 17:11:55,,"Remove this unused ""className"" local variable.",QC:ivatagroupware:core/src/java/com/ivata/groupware/container/persistence/hibernate/HibernateInterceptor.java,321.0,321.0,15.0,24.0,,
QC:ivatagroupware,AV0JcQHnt6tne_r57ERj,AV0JcQHnt6tne_r57ERj,AV0JcQS1t6tne_r57EWn,CODE_SMELL,squid:S1481,MAJOR,OPEN,,5,5,unused,2017-07-03 17:11:55,2017-07-03 17:11:55,,"Remove this unused ""className"" local variable.",QC:ivatagroupware:core/src/java/com/ivata/groupware/container/persistence/hibernate/HibernateInterceptor.java,373.0,373.0,15.0,24.0,,
QC:ivatagroupware,AV0JcQHnt6tne_r57ERj,AV0JcQHnt6tne_r57ERj,AV0JcQS1t6tne_r57EWo,CODE_SMELL,squid:S1481,MAJOR,OPEN,,5,5,unused,2017-07-03 17:11:55,2017-07-03 17:11:55,,"Remove this unused ""className"" local variable.",QC:ivatagroupware:core/src/java/com/ivata/groupware/container/persistence/hibernate/HibernateInterceptor.java,453.0,453.0,15.0,24.0,,
QC:ivatagroupware,AV0JcQHnt6tne_r57ERj,AV0JcQHnt6tne_r57ERj,AV0JcQS1t6tne_r57EWp,CODE_SMELL,squid:S2447,CRITICAL,OPEN,,20,20,pitfall,2017-07-03 17:11:55,2017-07-03 17:11:55,,"Null is returned but a ""Boolean"" is expected.",QC:ivatagroupware:core/src/java/com/ivata/groupware/container/persistence/hibernate/HibernateInterceptor.java,300.0,300.0,15.0,19.0,,
QC:ivatagroupware,AV0JcQHnt6tne_r57ERj,AV0JcQHnt6tne_r57ERj,AV0JcQS1t6tne_r57EWq,CODE_SMELL,squid:S1168,MAJOR,OPEN,,30,30,cert,2017-07-03 17:11:55,2017-07-03 17:11:55,,Return an empty array instead of null.,QC:ivatagroupware:core/src/java/com/ivata/groupware/container/persistence/hibernate/HibernateInterceptor.java,177.0,177.0,15.0,19.0,,
QC:ivatagroupware,AV0JcQHnt6tne_r57ERj,AV0JcQHnt6tne_r57ERj,AV0JcQS1t6tne_r57EWr,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 17:11:55,2017-07-03 17:11:55,,Move this variable to comply with Java Code Conventions.,QC:ivatagroupware:core/src/java/com/ivata/groupware/container/persistence/hibernate/HibernateInterceptor.java,155.0,155.0,21.0,37.0,,
QC:ivatagroupware,AV0JcQHnt6tne_r57ERj,AV0JcQHnt6tne_r57ERj,AV0JcQS1t6tne_r57EWs,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 17:11:55,2017-07-03 17:11:55,,Move this variable to comply with Java Code Conventions.,QC:ivatagroupware:core/src/java/com/ivata/groupware/container/persistence/hibernate/HibernateInterceptor.java,156.0,156.0,21.0,37.0,,
QC:ivatagroupware,AV0JcQHnt6tne_r57ERj,AV0JcQHnt6tne_r57ERj,AV0JcQS1t6tne_r57EWt,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 17:11:55,2017-07-03 17:11:55,,Move this variable to comply with Java Code Conventions.,QC:ivatagroupware:core/src/java/com/ivata/groupware/container/persistence/hibernate/HibernateInterceptor.java,157.0,157.0,19.0,33.0,,
QC:ivatagroupware,AV0JcQHnt6tne_r57ERj,AV0JcQHnt6tne_r57ERj,AV0JcQS1t6tne_r57EWu,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 17:11:55,2017-07-03 17:11:55,,Move this constructor to comply with Java Code Conventions.,QC:ivatagroupware:core/src/java/com/ivata/groupware/container/persistence/hibernate/HibernateInterceptor.java,158.0,158.0,11.0,31.0,,
QC:ivatagroupware,AV0JcQHnt6tne_r57ERj,AV0JcQHnt6tne_r57ERj,AV0JcQS1t6tne_r57EWv,CODE_SMELL,squid:AssignmentInSubExpressionCheck,MAJOR,OPEN,,5,5,"cert,cwe,misra,suspicious",2017-07-03 17:11:55,2017-07-03 17:11:55,,Extract the assignment out of this expression.,QC:ivatagroupware:core/src/java/com/ivata/groupware/container/persistence/hibernate/HibernateInterceptor.java,109.0,109.0,42.0,43.0,,
QC:ivatagroupware,AV0JcQHnt6tne_r57ERj,AV0JcQHnt6tne_r57ERj,AV0JcQS1t6tne_r57EWw,CODE_SMELL,squid:AssignmentInSubExpressionCheck,MAJOR,OPEN,,5,5,"cert,cwe,misra,suspicious",2017-07-03 17:11:55,2017-07-03 17:11:55,,Extract the assignment out of this expression.,QC:ivatagroupware:core/src/java/com/ivata/groupware/container/persistence/hibernate/HibernateInterceptor.java,130.0,130.0,44.0,45.0,,
