project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:jag,AV0I_RrCt6tne_r55jeh,AV0I_RrCt6tne_r55jeh,AV0I_R1it6tne_r55jpH,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 15:05:39,2017-07-03 15:05:39,,Move this variable to comply with Java Code Conventions.,QC:jag:src/com/finalist/jaggenerator/JagGenerator.java,1870.0,1870.0,30.0,40.0,,
QC:jag,AV0I_RrCt6tne_r55jeh,AV0I_RrCt6tne_r55jeh,AV0I_R1it6tne_r55jpJ,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 15:05:39,2017-07-03 15:05:39,,Move this variable to comply with Java Code Conventions.,QC:jag:src/com/finalist/jaggenerator/JagGenerator.java,1872.0,1872.0,32.0,52.0,,
QC:jag,AV0I_RrCt6tne_r55jeh,AV0I_RrCt6tne_r55jeh,AV0I_R1it6tne_r55jpL,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 15:05:39,2017-07-03 15:05:39,,Move this variable to comply with Java Code Conventions.,QC:jag:src/com/finalist/jaggenerator/JagGenerator.java,1874.0,1874.0,30.0,44.0,,
QC:jag,AV0I_RrCt6tne_r55jeh,AV0I_RrCt6tne_r55jeh,AV0I_R1it6tne_r55jpQ,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 15:05:39,2017-07-03 15:05:39,,Move this variable to comply with Java Code Conventions.,QC:jag:src/com/finalist/jaggenerator/JagGenerator.java,1879.0,1879.0,30.0,53.0,,
QC:jag,AV0I_RrCt6tne_r55jeh,AV0I_RrCt6tne_r55jeh,AV0I_R1it6tne_r55jpS,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 15:05:39,2017-07-03 15:05:39,,Move this variable to comply with Java Code Conventions.,QC:jag:src/com/finalist/jaggenerator/JagGenerator.java,1881.0,1881.0,34.0,48.0,,
QC:jag,AV0I_RrCt6tne_r55jeh,AV0I_RrCt6tne_r55jeh,AV0I_R1it6tne_r55jpU,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 15:05:39,2017-07-03 15:05:39,,Move this variable to comply with Java Code Conventions.,QC:jag:src/com/finalist/jaggenerator/JagGenerator.java,1883.0,1883.0,37.0,48.0,,
QC:jag,AV0I_RrCt6tne_r55jeh,AV0I_RrCt6tne_r55jeh,AV0I_R1it6tne_r55jpW,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 15:05:39,2017-07-03 15:05:39,,Move this variable to comply with Java Code Conventions.,QC:jag:src/com/finalist/jaggenerator/JagGenerator.java,1885.0,1885.0,34.0,55.0,,
QC:jag,AV0I_RrCt6tne_r55jeh,AV0I_RrCt6tne_r55jeh,AV0I_R1it6tne_r55jpY,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 15:05:39,2017-07-03 15:05:39,,Move this variable to comply with Java Code Conventions.,QC:jag:src/com/finalist/jaggenerator/JagGenerator.java,1887.0,1887.0,32.0,44.0,,
QC:jag,AV0I_RrCt6tne_r55jeh,AV0I_RrCt6tne_r55jeh,AV0I_R1it6tne_r55jpa,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 15:05:39,2017-07-03 15:05:39,,Move this variable to comply with Java Code Conventions.,QC:jag:src/com/finalist/jaggenerator/JagGenerator.java,1889.0,1889.0,34.0,46.0,,
QC:jag,AV0I_RrCt6tne_r55jeh,AV0I_RrCt6tne_r55jeh,AV0I_R1it6tne_r55jpc,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 15:05:39,2017-07-03 15:05:39,,Move this variable to comply with Java Code Conventions.,QC:jag:src/com/finalist/jaggenerator/JagGenerator.java,1891.0,1891.0,32.0,43.0,,
QC:jag,AV0I_RrCt6tne_r55jeh,AV0I_RrCt6tne_r55jeh,AV0I_R1it6tne_r55jpe,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 15:05:39,2017-07-03 15:05:39,,Move this variable to comply with Java Code Conventions.,QC:jag:src/com/finalist/jaggenerator/JagGenerator.java,1893.0,1893.0,30.0,43.0,,
QC:jag,AV0I_RrCt6tne_r55jeh,AV0I_RrCt6tne_r55jeh,AV0I_R1it6tne_r55jpf,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 15:05:39,2017-07-03 15:05:39,,Move this variable to comply with Java Code Conventions.,QC:jag:src/com/finalist/jaggenerator/JagGenerator.java,1894.0,1894.0,34.0,67.0,,
QC:jag,AV0I_RrCt6tne_r55jeh,AV0I_RrCt6tne_r55jeh,AV0I_R1it6tne_r55jpj,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 15:05:39,2017-07-03 15:05:39,,Move this variable to comply with Java Code Conventions.,QC:jag:src/com/finalist/jaggenerator/JagGenerator.java,1898.0,1898.0,35.0,46.0,,
QC:jag,AV0I_RrCt6tne_r55jeh,AV0I_RrCt6tne_r55jeh,AV0I_R1it6tne_r55jpl,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 15:05:39,2017-07-03 15:05:39,,Move this variable to comply with Java Code Conventions.,QC:jag:src/com/finalist/jaggenerator/JagGenerator.java,1900.0,1900.0,35.0,46.0,,
QC:jag,AV0I_RrCt6tne_r55jeh,AV0I_RrCt6tne_r55jeh,AV0I_R1it6tne_r55jpn,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 15:05:39,2017-07-03 15:05:39,,Move this variable to comply with Java Code Conventions.,QC:jag:src/com/finalist/jaggenerator/JagGenerator.java,1902.0,1902.0,33.0,40.0,,
QC:jag,AV0I_RrCt6tne_r55jeh,AV0I_RrCt6tne_r55jeh,AV0I_R1it6tne_r55jpp,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 15:05:39,2017-07-03 15:05:39,,Move this variable to comply with Java Code Conventions.,QC:jag:src/com/finalist/jaggenerator/JagGenerator.java,1904.0,1904.0,34.0,45.0,,
QC:jag,AV0I_RrCt6tne_r55jeh,AV0I_RrCt6tne_r55jeh,AV0I_R1it6tne_r55jpr,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 15:05:39,2017-07-03 15:05:39,,Move this variable to comply with Java Code Conventions.,QC:jag:src/com/finalist/jaggenerator/JagGenerator.java,1906.0,1906.0,34.0,46.0,,
QC:jag,AV0I_RrCt6tne_r55jeh,AV0I_RrCt6tne_r55jeh,AV0I_R1it6tne_r55jpt,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 15:05:39,2017-07-03 15:05:39,,Move this variable to comply with Java Code Conventions.,QC:jag:src/com/finalist/jaggenerator/JagGenerator.java,1908.0,1908.0,34.0,48.0,,
