project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:james,AV0HwCCKxxgZwiQcK2Im,AV0HwCCKxxgZwiQcK2Im,AV0HwCXpxxgZwiQcK2Qg,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 09:18:05,2017-07-03 09:18:05,,"Move the ""HELO"" string literal on the left side of this string comparison.",QC:james:proposals/sasl/src/java/org/apache/james/smtpserver/SMTPHandler.java,238.0,238.0,37.0,43.0,,
QC:james,AV0HwCCKxxgZwiQcK2Im,AV0HwCCKxxgZwiQcK2Im,AV0HwCXpxxgZwiQcK2Qi,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 09:18:05,2017-07-03 09:18:05,,"Move the ""AUTH"" string literal on the left side of this string comparison.",QC:james:proposals/sasl/src/java/org/apache/james/smtpserver/SMTPHandler.java,242.0,242.0,42.0,48.0,,
QC:james,AV0HwCCKxxgZwiQcK2Im,AV0HwCCKxxgZwiQcK2Im,AV0HwCXpxxgZwiQcK2Qk,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 09:18:05,2017-07-03 09:18:05,,"Move the ""RCPT"" string literal on the left side of this string comparison.",QC:james:proposals/sasl/src/java/org/apache/james/smtpserver/SMTPHandler.java,246.0,246.0,42.0,48.0,,
QC:james,AV0HwCCKxxgZwiQcK2Im,AV0HwCCKxxgZwiQcK2Im,AV0HwCXpxxgZwiQcK2Qm,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 09:18:05,2017-07-03 09:18:05,,"Move the ""RSET"" string literal on the left side of this string comparison.",QC:james:proposals/sasl/src/java/org/apache/james/smtpserver/SMTPHandler.java,250.0,250.0,42.0,48.0,,
QC:james,AV0HwCCKxxgZwiQcK2Im,AV0HwCCKxxgZwiQcK2Im,AV0HwCXpxxgZwiQcK2Qo,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 09:18:05,2017-07-03 09:18:05,,"Move the ""QUIT"" string literal on the left side of this string comparison.",QC:james:proposals/sasl/src/java/org/apache/james/smtpserver/SMTPHandler.java,254.0,254.0,42.0,48.0,,
QC:james,AV0HwCCKxxgZwiQcK2Im,AV0HwCCKxxgZwiQcK2Im,AV0HwCXpxxgZwiQcK2Qq,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 09:18:05,2017-07-03 09:18:05,,"Move the ""LOGIN"" string literal on the left side of this string comparison.",QC:james:proposals/sasl/src/java/org/apache/james/smtpserver/SMTPHandler.java,345.0,345.0,45.0,52.0,,
QC:james,AV0HwCCKxxgZwiQcK2Im,AV0HwCCKxxgZwiQcK2Im,AV0HwCXpxxgZwiQcK2Qs,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 09:18:05,2017-07-03 09:18:05,,"Move the ""TO"" string literal on the left side of this string comparison.",QC:james:proposals/sasl/src/java/org/apache/james/smtpserver/SMTPHandler.java,436.0,436.0,66.0,70.0,,
QC:james,AV0HwCCKxxgZwiQcK2Im,AV0HwCCKxxgZwiQcK2Im,AV0HwCXpxxgZwiQcK2Qu,CODE_SMELL,squid:ModifiersOrderCheck,MINOR,OPEN,,2,2,convention,2017-07-03 09:18:05,2017-07-03 09:18:05,,Reorder the modifiers to comply with the Java Language Specification.,QC:james:proposals/sasl/src/java/org/apache/james/smtpserver/SMTPHandler.java,60.0,60.0,17.0,23.0,,
QC:james,AV0HwCCKxxgZwiQcK2Im,AV0HwCCKxxgZwiQcK2Im,AV0HwCXpxxgZwiQcK2Qw,CODE_SMELL,squid:ModifiersOrderCheck,MINOR,OPEN,,2,2,convention,2017-07-03 09:18:05,2017-07-03 09:18:05,,Reorder the modifiers to comply with the Java Language Specification.,QC:james:proposals/sasl/src/java/org/apache/james/smtpserver/SMTPHandler.java,62.0,62.0,17.0,23.0,,
QC:james,AV0HwCCKxxgZwiQcK2Im,AV0HwCCKxxgZwiQcK2Im,AV0HwCXpxxgZwiQcK2Qy,CODE_SMELL,squid:ModifiersOrderCheck,MINOR,OPEN,,2,2,convention,2017-07-03 09:18:05,2017-07-03 09:18:05,,Reorder the modifiers to comply with the Java Language Specification.,QC:james:proposals/sasl/src/java/org/apache/james/smtpserver/SMTPHandler.java,64.0,64.0,17.0,23.0,,
