project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:jena,AV0ghSjjt6tne_r58eB9,AV0ghSjjt6tne_r58eB9,AV0ghYmxt6tne_r58eWm,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-05 14:22:15,2017-07-05 14:22:15,,This block of commented-out lines of code should be removed.,QC:jena:src/com/hp/hpl/jena/db/GraphRDB.java,204.0,204.0,0.0,108.0,,
QC:jena,AV0ghSjjt6tne_r58eB9,AV0ghSjjt6tne_r58eB9,AV0ghYnBt6tne_r58eWn,CODE_SMELL,code_smells:complex_class,MINOR,OPEN,,90,90,"antipattern,code-smell",2017-07-05 14:22:15,2017-07-05 14:22:15,,Complex class,QC:jena:src/com/hp/hpl/jena/db/GraphRDB.java,1.0,1.0,0.0,3.0,,
QC:jena,AV0ghSjjt6tne_r58eB9,AV0ghSjjt6tne_r58eB9,AV0ghYpdt6tne_r58ei4,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-05 14:22:15,2017-07-05 14:22:15,,"Rename this field ""m_dbid"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:jena:src/com/hp/hpl/jena/db/impl/DBIDInt.java,27.0,27.0,22.0,28.0,,
QC:jena,AV0ghSjjt6tne_r58eB9,AV0ghSjjt6tne_r58eB9,AV0ghYnBt6tne_r58eWp,CODE_SMELL,code_smells:long_parameter_list,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-05 14:22:15,2017-07-05 14:22:15,,Long parameter list,QC:jena:src/com/hp/hpl/jena/db/GraphRDB.java,1.0,1.0,0.0,3.0,,
QC:jena,AV0ghSjjt6tne_r58eB9,AV0ghSjjt6tne_r58eB9,AV0ghYptt6tne_r58ei6,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-05 14:22:15,2017-07-05 14:22:15,,Replace all tab characters in this file by sequences of white-spaces.,QC:jena:src/com/hp/hpl/jena/db/impl/IPSet.java,,,,,,
QC:jena,AV0ghSjjt6tne_r58eB9,AV0ghSjjt6tne_r58eB9,AV0ghYnBt6tne_r58eWs,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-05 14:22:15,2017-07-05 14:22:15,,"Move the ""hsqldb"" string literal on the left side of this string comparison.",QC:jena:src/com/hp/hpl/jena/db/DBConnection.java,242.0,242.0,45.0,53.0,,
QC:jena,AV0ghSjjt6tne_r58eB9,AV0ghSjjt6tne_r58eB9,AV0ghYnBt6tne_r58eWt,CODE_SMELL,squid:S1066,MAJOR,OPEN,,5,5,clumsy,2017-07-05 14:22:15,2017-07-05 14:22:15,,Merge this if statement with the enclosing one.,QC:jena:src/com/hp/hpl/jena/db/DBConnection.java,90.0,90.0,3.0,5.0,,
QC:jena,AV0ghSjjt6tne_r58eB9,AV0ghSjjt6tne_r58eB9,AV0ghYptt6tne_r58ei9,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-05 14:22:15,2017-07-05 14:22:15,,"Rename this field ""m_specializedGraphs"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:jena:src/com/hp/hpl/jena/db/impl/DBReifierGraph.java,31.0,31.0,41.0,60.0,,
QC:jena,AV0ghSjjt6tne_r58eB9,AV0ghSjjt6tne_r58eB9,AV0ghYnBt6tne_r58eWv,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-05 14:22:15,2017-07-05 14:22:15,,"Rename this field ""m_connection"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:jena:src/com/hp/hpl/jena/db/DBConnection.java,28.0,28.0,25.0,37.0,,
QC:jena,AV0ghSjjt6tne_r58eB9,AV0ghSjjt6tne_r58eB9,AV0ghYptt6tne_r58ei_,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-05 14:22:15,2017-07-05 14:22:15,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:jena:src/com/hp/hpl/jena/db/impl/DBReifierGraph.java,88.0,88.0,0.0,51.0,,
