project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:jext,AV0MfHI-t6tne_r57uFG,AV0MfHI-t6tne_r57uFG,AV0MfKKWt6tne_r57uPF,CODE_SMELL,squid:HiddenFieldCheck,MAJOR,OPEN,,5,5,"cert,pitfall",2017-07-04 06:59:17,2017-07-04 06:59:17,,"Rename ""close"" which hides the field declared at line 34.",QC:jext:src/updating/ChoiceForm.java,214.0,214.0,14.0,19.0,,
QC:jext,AV0MfHI-t6tne_r57uFG,AV0MfHI-t6tne_r57uFG,AV0MfKKWt6tne_r57uPG,CODE_SMELL,squid:SwitchLastCaseIsDefaultCheck,MAJOR,OPEN,,5,5,"cert,cwe,misra",2017-07-04 06:59:17,2017-07-04 06:59:17,,Add a default case to this switch.,QC:jext:src/updating/ChoiceForm.java,339.0,339.0,6.0,12.0,,
QC:jext,AV0MfHI-t6tne_r57uFG,AV0MfHI-t6tne_r57uFG,AV0MfKKWt6tne_r57uPH,CODE_SMELL,squid:S1197,MINOR,OPEN,,5,5,convention,2017-07-04 06:59:17,2017-07-04 06:59:17,,Move the array designator from the variable to the type.,QC:jext:src/updating/ChoiceForm.java,141.0,141.0,14.0,15.0,,
QC:jext,AV0MfHI-t6tne_r57uFG,AV0MfHI-t6tne_r57uFG,AV0MfKKWt6tne_r57uPI,CODE_SMELL,squid:S1197,MINOR,OPEN,,5,5,convention,2017-07-04 06:59:17,2017-07-04 06:59:17,,Move the array designator from the variable to the type.,QC:jext:src/updating/ChoiceForm.java,238.0,238.0,26.0,27.0,,
QC:jext,AV0MfHI-t6tne_r57uFG,AV0MfHI-t6tne_r57uFG,AV0MfKKWt6tne_r57uPJ,CODE_SMELL,squid:S1220,MINOR,OPEN,,10,10,convention,2017-07-04 06:59:17,2017-07-04 06:59:17,,Move this file to a named package.,QC:jext:src/updating/ChoiceForm.java,,,,,,
QC:jext,AV0MfHI-t6tne_r57uFG,AV0MfHI-t6tne_r57uFG,AV0MfKKWt6tne_r57uPK,CODE_SMELL,squid:S1481,MAJOR,OPEN,,5,5,unused,2017-07-04 06:59:17,2017-07-04 06:59:17,,"Remove this unused ""comp"" local variable.",QC:jext:src/updating/ChoiceForm.java,255.0,255.0,17.0,21.0,,
QC:jext,AV0MfHI-t6tne_r57uFG,AV0MfHI-t6tne_r57uFG,AV0MfKKWt6tne_r57uPL,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-04 06:59:17,2017-07-04 06:59:17,,Either log or rethrow this exception.,QC:jext:src/updating/ChoiceForm.java,163.0,163.0,17.0,32.0,,
QC:jext,AV0MfHI-t6tne_r57uFG,AV0MfHI-t6tne_r57uFG,AV0MfKKWt6tne_r57uPM,CODE_SMELL,squid:AssignmentInSubExpressionCheck,MAJOR,OPEN,,5,5,"cert,cwe,misra,suspicious",2017-07-04 06:59:17,2017-07-04 06:59:17,,Extract the assignment out of this expression.,QC:jext:src/updating/ChoiceForm.java,98.0,98.0,23.0,24.0,,
QC:jext,AV0MfHI-t6tne_r57uFG,AV0MfHI-t6tne_r57uFG,AV0MfKKWt6tne_r57uPN,VULNERABILITY,squid:S1148,CRITICAL,OPEN,,10,10,error-handling,2017-07-04 06:59:17,2017-07-04 06:59:17,,Use a logger to log this exception.,QC:jext:src/updating/ChoiceForm.java,164.0,164.0,14.0,29.0,,
QC:jext,AV0MfHI-t6tne_r57uFG,AV0MfHI-t6tne_r57uFG,AV0MfKKWt6tne_r57uPO,VULNERABILITY,squid:S1148,CRITICAL,OPEN,,10,10,error-handling,2017-07-04 06:59:17,2017-07-04 06:59:17,,Use a logger to log this exception.,QC:jext:src/updating/ChoiceForm.java,188.0,188.0,14.0,29.0,,
