project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:jfreechart,AV0MgGubt6tne_r57w7m,AV0MgGubt6tne_r57w7m,AV0MgH0ft6tne_r57xP-,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-04 07:24:34,2017-07-04 07:24:34,,Move this constructor to comply with Java Code Conventions.,QC:jfreechart:tests/org/jfree/data/xy/junit/XYCoordinateTests.java,75.0,75.0,11.0,28.0,,
QC:jfreechart,AV0MgGubt6tne_r57w7m,AV0MgGubt6tne_r57w7m,AV0MgH0ft6tne_r57xP_,VULNERABILITY,squid:S1148,CRITICAL,OPEN,,10,10,error-handling,2017-07-04 07:24:34,2017-07-04 07:24:34,,Use a logger to log this exception.,QC:jfreechart:tests/org/jfree/data/xy/junit/XYCoordinateTests.java,138.0,138.0,14.0,29.0,,
QC:jfreechart,AV0MgGubt6tne_r57w7m,AV0MgGubt6tne_r57w7m,AV0MgH0ft6tne_r57xQA,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,30,30,pitfall,2017-07-04 07:24:34,2017-07-04 07:24:34,,2 duplicated blocks of code must be removed.,QC:jfreechart:tests/org/jfree/data/xy/junit/XYIntervalTests.java,,,,,,
QC:jfreechart,AV0MgGubt6tne_r57w7m,AV0MgGubt6tne_r57w7m,AV0MgH0ft6tne_r57xQB,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-04 07:24:34,2017-07-04 07:24:34,,Either log or rethrow this exception.,QC:jfreechart:tests/org/jfree/data/xy/junit/XYIntervalTests.java,139.0,139.0,15.0,26.0,,
QC:jfreechart,AV0MgGubt6tne_r57w7m,AV0MgGubt6tne_r57w7m,AV0MgH4Zt6tne_r57xZT,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-04 07:24:34,2017-07-04 07:24:34,,Move this constructor to comply with Java Code Conventions.,QC:jfreechart:tests/org/jfree/data/statistics/junit/MeanAndStandardDeviationTests.java,75.0,75.0,11.0,40.0,,
QC:jfreechart,AV0MgGubt6tne_r57w7m,AV0MgGubt6tne_r57w7m,AV0MgH0ft6tne_r57xQD,VULNERABILITY,squid:S1148,CRITICAL,OPEN,,10,10,error-handling,2017-07-04 07:24:34,2017-07-04 07:24:34,,Use a logger to log this exception.,QC:jfreechart:tests/org/jfree/data/xy/junit/XYIntervalTests.java,140.0,140.0,14.0,29.0,,
QC:jfreechart,AV0MgGubt6tne_r57w7m,AV0MgGubt6tne_r57w7m,AV0MgH0ft6tne_r57xQE,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,80,80,pitfall,2017-07-04 07:24:34,2017-07-04 07:24:34,,7 duplicated blocks of code must be removed.,QC:jfreechart:tests/org/jfree/data/xy/junit/DefaultIntervalXYDatasetTests.java,,,,,,
QC:jfreechart,AV0MgGubt6tne_r57w7m,AV0MgGubt6tne_r57w7m,AV0MgH4Zt6tne_r57xZW,CODE_SMELL,squid:S1192,MINOR,OPEN,,24,24,design,2017-07-04 07:24:34,2017-07-04 07:24:34,,"Define a constant instead of duplicating this literal ""Category 1"" 11 times.",QC:jfreechart:tests/org/jfree/data/category/junit/DefaultIntervalCategoryDatasetTests.java,96.0,96.0,34.0,46.0,,
QC:jfreechart,AV0MgGubt6tne_r57w7m,AV0MgGubt6tne_r57w7m,AV0MgH0ft6tne_r57xQG,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-04 07:24:34,2017-07-04 07:24:34,,Either log or rethrow this exception.,QC:jfreechart:tests/org/jfree/data/xy/junit/DefaultIntervalXYDatasetTests.java,114.0,114.0,15.0,41.0,,
QC:jfreechart,AV0MgGubt6tne_r57w7m,AV0MgGubt6tne_r57w7m,AV0MgH4Zt6tne_r57xZY,CODE_SMELL,squid:S1192,MINOR,OPEN,,18,18,design,2017-07-04 07:24:34,2017-07-04 07:24:34,,"Define a constant instead of duplicating this literal ""Category 3"" 8 times.",QC:jfreechart:tests/org/jfree/data/category/junit/DefaultIntervalCategoryDatasetTests.java,96.0,96.0,62.0,74.0,,
QC:jfreechart,AV0MgGubt6tne_r57w7m,AV0MgGubt6tne_r57w7m,AV0MgH4Zt6tne_r57xZZ,CODE_SMELL,squid:S1192,MINOR,OPEN,,34,34,design,2017-07-04 07:24:34,2017-07-04 07:24:34,,"Define a constant instead of duplicating this literal ""Category 2"" 16 times.",QC:jfreechart:tests/org/jfree/data/category/junit/DefaultIntervalCategoryDatasetTests.java,96.0,96.0,48.0,60.0,,
QC:jfreechart,AV0MgGubt6tne_r57w7m,AV0MgGubt6tne_r57w7m,AV0MgH0ft6tne_r57xQK,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-04 07:24:34,2017-07-04 07:24:34,,Either log or rethrow this exception.,QC:jfreechart:tests/org/jfree/data/xy/junit/DefaultIntervalXYDatasetTests.java,281.0,281.0,15.0,43.0,,
