project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:jgraph,AV0Hv2ScxxgZwiQcK1cv,AV0Hv2ScxxgZwiQcK1cv,AV0Hv2g2xxgZwiQcK1gQ,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 09:18:16,2017-07-03 09:18:16,,Replace all tab characters in this file by sequences of white-spaces.,QC:jgraph:examples/org/jgraph/example/LiveJGraphInternalFrame.java,,,,,,
QC:jgraph,AV0Hv2ScxxgZwiQcK1cv,AV0Hv2ScxxgZwiQcK1cv,AV0Hv2g2xxgZwiQcK1gR,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-03 09:18:16,2017-07-03 09:18:16,,"Rename this field ""_graphCell"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:jgraph:examples/org/jgraph/example/LiveJGraphInternalFrame.java,11.0,11.0,26.0,36.0,,
QC:jgraph,AV0Hv2ScxxgZwiQcK1cv,AV0Hv2ScxxgZwiQcK1cv,AV0Hv2g2xxgZwiQcK1gS,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 09:18:16,2017-07-03 09:18:16,,"Add the ""@Override"" annotation above this method signature",QC:jgraph:examples/org/jgraph/example/LiveJGraphInternalFrame.java,30.0,30.0,15.0,23.0,,
QC:jgraph,AV0Hv2ScxxgZwiQcK1cv,AV0Hv2ScxxgZwiQcK1cv,AV0Hv2g2xxgZwiQcK1gT,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,50,50,pitfall,2017-07-03 09:18:16,2017-07-03 09:18:16,,4 duplicated blocks of code must be removed.,QC:jgraph:examples/org/jgraph/example/LiveJGraphDemo.java,,,,,,
QC:jgraph,AV0Hv2ScxxgZwiQcK1cv,AV0Hv2ScxxgZwiQcK1cv,AV0Hv2g2xxgZwiQcK1gU,CODE_SMELL,squid:S1197,MINOR,OPEN,,5,5,convention,2017-07-03 09:18:16,2017-07-03 09:18:16,,Move the array designator from the variable to the type.,QC:jgraph:examples/org/jgraph/example/LiveJGraphDemo.java,105.0,105.0,21.0,22.0,,
QC:jgraph,AV0Hv2ScxxgZwiQcK1cv,AV0Hv2ScxxgZwiQcK1cv,AV0Hv2g2xxgZwiQcK1gV,CODE_SMELL,squid:S1197,MINOR,OPEN,,5,5,convention,2017-07-03 09:18:16,2017-07-03 09:18:16,,Move the array designator from the variable to the type.,QC:jgraph:examples/org/jgraph/example/LiveJGraphDemo.java,133.0,133.0,21.0,22.0,,
QC:jgraph,AV0Hv2ScxxgZwiQcK1cv,AV0Hv2ScxxgZwiQcK1cv,AV0Hv2g2xxgZwiQcK1gW,CODE_SMELL,squid:S1197,MINOR,OPEN,,5,5,convention,2017-07-03 09:18:16,2017-07-03 09:18:16,,Move the array designator from the variable to the type.,QC:jgraph:examples/org/jgraph/example/LiveJGraphDemo.java,147.0,147.0,21.0,22.0,,
QC:jgraph,AV0Hv2ScxxgZwiQcK1cv,AV0Hv2ScxxgZwiQcK1cv,AV0Hv2g2xxgZwiQcK1gX,CODE_SMELL,squid:S1197,MINOR,OPEN,,5,5,convention,2017-07-03 09:18:16,2017-07-03 09:18:16,,Move the array designator from the variable to the type.,QC:jgraph:examples/org/jgraph/example/LiveJGraphDemo.java,175.0,175.0,21.0,22.0,,
QC:jgraph,AV0Hv2ScxxgZwiQcK1cv,AV0Hv2ScxxgZwiQcK1cv,AV0Hv2g2xxgZwiQcK1gY,CODE_SMELL,squid:S1197,MINOR,OPEN,,5,5,convention,2017-07-03 09:18:16,2017-07-03 09:18:16,,Move the array designator from the variable to the type.,QC:jgraph:examples/org/jgraph/example/LiveJGraphDemo.java,189.0,189.0,21.0,22.0,,
QC:jgraph,AV0Hv2ScxxgZwiQcK1cv,AV0Hv2ScxxgZwiQcK1cv,AV0Hv2g2xxgZwiQcK1gZ,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-03 09:18:16,2017-07-03 09:18:16,,Either log or rethrow this exception.,QC:jgraph:examples/org/jgraph/example/LiveJGraphDemo.java,112.0,112.0,12.0,37.0,,
