project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:jhotdraw,AV0Hx__FxxgZwiQcK884,AV0Hx__FxxgZwiQcK884,AV0HyAoWxxgZwiQcK9pX,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-03 09:26:04,2017-07-03 09:26:04,,Either log or rethrow this exception.,QC:jhotdraw:Source/jhotdraw7/src/main/java/org/jhotdraw/app/action/file/PrintFileAction.java,140.0,140.0,17.0,28.0,,
QC:jhotdraw,AV0Hx__FxxgZwiQcK884,AV0Hx__FxxgZwiQcK884,AV0HyAoWxxgZwiQcK9pY,CODE_SMELL,squid:S1181,BLOCKER,OPEN,,20,20,"bad-practice,cert,cwe,error-handling",2017-07-03 09:26:04,2017-07-03 09:26:04,,Catch Exception instead of Throwable.,QC:jhotdraw:Source/jhotdraw7/src/main/java/org/jhotdraw/app/action/file/PrintFileAction.java,110.0,110.0,17.0,26.0,,
QC:jhotdraw,AV0Hx__FxxgZwiQcK884,AV0Hx__FxxgZwiQcK884,AV0HyAoWxxgZwiQcK9pZ,CODE_SMELL,squid:S1181,BLOCKER,OPEN,,20,20,"bad-practice,cert,cwe,error-handling",2017-07-03 09:26:04,2017-07-03 09:26:04,,Catch Exception instead of Throwable.,QC:jhotdraw:Source/jhotdraw7/src/main/java/org/jhotdraw/app/action/file/PrintFileAction.java,140.0,140.0,17.0,26.0,,
QC:jhotdraw,AV0Hx__FxxgZwiQcK884,AV0Hx__FxxgZwiQcK884,AV0HyAoWxxgZwiQcK9pa,VULNERABILITY,squid:S1148,CRITICAL,OPEN,,10,10,error-handling,2017-07-03 09:26:04,2017-07-03 09:26:04,,Use a logger to log this exception.,QC:jhotdraw:Source/jhotdraw7/src/main/java/org/jhotdraw/app/action/file/PrintFileAction.java,111.0,111.0,14.0,29.0,,
QC:jhotdraw,AV0Hx__FxxgZwiQcK884,AV0Hx__FxxgZwiQcK884,AV0HyAoWxxgZwiQcK9pb,VULNERABILITY,squid:S1148,CRITICAL,OPEN,,10,10,error-handling,2017-07-03 09:26:04,2017-07-03 09:26:04,,Use a logger to log this exception.,QC:jhotdraw:Source/jhotdraw7/src/main/java/org/jhotdraw/app/action/file/PrintFileAction.java,141.0,141.0,14.0,29.0,,
QC:jhotdraw,AV0Hx__FxxgZwiQcK884,AV0Hx__FxxgZwiQcK884,AV0HyAoWxxgZwiQcK9pc,VULNERABILITY,squid:S1148,CRITICAL,OPEN,,10,10,error-handling,2017-07-03 09:26:04,2017-07-03 09:26:04,,Use a logger to log this exception.,QC:jhotdraw:Source/jhotdraw7/src/main/java/org/jhotdraw/app/action/file/PrintFileAction.java,217.0,217.0,21.0,36.0,,
QC:jhotdraw,AV0Hx__FxxgZwiQcK884,AV0Hx__FxxgZwiQcK884,AV0HyAoWxxgZwiQcK9pd,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 09:26:04,2017-07-03 09:26:04,,Long method,QC:jhotdraw:Source/jhotdraw7/src/main/java/org/jhotdraw/app/action/file/PrintFileAction.java,1.0,1.0,0.0,2.0,,
QC:jhotdraw,AV0Hx__FxxgZwiQcK884,AV0Hx__FxxgZwiQcK884,AV0HyAoWxxgZwiQcK9pe,CODE_SMELL,squid:ModifiersOrderCheck,MINOR,OPEN,,2,2,convention,2017-07-03 09:26:04,2017-07-03 09:26:04,,Reorder the modifiers to comply with the Java Language Specification.,QC:jhotdraw:Source/jhotdraw7/src/main/java/org/jhotdraw/app/action/file/CloseFileAction.java,45.0,45.0,17.0,23.0,,
QC:jhotdraw,AV0Hx__FxxgZwiQcK884,AV0Hx__FxxgZwiQcK884,AV0HyAoWxxgZwiQcK9pf,CODE_SMELL,squid:ModifiersOrderCheck,MINOR,OPEN,,2,2,convention,2017-07-03 09:26:04,2017-07-03 09:26:04,,Reorder the modifiers to comply with the Java Language Specification.,QC:jhotdraw:Source/jhotdraw7/src/main/java/org/jhotdraw/app/action/file/LoadDirectoryAction.java,38.0,38.0,17.0,23.0,,
QC:jhotdraw,AV0Hx__FxxgZwiQcK884,AV0Hx__FxxgZwiQcK884,AV0HyAolxxgZwiQcK9pg,CODE_SMELL,squid:S1068,MAJOR,OPEN,,5,5,"cert,unused",2017-07-03 09:26:04,2017-07-03 09:26:04,,"Remove this unused ""instance"" private field.",QC:jhotdraw:Source/jhotdraw7/src/main/java/org/jhotdraw/app/osx/OSXPaletteHandler.java,32.0,32.0,37.0,45.0,,
