project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:jmeter,AV0Hy36dxxgZwiQcK_CP,AV0Hy36dxxgZwiQcK_CP,AV0Hy4i_xxgZwiQcK_Td,CODE_SMELL,code_smells:long_parameter_list,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 09:29:06,2017-07-03 09:29:06,,Long parameter list,QC:jmeter:src/jorphan/org/apache/jorphan/gui/DefaultTreeTableModel.java,1.0,1.0,0.0,2.0,,
QC:jmeter,AV0Hy36dxxgZwiQcK_CP,AV0Hy36dxxgZwiQcK_CP,AV0Hy4i_xxgZwiQcK_Te,CODE_SMELL,code_smells:lazy_class,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 09:29:06,2017-07-03 09:29:06,,Lazy class,QC:jmeter:src/jorphan/org/apache/jorphan/gui/RightAlignRenderer.java,1.0,1.0,0.0,2.0,,
QC:jmeter,AV0Hy36dxxgZwiQcK_CP,AV0Hy36dxxgZwiQcK_CP,AV0Hy4jOxxgZwiQcK_Tf,CODE_SMELL,squid:S2250,CRITICAL,OPEN,,15,15,performance,2017-07-03 09:29:06,2017-07-03 09:29:06,,"This call to ""remove()"" may be a performance hot spot if the collection is large.",QC:jmeter:src/jorphan/org/apache/jorphan/gui/JLabeledTextArea.java,229.0,229.0,25.0,31.0,,
QC:jmeter,AV0Hy36dxxgZwiQcK_CP,AV0Hy36dxxgZwiQcK_CP,AV0Hy4jOxxgZwiQcK_Tg,BUG,squid:S1244,CRITICAL,OPEN,,5,5,misra,2017-07-03 09:29:06,2017-07-03 09:29:06,,Equality tests should not be made with floating point values.,QC:jmeter:src/jorphan/org/apache/jorphan/gui/RateRenderer.java,48.0,48.0,17.0,19.0,,
QC:jmeter,AV0Hy36dxxgZwiQcK_CP,AV0Hy36dxxgZwiQcK_CP,AV0Hy4jOxxgZwiQcK_Th,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 09:29:06,2017-07-03 09:29:06,,Complete the task associated to this TODO comment.,QC:jmeter:src/jorphan/org/apache/jorphan/gui/RateRenderer.java,44.0,44.0,0.0,68.0,,
QC:jmeter,AV0Hy36dxxgZwiQcK_CP,AV0Hy36dxxgZwiQcK_CP,AV0Hy4jOxxgZwiQcK_Ti,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 09:29:06,2017-07-03 09:29:06,,Complete the task associated to this TODO comment.,QC:jmeter:src/jorphan/org/apache/jorphan/gui/RateRenderer.java,49.0,49.0,0.0,68.0,,
QC:jmeter,AV0Hy36dxxgZwiQcK_CP,AV0Hy36dxxgZwiQcK_CP,AV0Hy4jOxxgZwiQcK_Tj,CODE_SMELL,squid:S1197,MINOR,OPEN,,5,5,convention,2017-07-03 09:29:06,2017-07-03 09:29:06,,Move the array designator from the variable to the type.,QC:jmeter:src/jorphan/org/apache/jorphan/gui/JLabeledChoice.java,206.0,206.0,19.0,20.0,,
QC:jmeter,AV0Hy36dxxgZwiQcK_CP,AV0Hy36dxxgZwiQcK_CP,AV0Hy4jOxxgZwiQcK_Tk,CODE_SMELL,squid:S2250,CRITICAL,OPEN,,15,15,performance,2017-07-03 09:29:06,2017-07-03 09:29:06,,"This call to ""remove()"" may be a performance hot spot if the collection is large.",QC:jmeter:src/jorphan/org/apache/jorphan/gui/JLabeledChoice.java,273.0,273.0,25.0,31.0,,
QC:jmeter,AV0Hy36dxxgZwiQcK_CP,AV0Hy36dxxgZwiQcK_CP,AV0Hy4jOxxgZwiQcK_Tl,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 09:29:06,2017-07-03 09:29:06,,This block of commented-out lines of code should be removed.,QC:jmeter:src/jorphan/org/apache/jorphan/gui/JLabeledChoice.java,126.0,126.0,0.0,73.0,,
QC:jmeter,AV0Hy36dxxgZwiQcK_CP,AV0Hy36dxxgZwiQcK_CP,AV0Hy4jOxxgZwiQcK_Tm,CODE_SMELL,code_smells:long_parameter_list,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 09:29:06,2017-07-03 09:29:06,,Long parameter list,QC:jmeter:src/jorphan/org/apache/jorphan/gui/JLabeledChoice.java,1.0,1.0,0.0,2.0,,
