project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:jmoney,AV0HzDTexxgZwiQcLCHl,AV0HzDTexxgZwiQcLCHl,AV0HzDXIxxgZwiQcLCIg,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 09:32:47,2017-07-03 09:32:47,,Replace all tab characters in this file by sequences of white-spaces.,QC:jmoney:source/net/sf/jmoney/SortedTreeModel.java,,,,,,
QC:jmoney,AV0HzDTexxgZwiQcLCHl,AV0HzDTexxgZwiQcLCHl,AV0HzDXIxxgZwiQcLCIh,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 09:32:47,2017-07-03 09:32:47,,"Add the ""@Override"" annotation above this method signature",QC:jmoney:source/net/sf/jmoney/SortedTreeModel.java,35.0,35.0,13.0,27.0,,
QC:jmoney,AV0HzDTexxgZwiQcLCHl,AV0HzDTexxgZwiQcLCHl,AV0HzDXIxxgZwiQcLCIi,CODE_SMELL,code_smells:long_parameter_list,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 09:32:47,2017-07-03 09:32:47,,Long parameter list,QC:jmoney:source/net/sf/jmoney/SortedTreeModel.java,1.0,1.0,0.0,2.0,,
QC:jmoney,AV0HzDTexxgZwiQcLCHl,AV0HzDTexxgZwiQcLCHl,AV0HzDXYxxgZwiQcLCIj,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 09:32:47,2017-07-03 09:32:47,,Replace this use of System.out or System.err by a logger.,QC:jmoney:source/net/sf/jmoney/EntryComparator.java,40.0,40.0,3.0,13.0,,
QC:jmoney,AV0HzDTexxgZwiQcLCHl,AV0HzDTexxgZwiQcLCHl,AV0HzDXYxxgZwiQcLCIk,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 09:32:47,2017-07-03 09:32:47,,Replace this use of System.out or System.err by a logger.,QC:jmoney:source/net/sf/jmoney/EntryComparator.java,66.0,66.0,3.0,13.0,,
QC:jmoney,AV0HzDTexxgZwiQcLCHl,AV0HzDTexxgZwiQcLCHl,AV0HzDXYxxgZwiQcLCIl,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 09:32:47,2017-07-03 09:32:47,,"Move the ""Ascending"" string literal on the left side of this string comparison.",QC:jmoney:source/net/sf/jmoney/EntryComparator.java,35.0,35.0,19.0,30.0,,
QC:jmoney,AV0HzDTexxgZwiQcLCHl,AV0HzDTexxgZwiQcLCHl,AV0HzDXYxxgZwiQcLCIm,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 09:32:47,2017-07-03 09:32:47,,"Move the ""Descending"" string literal on the left side of this string comparison.",QC:jmoney:source/net/sf/jmoney/EntryComparator.java,37.0,37.0,24.0,36.0,,
QC:jmoney,AV0HzDTexxgZwiQcLCHl,AV0HzDTexxgZwiQcLCHl,AV0HzDXYxxgZwiQcLCIn,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 09:32:47,2017-07-03 09:32:47,,"Move the ""Creation"" string literal on the left side of this string comparison.",QC:jmoney:source/net/sf/jmoney/EntryComparator.java,47.0,47.0,19.0,29.0,,
QC:jmoney,AV0HzDTexxgZwiQcLCHl,AV0HzDTexxgZwiQcLCHl,AV0HzDXYxxgZwiQcLCIo,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 09:32:47,2017-07-03 09:32:47,,"Move the ""Check"" string literal on the left side of this string comparison.",QC:jmoney:source/net/sf/jmoney/EntryComparator.java,49.0,49.0,24.0,31.0,,
QC:jmoney,AV0HzDTexxgZwiQcLCHl,AV0HzDTexxgZwiQcLCHl,AV0HzDXYxxgZwiQcLCIp,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 09:32:47,2017-07-03 09:32:47,,"Move the ""Date"" string literal on the left side of this string comparison.",QC:jmoney:source/net/sf/jmoney/EntryComparator.java,51.0,51.0,24.0,30.0,,
QC:jmoney,AV0HzDTexxgZwiQcLCHl,AV0HzDTexxgZwiQcLCHl,AV0HzDXYxxgZwiQcLCIq,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 09:32:47,2017-07-03 09:32:47,,"Move the ""Valuta"" string literal on the left side of this string comparison.",QC:jmoney:source/net/sf/jmoney/EntryComparator.java,53.0,53.0,24.0,32.0,,
QC:jmoney,AV0HzDTexxgZwiQcLCHl,AV0HzDTexxgZwiQcLCHl,AV0HzDXYxxgZwiQcLCIr,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 09:32:47,2017-07-03 09:32:47,,"Move the ""Description"" string literal on the left side of this string comparison.",QC:jmoney:source/net/sf/jmoney/EntryComparator.java,55.0,55.0,24.0,37.0,,
