project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:joggplayer,AV0HzUuexxgZwiQcLCRk,AV0HzUuexxgZwiQcLCRk,AV0HzU4-xxgZwiQcLCVc,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 09:33:24,2017-07-03 09:33:24,,Replace all tab characters in this file by sequences of white-spaces.,QC:joggplayer:src/org/jconfig/ConfigurationManagerException.java,,,,,,
QC:joggplayer,AV0HzUuexxgZwiQcLCRk,AV0HzUuexxgZwiQcLCRk,AV0HzU4-xxgZwiQcLCVd,CODE_SMELL,code_smells:lazy_class,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 09:33:24,2017-07-03 09:33:24,,Lazy class,QC:joggplayer:src/org/jconfig/ConfigurationManagerException.java,1.0,1.0,0.0,21.0,,
QC:joggplayer,AV0HzUuexxgZwiQcLCRk,AV0HzUuexxgZwiQcLCRk,AV0HzU5NxxgZwiQcLCVe,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,performance,2017-07-03 09:33:24,2017-07-03 09:33:24,,"Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".",QC:joggplayer:src/org/jconfig/ConfigurationHandler.java,42.0,42.0,11.0,17.0,,
QC:joggplayer,AV0HzUuexxgZwiQcLCRk,AV0HzUuexxgZwiQcLCRk,AV0HzU5NxxgZwiQcLCVf,CODE_SMELL,squid:S1319,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 09:33:24,2017-07-03 09:33:24,,"The type of the ""parameters"" object should be an interface such as ""Map"" rather than the implementation ""HashMap"".",QC:joggplayer:src/org/jconfig/ConfigurationHandler.java,27.0,27.0,27.0,34.0,,
QC:joggplayer,AV0HzUuexxgZwiQcLCRk,AV0HzUuexxgZwiQcLCRk,AV0HzU5NxxgZwiQcLCVg,CODE_SMELL,squid:S1319,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 09:33:24,2017-07-03 09:33:24,,"The return type of this method should be an interface such as ""Map"" rather than the implementation ""HashMap"".",QC:joggplayer:src/org/jconfig/ConfigurationHandler.java,52.0,52.0,11.0,18.0,,
QC:joggplayer,AV0HzUuexxgZwiQcLCRk,AV0HzUuexxgZwiQcLCRk,AV0HzU5NxxgZwiQcLCVh,CODE_SMELL,squid:S1197,MINOR,OPEN,,5,5,convention,2017-07-03 09:33:24,2017-07-03 09:33:24,,Move the array designator from the variable to the type.,QC:joggplayer:src/org/jconfig/FileWatcher.java,150.0,150.0,40.0,41.0,,
QC:joggplayer,AV0HzUuexxgZwiQcLCRk,AV0HzUuexxgZwiQcLCRk,AV0HzU5NxxgZwiQcLCVi,CODE_SMELL,squid:S2438,CRITICAL,OPEN,,15,15,"multi-threading,pitfall",2017-07-03 09:33:24,2017-07-03 09:33:24,,"""this"" is a ""Thread"".",QC:joggplayer:src/org/jconfig/FileWatcher.java,92.0,92.0,30.0,34.0,,
QC:joggplayer,AV0HzUuexxgZwiQcLCRk,AV0HzUuexxgZwiQcLCRk,AV0HzU5NxxgZwiQcLCVj,CODE_SMELL,squid:UselessImportCheck,MINOR,OPEN,,2,2,unused,2017-07-03 09:33:24,2017-07-03 09:33:24,,Remove this unnecessary import: java.lang classes are always implicitly imported.,QC:joggplayer:src/org/jconfig/FileWatcher.java,16.0,16.0,0.0,24.0,,
QC:joggplayer,AV0HzUuexxgZwiQcLCRk,AV0HzUuexxgZwiQcLCRk,AV0HzU5NxxgZwiQcLCVk,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 09:33:24,2017-07-03 09:33:24,,"Add the ""@Override"" annotation above this method signature",QC:joggplayer:src/org/jconfig/FileWatcher.java,91.0,91.0,16.0,21.0,,
QC:joggplayer,AV0HzUuexxgZwiQcLCRk,AV0HzUuexxgZwiQcLCRk,AV0HzU5NxxgZwiQcLCVl,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 09:33:24,2017-07-03 09:33:24,,"Add the ""@Override"" annotation above this method signature",QC:joggplayer:src/org/jconfig/FileWatcher.java,99.0,99.0,16.0,19.0,,
