project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:jparse,AV0IEyTOxxgZwiQcLNZn,AV0IEyTOxxgZwiQcLNZn,AV0IEybRxxgZwiQcLNmE,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 09:34:46,2017-07-03 09:34:46,,Move this variable to comply with Java Code Conventions.,QC:jparse:jparse/JavaParser.java,5558.0,5558.0,28.0,40.0,,
QC:jparse,AV0IEyTOxxgZwiQcLNZn,AV0IEyTOxxgZwiQcLNZn,AV0IEyayxxgZwiQcLNes,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,redundant,unused",2017-07-03 09:34:46,2017-07-03 09:34:46,,Remove the redundant '!unknownSymbol!' thrown exception declaration(s).,QC:jparse:jparse/JavaParser.java,3657.0,3657.0,53.0,73.0,,
QC:jparse,AV0IEyTOxxgZwiQcLNZn,AV0IEyTOxxgZwiQcLNZn,AV0IEyayxxgZwiQcLNet,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,redundant,unused",2017-07-03 09:34:46,2017-07-03 09:34:46,,Remove the redundant '!unknownSymbol!' thrown exception declaration(s).,QC:jparse:jparse/JavaParser.java,3725.0,3725.0,51.0,71.0,,
QC:jparse,AV0IEyTOxxgZwiQcLNZn,AV0IEyTOxxgZwiQcLNZn,AV0IEybRxxgZwiQcLNmH,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 09:34:46,2017-07-03 09:34:46,,Move this variable to comply with Java Code Conventions.,QC:jparse:jparse/JavaParser.java,5573.0,5573.0,28.0,40.0,,
QC:jparse,AV0IEyTOxxgZwiQcLNZn,AV0IEyTOxxgZwiQcLNZn,AV0IEyayxxgZwiQcLNew,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,redundant,unused",2017-07-03 09:34:46,2017-07-03 09:34:46,,Remove the redundant '!unknownSymbol!' thrown exception declaration(s).,QC:jparse:jparse/JavaParser.java,3845.0,3845.0,53.0,73.0,,
QC:jparse,AV0IEyTOxxgZwiQcLNZn,AV0IEyTOxxgZwiQcLNZn,AV0IEybRxxgZwiQcLNmJ,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 09:34:46,2017-07-03 09:34:46,,Move this variable to comply with Java Code Conventions.,QC:jparse:jparse/JavaParser.java,5583.0,5583.0,28.0,40.0,,
QC:jparse,AV0IEyTOxxgZwiQcLNZn,AV0IEyTOxxgZwiQcLNZn,AV0IEyayxxgZwiQcLNey,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,redundant,unused",2017-07-03 09:34:46,2017-07-03 09:34:46,,Remove the redundant '!unknownSymbol!' thrown exception declaration(s).,QC:jparse:jparse/JavaParser.java,3925.0,3925.0,50.0,70.0,,
QC:jparse,AV0IEyTOxxgZwiQcLNZn,AV0IEyTOxxgZwiQcLNZn,AV0IEybRxxgZwiQcLNmL,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 09:34:46,2017-07-03 09:34:46,,Move this variable to comply with Java Code Conventions.,QC:jparse:jparse/JavaParser.java,5593.0,5593.0,28.0,40.0,,
QC:jparse,AV0IEyTOxxgZwiQcLNZn,AV0IEyTOxxgZwiQcLNZn,AV0IEyayxxgZwiQcLNe0,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,redundant,unused",2017-07-03 09:34:46,2017-07-03 09:34:46,,Remove the redundant '!unknownSymbol!' thrown exception declaration(s).,QC:jparse:jparse/JavaParser.java,4112.0,4112.0,47.0,67.0,,
QC:jparse,AV0IEyTOxxgZwiQcLNZn,AV0IEyTOxxgZwiQcLNZn,AV0IEybRxxgZwiQcLNmN,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 09:34:46,2017-07-03 09:34:46,,Move this variable to comply with Java Code Conventions.,QC:jparse:jparse/JavaParser.java,5603.0,5603.0,28.0,40.0,,
QC:jparse,AV0IEyTOxxgZwiQcLNZn,AV0IEyTOxxgZwiQcLNZn,AV0IEyayxxgZwiQcLNe2,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,redundant,unused",2017-07-03 09:34:46,2017-07-03 09:34:46,,Remove the redundant '!unknownSymbol!' thrown exception declaration(s).,QC:jparse:jparse/JavaParser.java,4240.0,4240.0,56.0,76.0,,
QC:jparse,AV0IEyTOxxgZwiQcLNZn,AV0IEyTOxxgZwiQcLNZn,AV0IEyayxxgZwiQcLNe3,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,redundant,unused",2017-07-03 09:34:46,2017-07-03 09:34:46,,Remove the redundant '!unknownSymbol!' thrown exception declaration(s).,QC:jparse:jparse/JavaParser.java,4308.0,4308.0,47.0,67.0,,
QC:jparse,AV0IEyTOxxgZwiQcLNZn,AV0IEyTOxxgZwiQcLNZn,AV0IEybRxxgZwiQcLNmP,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 09:34:46,2017-07-03 09:34:46,,Move this variable to comply with Java Code Conventions.,QC:jparse:jparse/JavaParser.java,5613.0,5613.0,28.0,40.0,,
QC:jparse,AV0IEyTOxxgZwiQcLNZn,AV0IEyTOxxgZwiQcLNZn,AV0IEyayxxgZwiQcLNe5,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,redundant,unused",2017-07-03 09:34:46,2017-07-03 09:34:46,,Remove the redundant '!unknownSymbol!' thrown exception declaration(s).,QC:jparse:jparse/JavaParser.java,4534.0,4534.0,49.0,69.0,,
QC:jparse,AV0IEyTOxxgZwiQcLNZn,AV0IEyTOxxgZwiQcLNZn,AV0IEybRxxgZwiQcLNmR,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 09:34:46,2017-07-03 09:34:46,,Move this variable to comply with Java Code Conventions.,QC:jparse:jparse/JavaParser.java,5623.0,5623.0,28.0,40.0,,
QC:jparse,AV0IEyTOxxgZwiQcLNZn,AV0IEyTOxxgZwiQcLNZn,AV0IEyayxxgZwiQcLNe7,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,redundant,unused",2017-07-03 09:34:46,2017-07-03 09:34:46,,Remove the redundant '!unknownSymbol!' thrown exception declaration(s).,QC:jparse:jparse/JavaParser.java,4964.0,4964.0,45.0,65.0,,
QC:jparse,AV0IEyTOxxgZwiQcLNZn,AV0IEyTOxxgZwiQcLNZn,AV0IEybRxxgZwiQcLNmT,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 09:34:46,2017-07-03 09:34:46,,Move this variable to comply with Java Code Conventions.,QC:jparse:jparse/JavaParser.java,5633.0,5633.0,28.0,40.0,,
QC:jparse,AV0IEyTOxxgZwiQcLNZn,AV0IEyTOxxgZwiQcLNZn,AV0IEybRxxgZwiQcLNmU,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 09:34:46,2017-07-03 09:34:46,,Move this variable to comply with Java Code Conventions.,QC:jparse:jparse/JavaParser.java,5638.0,5638.0,28.0,40.0,,
