project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:jpf,AV0IE9FrxxgZwiQcLPSv,AV0IE9FrxxgZwiQcLPSv,AV0IE9KzxxgZwiQcLPUY,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 10:51:06,2017-07-03 10:51:06,,Replace this use of System.out or System.err by a logger.,QC:jpf:source-boot/org/java/plugin/boot/BootErrorHandlerConsole.java,36.0,36.0,8.0,18.0,,
QC:jpf,AV0IE9FrxxgZwiQcLPSv,AV0IE9FrxxgZwiQcLPSv,AV0IE9KzxxgZwiQcLPUZ,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 10:51:06,2017-07-03 10:51:06,,Replace this use of System.out or System.err by a logger.,QC:jpf:source-boot/org/java/plugin/boot/BootErrorHandlerConsole.java,47.0,47.0,8.0,18.0,,
QC:jpf,AV0IE9FrxxgZwiQcLPSv,AV0IE9FrxxgZwiQcLPSv,AV0IE9KzxxgZwiQcLPUa,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 10:51:06,2017-07-03 10:51:06,,Replace this use of System.out or System.err by a logger.,QC:jpf:source-boot/org/java/plugin/boot/BootErrorHandlerConsole.java,72.0,72.0,8.0,18.0,,
QC:jpf,AV0IE9FrxxgZwiQcLPSv,AV0IE9FrxxgZwiQcLPSv,AV0IE9KzxxgZwiQcLPUb,VULNERABILITY,squid:S1148,CRITICAL,OPEN,,10,10,error-handling,2017-07-03 10:51:06,2017-07-03 10:51:06,,Use a logger to log this exception.,QC:jpf:source-boot/org/java/plugin/boot/BootErrorHandlerConsole.java,48.0,48.0,10.0,25.0,,
QC:jpf,AV0IE9FrxxgZwiQcLPSv,AV0IE9FrxxgZwiQcLPSv,AV0IE9KzxxgZwiQcLPUc,CODE_SMELL,squid:S00112,MAJOR,OPEN,,20,20,"cert,cwe,error-handling",2017-07-03 10:51:06,2017-07-03 10:51:06,,Define and throw a dedicated exception instead of using a generic one.,QC:jpf:source-boot/org/java/plugin/boot/Application.java,34.0,34.0,35.0,44.0,,
QC:jpf,AV0IE9FrxxgZwiQcLPSv,AV0IE9FrxxgZwiQcLPSv,AV0IE9KzxxgZwiQcLPUd,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 10:51:06,2017-07-03 10:51:06,,This block of commented-out lines of code should be removed.,QC:jpf:source-boot/org/java/plugin/boot/BootErrorHandlerGui.java,79.0,79.0,0.0,83.0,,
QC:jpf,AV0IE9FrxxgZwiQcLPSv,AV0IE9FrxxgZwiQcLPSv,AV0IE9KzxxgZwiQcLPUe,BUG,squid:S1948,CRITICAL,OPEN,,30,30,"cwe,serialization",2017-07-03 10:51:06,2017-07-03 10:51:06,,"Make ""image"" transient or serializable.",QC:jpf:source-boot/org/java/plugin/boot/SplashWindow.java,61.0,61.0,18.0,23.0,,
QC:jpf,AV0IE9FrxxgZwiQcLPSv,AV0IE9FrxxgZwiQcLPSv,AV0IE9KzxxgZwiQcLPUf,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 10:51:06,2017-07-03 10:51:06,,"Add the ""@Override"" annotation above this method signature",QC:jpf:source-boot/org/java/plugin/boot/SplashWindow.java,110.0,110.0,24.0,36.0,,
QC:jpf,AV0IE9FrxxgZwiQcLPSv,AV0IE9FrxxgZwiQcLPSv,AV0IE9KzxxgZwiQcLPUg,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 10:51:06,2017-07-03 10:51:06,,"Add the ""@Override"" annotation above this method signature",QC:jpf:source-boot/org/java/plugin/boot/SplashWindow.java,129.0,129.0,16.0,22.0,,
QC:jpf,AV0IE9FrxxgZwiQcLPSv,AV0IE9FrxxgZwiQcLPSv,AV0IE9KzxxgZwiQcLPUh,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 10:51:06,2017-07-03 10:51:06,,"Add the ""@Override"" annotation above this method signature",QC:jpf:source-boot/org/java/plugin/boot/SplashWindow.java,140.0,140.0,16.0,21.0,,
