project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lvk,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-03 14:40:32,2017-07-03 14:40:32,,Either log or rethrow this exception.,QC:jsXe:jars/treeview/src/treeview/TransferableNode.java,106.0,106.0,17.0,41.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lvl,CODE_SMELL,squid:S00108,MAJOR,OPEN,,5,5,suspicious,2017-07-03 14:40:32,2017-07-03 14:40:32,,Either remove or fill this block of code.,QC:jsXe:jars/treeview/src/treeview/TransferableNode.java,106.0,106.0,43.0,44.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lvm,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 14:40:32,2017-07-03 14:40:32,,Move this variable to comply with Java Code Conventions.,QC:jsXe:jars/treeview/src/treeview/TransferableNode.java,110.0,110.0,38.0,45.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lvn,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 14:40:32,2017-07-03 14:40:32,,Move this variable to comply with Java Code Conventions.,QC:jsXe:jars/treeview/src/treeview/TransferableNode.java,115.0,115.0,30.0,40.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lvo,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 14:40:32,2017-07-03 14:40:32,,Move this variable to comply with Java Code Conventions.,QC:jsXe:jars/treeview/src/treeview/TransferableNode.java,120.0,120.0,24.0,30.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lvp,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-03 14:40:32,2017-07-03 14:40:32,,"Rename this field ""m_node"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:jsXe:jars/treeview/src/treeview/TransferableNode.java,120.0,120.0,24.0,30.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lvq,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 14:40:32,2017-07-03 14:40:32,,This block of commented-out lines of code should be removed.,QC:jsXe:jars/treeview/src/treeview/TransferableNode.java,31.0,31.0,0.0,5.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lvr,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 14:40:32,2017-07-03 14:40:32,,This block of commented-out lines of code should be removed.,QC:jsXe:jars/treeview/src/treeview/TransferableNode.java,35.0,35.0,0.0,5.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lvs,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 14:40:32,2017-07-03 14:40:32,,This block of commented-out lines of code should be removed.,QC:jsXe:jars/treeview/src/treeview/TransferableNode.java,40.0,40.0,0.0,5.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lvt,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 14:40:32,2017-07-03 14:40:32,,This block of commented-out lines of code should be removed.,QC:jsXe:jars/treeview/src/treeview/TransferableNode.java,42.0,42.0,0.0,5.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lvu,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 14:40:32,2017-07-03 14:40:32,,This block of commented-out lines of code should be removed.,QC:jsXe:jars/treeview/src/treeview/TransferableNode.java,70.0,70.0,0.0,10.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lvv,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 14:40:32,2017-07-03 14:40:32,,This block of commented-out lines of code should be removed.,QC:jsXe:jars/treeview/src/treeview/TransferableNode.java,77.0,77.0,0.0,10.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lvw,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 14:40:32,2017-07-03 14:40:32,,This block of commented-out lines of code should be removed.,QC:jsXe:jars/treeview/src/treeview/TransferableNode.java,83.0,83.0,0.0,10.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lvx,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 14:40:32,2017-07-03 14:40:32,,This block of commented-out lines of code should be removed.,QC:jsXe:jars/treeview/src/treeview/TransferableNode.java,97.0,97.0,0.0,10.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lvy,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 14:40:32,2017-07-03 14:40:32,,This block of commented-out lines of code should be removed.,QC:jsXe:jars/treeview/src/treeview/TransferableNode.java,99.0,99.0,0.0,9.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lvz,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 14:40:32,2017-07-03 14:40:32,,This block of commented-out lines of code should be removed.,QC:jsXe:jars/treeview/src/treeview/TransferableNode.java,117.0,117.0,0.0,9.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lv0,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 14:40:32,2017-07-03 14:40:32,,This block of commented-out lines of code should be removed.,QC:jsXe:jars/treeview/src/treeview/TransferableNode.java,121.0,121.0,0.0,13.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lv1,CODE_SMELL,squid:S1481,MAJOR,OPEN,,5,5,unused,2017-07-03 14:40:32,2017-07-03 14:40:32,,"Remove this unused ""dvt"" local variable.",QC:jsXe:jars/treeview/src/treeview/NodeTransferHandler.java,146.0,146.0,24.0,27.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lv2,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-03 14:40:32,2017-07-03 14:40:32,,Either log or rethrow this exception.,QC:jsXe:jars/treeview/src/treeview/NodeTransferHandler.java,166.0,166.0,15.0,45.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lv3,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-03 14:40:32,2017-07-03 14:40:32,,Either log or rethrow this exception.,QC:jsXe:jars/treeview/src/treeview/NodeTransferHandler.java,167.0,167.0,15.0,30.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lv4,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 14:40:32,2017-07-03 14:40:32,,Replace all tab characters in this file by sequences of white-spaces.,QC:jsXe:jars/treeview/src/treeview/NodeTransferHandler.java,,,,,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lv5,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-03 14:40:32,2017-07-03 14:40:32,,"Rename this field ""m_nodeFlavor"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:jsXe:jars/treeview/src/treeview/NodeTransferHandler.java,94.0,94.0,15.0,27.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lv6,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-03 14:40:32,2017-07-03 14:40:32,,"Rename this field ""m_stringFlavor"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:jsXe:jars/treeview/src/treeview/NodeTransferHandler.java,95.0,95.0,15.0,29.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lv7,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 14:40:32,2017-07-03 14:40:32,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:jsXe:jars/treeview/src/treeview/NodeTransferHandler.java,161.0,161.0,0.0,75.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lv8,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 14:40:32,2017-07-03 14:40:32,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:jsXe:jars/treeview/src/treeview/NodeTransferHandler.java,164.0,164.0,0.0,55.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lv9,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 14:40:32,2017-07-03 14:40:32,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:jsXe:jars/treeview/src/treeview/NodeTransferHandler.java,173.0,173.0,0.0,43.0,,
QC:jsXe,AV0I5hbut6tne_r55LtS,AV0I5hbut6tne_r55LtS,AV0I5hr1t6tne_r55Lv-,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 14:40:32,2017-07-03 14:40:32,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:jsXe:jars/treeview/src/treeview/NodeTransferHandler.java,179.0,179.0,0.0,179.0,,
