project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:jspwiki,AV0I6aXKt6tne_r55Rvc,AV0I6aXKt6tne_r55Rvc,AV0I6asZt6tne_r55R-k,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 14:41:33,2017-07-03 14:41:33,,Move this constructor to comply with Java Code Conventions.,QC:jspwiki:tests/com/ecyrd/jspwiki/web/TestContainer.java,191.0,191.0,11.0,24.0,,
QC:jspwiki,AV0I6aXKt6tne_r55Rvc,AV0I6aXKt6tne_r55Rvc,AV0I6awjt6tne_r55SHQ,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-03 14:41:33,2017-07-03 14:41:33,,"Rename this field ""m_conn"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:jspwiki:tests/com/ecyrd/jspwiki/auth/authorize/JDBCGroupDatabaseTest.java,25.0,25.0,30.0,36.0,,
QC:jspwiki,AV0I6aXKt6tne_r55Rvc,AV0I6aXKt6tne_r55Rvc,AV0I6asZt6tne_r55R-m,VULNERABILITY,squid:S1148,CRITICAL,OPEN,,10,10,error-handling,2017-07-03 14:41:33,2017-07-03 14:41:33,,Use a logger to log this exception.,QC:jspwiki:tests/com/ecyrd/jspwiki/web/TestContainer.java,139.0,139.0,14.0,29.0,,
QC:jspwiki,AV0I6aXKt6tne_r55Rvc,AV0I6aXKt6tne_r55Rvc,AV0I6awjt6tne_r55SHS,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-03 14:41:33,2017-07-03 14:41:33,,"Rename this field ""m_wiki"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:jspwiki:tests/com/ecyrd/jspwiki/auth/authorize/JDBCGroupDatabaseTest.java,29.0,29.0,30.0,36.0,,
QC:jspwiki,AV0I6aXKt6tne_r55Rvc,AV0I6aXKt6tne_r55Rvc,AV0I6awjt6tne_r55SHT,CODE_SMELL,squid:S1153,MINOR,OPEN,,5,5,clumsy,2017-07-03 14:41:33,2017-07-03 14:41:33,,Directly append the argument of String.valueOf().,QC:jspwiki:tests/com/ecyrd/jspwiki/auth/authorize/JDBCGroupDatabaseTest.java,85.0,85.0,36.0,80.0,,
QC:jspwiki,AV0I6aXKt6tne_r55Rvc,AV0I6aXKt6tne_r55Rvc,AV0I6asZt6tne_r55R-p,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 14:41:33,2017-07-03 14:41:33,,This block of commented-out lines of code should be removed.,QC:jspwiki:tests/com/ecyrd/jspwiki/web/TestContainer.java,216.0,216.0,0.0,66.0,,
QC:jspwiki,AV0I6aXKt6tne_r55Rvc,AV0I6aXKt6tne_r55Rvc,AV0I6awjt6tne_r55SHV,CODE_SMELL,squid:S1153,MINOR,OPEN,,5,5,clumsy,2017-07-03 14:41:33,2017-07-03 14:41:33,,Directly append the argument of String.valueOf().,QC:jspwiki:tests/com/ecyrd/jspwiki/auth/authorize/JDBCGroupDatabaseTest.java,182.0,182.0,36.0,80.0,,
QC:jspwiki,AV0I6aXKt6tne_r55Rvc,AV0I6aXKt6tne_r55Rvc,AV0I6asZt6tne_r55R-r,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 14:41:33,2017-07-03 14:41:33,,This block of commented-out lines of code should be removed.,QC:jspwiki:tests/com/ecyrd/jspwiki/web/TestContainer.java,334.0,334.0,0.0,15.0,,
QC:jspwiki,AV0I6aXKt6tne_r55Rvc,AV0I6aXKt6tne_r55Rvc,AV0I6awjt6tne_r55SHX,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-03 14:41:33,2017-07-03 14:41:33,,"Define a constant instead of duplicating this literal ""Admin"" 3 times.",QC:jspwiki:tests/com/ecyrd/jspwiki/auth/authorize/WebContainerAuthorizerTest.java,43.0,43.0,73.0,80.0,,
QC:jspwiki,AV0I6aXKt6tne_r55Rvc,AV0I6aXKt6tne_r55Rvc,AV0I6asZt6tne_r55R-t,CODE_SMELL,squid:S1186,MAJOR,OPEN,,5,5,suspicious,2017-07-03 14:41:33,2017-07-03 14:41:33,,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",QC:jspwiki:tests/com/ecyrd/jspwiki/filters/FilterManagerTest.java,30.0,30.0,16.0,24.0,,
QC:jspwiki,AV0I6aXKt6tne_r55Rvc,AV0I6aXKt6tne_r55Rvc,AV0I6asZt6tne_r55R-u,VULNERABILITY,squid:ClassVariableVisibilityCheck,MAJOR,OPEN,,10,10,cwe,2017-07-03 14:41:33,2017-07-03 14:41:33,,Make m_properties a static final constant or non-public and provide accessors if needed.,QC:jspwiki:tests/com/ecyrd/jspwiki/filters/TestFilter.java,10.0,10.0,22.0,34.0,,
QC:jspwiki,AV0I6aXKt6tne_r55Rvc,AV0I6aXKt6tne_r55Rvc,AV0I6awjt6tne_r55SHa,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-03 14:41:33,2017-07-03 14:41:33,,"Rename this field ""m_authorizer"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:jspwiki:tests/com/ecyrd/jspwiki/auth/authorize/WebContainerAuthorizerTest.java,19.0,19.0,27.0,39.0,,
QC:jspwiki,AV0I6aXKt6tne_r55Rvc,AV0I6aXKt6tne_r55Rvc,AV0I6asZt6tne_r55R-w,CODE_SMELL,code_smells:class_data_private,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 14:41:33,2017-07-03 14:41:33,,Class data should be private,QC:jspwiki:tests/com/ecyrd/jspwiki/filters/TestFilter.java,1.0,1.0,0.0,34.0,,
QC:jspwiki,AV0I6aXKt6tne_r55Rvc,AV0I6aXKt6tne_r55Rvc,AV0I6awjt6tne_r55SHc,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,30,30,pitfall,2017-07-03 14:41:33,2017-07-03 14:41:33,,2 duplicated blocks of code must be removed.,QC:jspwiki:tests/com/ecyrd/jspwiki/auth/authorize/GroupTest.java,,,,,,
