project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:jung,AV0JJQunt6tne_r562Jy,AV0JJQunt6tne_r562Jy,AV0JJQ9wt6tne_r562Qt,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,60,60,pitfall,2017-07-03 15:47:44,2017-07-03 15:47:44,,5 duplicated blocks of code must be removed.,QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/DrawnIconVertexDemo.java,,,,,,
QC:jung,AV0JJQunt6tne_r562Jy,AV0JJQunt6tne_r562Jy,AV0JJQ9wt6tne_r562Qu,CODE_SMELL,squid:S1188,MAJOR,OPEN,,20,20,java8,2017-07-03 15:47:44,2017-07-03 15:47:44,,"Reduce this anonymous class number of lines from 25 to at most 20, or make it a named class.",QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/DrawnIconVertexDemo.java,76.0,76.0,55.0,84.0,,
QC:jung,AV0JJQunt6tne_r562Jy,AV0JJQunt6tne_r562Jy,AV0JJQ9wt6tne_r562Qv,CODE_SMELL,squid:S1188,MAJOR,OPEN,,20,20,java8,2017-07-03 15:47:44,2017-07-03 15:47:44,,"Reduce this anonymous class number of lines from 22 to at most 20, or make it a named class.",QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/DrawnIconVertexDemo.java,83.0,83.0,11.0,19.0,,
QC:jung,AV0JJQunt6tne_r562Jy,AV0JJQunt6tne_r562Jy,AV0JJQ9wt6tne_r562Qw,CODE_SMELL,squid:RightCurlyBraceStartLineCheck,MINOR,OPEN,,1,1,convention,2017-07-03 15:47:44,2017-07-03 15:47:44,,Move this closing curly brace to the next line.,QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/DrawnIconVertexDemo.java,72.0,72.0,4.0,5.0,,
QC:jung,AV0JJQunt6tne_r562Jy,AV0JJQunt6tne_r562Jy,AV0JJQ9wt6tne_r562Qx,CODE_SMELL,squid:RightCurlyBraceStartLineCheck,MINOR,OPEN,,1,1,convention,2017-07-03 15:47:44,2017-07-03 15:47:44,,Move this closing curly brace to the next line.,QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/DrawnIconVertexDemo.java,109.0,109.0,4.0,5.0,,
QC:jung,AV0JJQunt6tne_r562Jy,AV0JJQunt6tne_r562Jy,AV0JJQ9wt6tne_r562Qy,CODE_SMELL,squid:RightCurlyBraceStartLineCheck,MINOR,OPEN,,1,1,convention,2017-07-03 15:47:44,2017-07-03 15:47:44,,Move this closing curly brace to the next line.,QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/DrawnIconVertexDemo.java,108.0,108.0,6.0,7.0,,
QC:jung,AV0JJQunt6tne_r562Jy,AV0JJQunt6tne_r562Jy,AV0JJQ9wt6tne_r562Qz,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 15:47:44,2017-07-03 15:47:44,,Replace all tab characters in this file by sequences of white-spaces.,QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/DrawnIconVertexDemo.java,,,,,,
QC:jung,AV0JJQunt6tne_r562Jy,AV0JJQunt6tne_r562Jy,AV0JJQ9wt6tne_r562Q0,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,60,60,pitfall,2017-07-03 15:47:44,2017-07-03 15:47:44,,5 duplicated blocks of code must be removed.,QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/AnnotationsDemo.java,,,,,,
QC:jung,AV0JJQunt6tne_r562Jy,AV0JJQunt6tne_r562Jy,AV0JJQ9wt6tne_r562Q1,CODE_SMELL,squid:S2326,MAJOR,OPEN,,5,5,"cert,unused",2017-07-03 15:47:44,2017-07-03 15:47:44,,V is not used in the class.,QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/AnnotationsDemo.java,54.0,54.0,29.0,30.0,,
QC:jung,AV0JJQunt6tne_r562Jy,AV0JJQunt6tne_r562Jy,AV0JJQ9wt6tne_r562Q2,CODE_SMELL,squid:S2326,MAJOR,OPEN,,5,5,"cert,unused",2017-07-03 15:47:44,2017-07-03 15:47:44,,E is not used in the class.,QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/AnnotationsDemo.java,54.0,54.0,32.0,33.0,,
QC:jung,AV0JJQunt6tne_r562Jy,AV0JJQunt6tne_r562Jy,AV0JJQ9wt6tne_r562Q3,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 15:47:44,2017-07-03 15:47:44,,Replace all tab characters in this file by sequences of white-spaces.,QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/AnnotationsDemo.java,,,,,,
QC:jung,AV0JJQunt6tne_r562Jy,AV0JJQunt6tne_r562Jy,AV0JJQ9wt6tne_r562Q4,CODE_SMELL,squid:S00115,MINOR,OPEN,,2,2,convention,2017-07-03 15:47:44,2017-07-03 15:47:44,,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/AnnotationsDemo.java,56.0,56.0,24.0,36.0,,
QC:jung,AV0JJQunt6tne_r562Jy,AV0JJQunt6tne_r562Jy,AV0JJQ9wt6tne_r562Q5,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 15:47:44,2017-07-03 15:47:44,,This block of commented-out lines of code should be removed.,QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/AnnotationsDemo.java,115.0,115.0,0.0,65.0,,
QC:jung,AV0JJQunt6tne_r562Jy,AV0JJQunt6tne_r562Jy,AV0JJQ9wt6tne_r562Q6,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,90,90,pitfall,2017-07-03 15:47:44,2017-07-03 15:47:44,,8 duplicated blocks of code must be removed.,QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/GraphZoomScrollPaneDemo.java,,,,,,
QC:jung,AV0JJQunt6tne_r562Jy,AV0JJQunt6tne_r562Jy,AV0JJQ9wt6tne_r562Q7,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 15:47:44,2017-07-03 15:47:44,,Replace this use of System.out or System.err by a logger.,QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/GraphZoomScrollPaneDemo.java,89.0,89.0,12.0,22.0,,
QC:jung,AV0JJQunt6tne_r562Jy,AV0JJQunt6tne_r562Jy,AV0JJQ9wt6tne_r562Q8,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 15:47:44,2017-07-03 15:47:44,,Replace this use of System.out or System.err by a logger.,QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/GraphZoomScrollPaneDemo.java,246.0,246.0,10.0,20.0,,
QC:jung,AV0JJQunt6tne_r562Jy,AV0JJQunt6tne_r562Jy,AV0JJQ9wt6tne_r562Q9,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 15:47:44,2017-07-03 15:47:44,,Replace this use of System.out or System.err by a logger.,QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/GraphZoomScrollPaneDemo.java,249.0,249.0,10.0,20.0,,
QC:jung,AV0JJQunt6tne_r562Jy,AV0JJQunt6tne_r562Jy,AV0JJQ9wt6tne_r562Q-,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 15:47:44,2017-07-03 15:47:44,,Replace this use of System.out or System.err by a logger.,QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/GraphZoomScrollPaneDemo.java,252.0,252.0,10.0,20.0,,
QC:jung,AV0JJQunt6tne_r562Jy,AV0JJQunt6tne_r562Jy,AV0JJQ9wt6tne_r562Q_,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-03 15:47:44,2017-07-03 15:47:44,,"Define a constant instead of duplicating this literal ""Vertex "" 3 times.",QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/GraphZoomScrollPaneDemo.java,246.0,246.0,29.0,38.0,,
QC:jung,AV0JJQunt6tne_r562Jy,AV0JJQunt6tne_r562Jy,AV0JJQ9wt6tne_r562RA,CODE_SMELL,squid:S1188,MAJOR,OPEN,,20,20,java8,2017-07-03 15:47:44,2017-07-03 15:47:44,,"Reduce this anonymous class number of lines from 28 to at most 20, or make it a named class.",QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/GraphZoomScrollPaneDemo.java,103.0,103.0,34.0,67.0,,
