project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:log4j,AV0TrSust6tne_r58TZQ,AV0TrSust6tne_r58TZQ,AV0TrU-At6tne_r58Th4,CODE_SMELL,squid:S135,MAJOR,OPEN,,40,40,brain-overload,2017-07-05 16:53:10,2017-07-05 16:53:10,,Reduce the total number of break and continue statements in this loop to use at most one.,QC:log4j:source/slf4j-impl/src/main/java/org/slf4j/helpers/Log4JLoggerFactory.java,75.0,75.0,8.0,11.0,,
QC:log4j,AV0TrSust6tne_r58TZQ,AV0TrSust6tne_r58TZQ,AV0TrU-At6tne_r58Th5,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-05 16:53:10,2017-07-05 16:53:10,,Long method,QC:log4j:source/slf4j-impl/src/main/java/org/slf4j/helpers/Log4JLoggerFactory.java,1.0,1.0,0.0,2.0,,
QC:log4j,AV0TrSust6tne_r58TZQ,AV0TrSust6tne_r58TZQ,AV0TrU-At6tne_r58Th6,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-05 16:53:10,2017-07-05 16:53:10,,"Define a constant instead of duplicating this literal ""Debug message {}"" 3 times.",QC:log4j:source/slf4j-impl/src/test/java/org/apache/logging/slf4j/LoggerTest.java,114.0,114.0,21.0,39.0,,
QC:log4j,AV0TrSust6tne_r58TZQ,AV0TrSust6tne_r58TZQ,AV0TrU-At6tne_r58Th7,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-05 16:53:10,2017-07-05 16:53:10,,"Define a constant instead of duplicating this literal ""Hello, {}"" 3 times.",QC:log4j:source/slf4j-impl/src/test/java/org/apache/logging/slf4j/LoggerTest.java,126.0,126.0,21.0,32.0,,
QC:log4j,AV0TrSust6tne_r58TZQ,AV0TrSust6tne_r58TZQ,AV0TrU-At6tne_r58Th8,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-05 16:53:10,2017-07-05 16:53:10,,"Define a constant instead of duplicating this literal ""Debug message"" 3 times.",QC:log4j:source/slf4j-impl/src/test/java/org/apache/logging/slf4j/LoggerTest.java,108.0,108.0,21.0,36.0,,
QC:log4j,AV0TrSust6tne_r58TZQ,AV0TrSust6tne_r58TZQ,AV0TrU-At6tne_r58Th9,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-05 16:53:10,2017-07-05 16:53:10,,"Define a constant instead of duplicating this literal ""o.a.l.s.LoggerTest Debug message {} MDC{}"" 3 times.",QC:log4j:source/slf4j-impl/src/test/java/org/apache/logging/slf4j/LoggerTest.java,115.0,115.0,23.0,66.0,,
QC:log4j,AV0TrSust6tne_r58TZQ,AV0TrSust6tne_r58TZQ,AV0TrU-At6tne_r58Th-,CODE_SMELL,squid:S1481,MAJOR,OPEN,,5,5,unused,2017-07-05 16:53:10,2017-07-05 16:53:10,,"Remove this unused ""config"" local variable.",QC:log4j:source/slf4j-impl/src/test/java/org/apache/logging/slf4j/LoggerTest.java,61.0,61.0,28.0,34.0,,
QC:log4j,AV0TrSust6tne_r58TZQ,AV0TrSust6tne_r58TZQ,AV0TrU-At6tne_r58Th_,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-05 16:53:10,2017-07-05 16:53:10,,Move this variable to comply with Java Code Conventions.,QC:log4j:source/slf4j-impl/src/test/java/org/apache/logging/slf4j/LoggerTest.java,71.0,71.0,11.0,17.0,,
QC:log4j,AV0TrSust6tne_r58TZQ,AV0TrSust6tne_r58TZQ,AV0TrU-At6tne_r58TiA,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-05 16:53:10,2017-07-05 16:53:10,,Move this variable to comply with Java Code Conventions.,QC:log4j:source/slf4j-impl/src/test/java/org/apache/logging/slf4j/LoggerTest.java,72.0,72.0,12.0,19.0,,
QC:log4j,AV0TrSust6tne_r58TZQ,AV0TrSust6tne_r58TZQ,AV0TrU-At6tne_r58TiB,VULNERABILITY,squid:S1313,MAJOR,OPEN,,30,30,cert,2017-07-05 16:53:10,2017-07-05 16:53:10,,"Make this IP ""192.168.0.120"" address configurable.",QC:log4j:source/slf4j-impl/src/test/java/org/apache/logging/slf4j/LoggerTest.java,159.0,159.0,29.0,44.0,,
QC:log4j,AV0TrSust6tne_r58TZQ,AV0TrSust6tne_r58TZQ,AV0TrU-At6tne_r58TiC,CODE_SMELL,squid:S1312,MINOR,OPEN,,5,5,convention,2017-07-05 16:53:10,2017-07-05 16:53:10,,"Make the ""logger"" logger private static final and rename it to comply with the format ""LOG(?:GER)?"".",QC:log4j:source/slf4j-impl/src/test/java/org/apache/logging/slf4j/LoggerTest.java,71.0,71.0,11.0,17.0,,
QC:log4j,AV0TrSust6tne_r58TZQ,AV0TrSust6tne_r58TZQ,AV0TrU-At6tne_r58TiD,CODE_SMELL,squid:S1312,MINOR,OPEN,,5,5,convention,2017-07-05 16:53:10,2017-07-05 16:53:10,,"Make the ""l"" logger private static final and rename it to comply with the format ""LOG(?:GER)?"".",QC:log4j:source/slf4j-impl/src/test/java/org/apache/logging/slf4j/LoggerTest.java,143.0,143.0,21.0,22.0,,
