project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:marauroa,AV0IQsBzxxgZwiQcLW0N,AV0IQsBzxxgZwiQcLW0N,AV0IQsWUxxgZwiQcLXKj,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,performance,2017-07-03 11:41:50,2017-07-03 11:41:50,,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",QC:marauroa:src/marauroa/server/game/db/AccountDAO.java,92.0,92.0,2.0,14.0,,
QC:marauroa,AV0IQsBzxxgZwiQcLW0N,AV0IQsBzxxgZwiQcLW0N,AV0IQsO_xxgZwiQcLW_q,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-03 11:41:50,2017-07-03 11:41:50,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:marauroa:src/marauroa/common/net/message/MessageS2CServerInfo.java,111.0,111.0,11.0,19.0,,
QC:marauroa,AV0IQsBzxxgZwiQcLW0N,AV0IQsBzxxgZwiQcLW0N,AV0IQsWUxxgZwiQcLXKl,CODE_SMELL,squid:S1160,MAJOR,OPEN,,20,20,error-handling,2017-07-03 11:41:50,2017-07-03 11:41:50,,"Refactor this method to throw at most one checked exception instead of: java.sql.SQLException, java.io.IOException",QC:marauroa:src/marauroa/server/game/db/AccountDAO.java,743.0,743.0,16.0,45.0,,
QC:marauroa,AV0IQsBzxxgZwiQcLW0N,AV0IQsBzxxgZwiQcLW0N,AV0IQsO_xxgZwiQcLW_s,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 11:41:50,2017-07-03 11:41:50,,Long method,QC:marauroa:src/marauroa/common/net/message/MessageS2CServerInfo.java,1.0,1.0,0.0,73.0,,
QC:marauroa,AV0IQsBzxxgZwiQcLW0N,AV0IQsBzxxgZwiQcLW0N,AV0IQsWUxxgZwiQcLXKn,CODE_SMELL,squid:S134,MAJOR,OPEN,,10,10,brain-overload,2017-07-03 11:41:50,2017-07-03 11:41:50,,Refactor this code to not nest more than 3 if/for/while/switch/try statements.,QC:marauroa:src/marauroa/server/game/db/AccountDAO.java,277.0,277.0,5.0,7.0,,
QC:marauroa,AV0IQsBzxxgZwiQcLW0N,AV0IQsBzxxgZwiQcLW0N,AV0IQsO_xxgZwiQcLW_u,CODE_SMELL,squid:ModifiersOrderCheck,MINOR,OPEN,,2,2,convention,2017-07-03 11:41:50,2017-07-03 11:41:50,,Reorder the modifiers to comply with the Java Language Specification.,QC:marauroa:src/marauroa/common/net/message/MessageS2CPerception.java,380.0,380.0,15.0,21.0,,
QC:marauroa,AV0IQsBzxxgZwiQcLW0N,AV0IQsBzxxgZwiQcLW0N,AV0IQsWUxxgZwiQcLXKp,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 11:41:50,2017-07-03 11:41:50,,Long method,QC:marauroa:src/marauroa/server/game/db/AccountDAO.java,1.0,1.0,0.0,64.0,,
QC:marauroa,AV0IQsBzxxgZwiQcLW0N,AV0IQsBzxxgZwiQcLW0N,AV0IQsO_xxgZwiQcLW_w,CODE_SMELL,squid:MethodCyclomaticComplexity,MAJOR,OPEN,,11,11,brain-overload,2017-07-03 11:41:50,2017-07-03 11:41:50,,"The Cyclomatic Complexity of this method ""readObject"" is 11 which is greater than 10 authorized.",QC:marauroa:src/marauroa/common/net/message/MessageS2CPerception.java,225.0,225.0,13.0,23.0,,
QC:marauroa,AV0IQsBzxxgZwiQcLW0N,AV0IQsBzxxgZwiQcLW0N,AV0IQsWUxxgZwiQcLXKr,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,performance,2017-07-03 11:41:50,2017-07-03 11:41:50,,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",QC:marauroa:src/marauroa/server/game/db/GameEventDAO.java,49.0,49.0,2.0,14.0,,
QC:marauroa,AV0IQsBzxxgZwiQcLW0N,AV0IQsBzxxgZwiQcLW0N,AV0IQsO_xxgZwiQcLW_y,CODE_SMELL,squid:S1192,MINOR,OPEN,,10,10,design,2017-07-03 11:41:50,2017-07-03 11:41:50,,"Define a constant instead of duplicating this literal "" size"" 4 times.",QC:marauroa:src/marauroa/common/net/message/MessageS2CPerception.java,247.0,247.0,14.0,21.0,,
