project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:maven,AV0IReUAxxgZwiQcLXME,AV0IReUAxxgZwiQcLXME,AV0IRe4YxxgZwiQcLXml,CODE_SMELL,squid:S2166,MAJOR,OPEN,,5,5,"convention,pitfall",2017-07-03 11:43:11,2017-07-03 11:43:11,,"Rename this class to remove ""Exception"" or correct its inheritance.",QC:maven:maven-core/src/main/java/org/apache/maven/artifact/repository/metadata/RepositoryMetadataInstallationException.java,27.0,27.0,13.0,52.0,,
QC:maven,AV0IReUAxxgZwiQcLXME,AV0IReUAxxgZwiQcLXME,AV0IRe4YxxgZwiQcLXmm,CODE_SMELL,squid:S2166,MAJOR,OPEN,,5,5,"convention,pitfall",2017-07-03 11:43:11,2017-07-03 11:43:11,,"Rename this class to remove ""Exception"" or correct its inheritance.",QC:maven:maven-core/src/main/java/org/apache/maven/artifact/repository/metadata/RepositoryMetadataDeploymentException.java,27.0,27.0,13.0,50.0,,
QC:maven,AV0IReUAxxgZwiQcLXME,AV0IReUAxxgZwiQcLXME,AV0IRe4YxxgZwiQcLXmn,CODE_SMELL,squid:HiddenFieldCheck,MAJOR,OPEN,,5,5,"cert,pitfall",2017-07-03 11:43:11,2017-07-03 11:43:11,,"Rename ""metadata"" which hides the field declared at line 46.",QC:maven:maven-core/src/main/java/org/apache/maven/artifact/repository/metadata/AbstractRepositoryMetadata.java,87.0,87.0,17.0,25.0,,
QC:maven,AV0IReUAxxgZwiQcLXME,AV0IReUAxxgZwiQcLXME,AV0IRe-PxxgZwiQcLXsN,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,redundant,unused",2017-07-03 11:43:11,2017-07-03 11:43:11,,Remove the redundant '!unknownSymbol!' thrown exception declaration(s).,QC:maven:maven-core/src/test/java/org/apache/maven/lifecycle/internal/stub/ProjectDependencyGraphStub.java,86.0,86.0,15.0,47.0,,
QC:maven,AV0IReUAxxgZwiQcLXME,AV0IReUAxxgZwiQcLXME,AV0IRe4YxxgZwiQcLXmp,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 11:43:11,2017-07-03 11:43:11,,Complete the task associated to this TODO comment.,QC:maven:maven-core/src/main/java/org/apache/maven/artifact/repository/metadata/AbstractRepositoryMetadata.java,201.0,201.0,0.0,126.0,,
QC:maven,AV0IReUAxxgZwiQcLXME,AV0IReUAxxgZwiQcLXME,AV0IRe4YxxgZwiQcLXmq,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 11:43:11,2017-07-03 11:43:11,,Long method,QC:maven:maven-core/src/main/java/org/apache/maven/artifact/repository/metadata/AbstractRepositoryMetadata.java,1.0,1.0,0.0,54.0,,
QC:maven,AV0IReUAxxgZwiQcLXME,AV0IReUAxxgZwiQcLXME,AV0IRe-PxxgZwiQcLXsP,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,redundant,unused",2017-07-03 11:43:11,2017-07-03 11:43:11,,Remove the redundant '!unknownSymbol!' thrown exception declaration(s).,QC:maven:maven-core/src/test/java/org/apache/maven/lifecycle/internal/stub/ProjectDependencyGraphStub.java,114.0,114.0,15.0,47.0,,
QC:maven,AV0IReUAxxgZwiQcLXME,AV0IReUAxxgZwiQcLXME,AV0IRe-PxxgZwiQcLXsQ,CODE_SMELL,squid:S00112,MAJOR,OPEN,,20,20,"cert,cwe,error-handling",2017-07-03 11:43:11,2017-07-03 11:43:11,,Define and throw a dedicated exception instead of using a generic one.,QC:maven:maven-core/src/test/java/org/apache/maven/lifecycle/internal/stub/ProjectDependencyGraphStub.java,181.0,181.0,22.0,38.0,,
QC:maven,AV0IReUAxxgZwiQcLXME,AV0IReUAxxgZwiQcLXME,AV0IRe4oxxgZwiQcLXmv,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 11:43:11,2017-07-03 11:43:11,,Long method,QC:maven:maven-core/src/main/java/org/apache/maven/artifact/factory/DefaultArtifactFactory.java,1.0,1.0,0.0,42.0,,
QC:maven,AV0IReUAxxgZwiQcLXME,AV0IReUAxxgZwiQcLXME,AV0IRe4oxxgZwiQcLXmw,CODE_SMELL,code_smells:long_parameter_list,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 11:43:11,2017-07-03 11:43:11,,Long parameter list,QC:maven:maven-core/src/main/java/org/apache/maven/artifact/factory/DefaultArtifactFactory.java,1.0,1.0,0.0,42.0,,
QC:maven,AV0IReUAxxgZwiQcLXME,AV0IReUAxxgZwiQcLXME,AV0IRe-fxxgZwiQcLXsT,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,redundant,unused",2017-07-03 11:43:11,2017-07-03 11:43:11,,Remove the redundant '!unknownSymbol!' thrown exception declaration(s).,QC:maven:maven-core/src/test/java/org/apache/maven/lifecycle/internal/stub/ProjectDependenciesResolverStub.java,44.0,44.0,15.0,42.0,,
