project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:nakedobjects,AV0JrV7Jt6tne_r57Mo4,AV0JrV7Jt6tne_r57Mo4,AV0JrYCpt6tne_r57Nrn,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 18:08:58,2017-07-03 18:08:58,,Move this constructor to comply with Java Code Conventions.,QC:nakedobjects:core/metamodel/src/main/java/org/nakedobjects/metamodel/facets/properties/modify/PropertyClearFacetAbstract.java,14.0,14.0,11.0,37.0,,
QC:nakedobjects,AV0JrV7Jt6tne_r57Mo4,AV0JrV7Jt6tne_r57Mo4,AV0JrYAct6tne_r57NrA,CODE_SMELL,squid:S2131,MAJOR,OPEN,,5,5,performance,2017-07-03 18:08:58,2017-07-03 18:08:58,,"Use ""Character.toString"" instead.",QC:nakedobjects:core/metamodel/src/main/java/org/nakedobjects/metamodel/facets/propparam/validate/mask/MaskEvaluator.java,72.0,72.0,34.0,53.0,,
QC:nakedobjects,AV0JrV7Jt6tne_r57Mo4,AV0JrV7Jt6tne_r57Mo4,AV0JrYCpt6tne_r57Nrp,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,20,20,pitfall,2017-07-03 18:08:58,2017-07-03 18:08:58,,1 duplicated blocks of code must be removed.,QC:nakedobjects:core/metamodel/src/main/java/org/nakedobjects/metamodel/facets/properties/modify/PropertySetterFacetViaSetterMethod.java,,,,,,
QC:nakedobjects,AV0JrV7Jt6tne_r57Mo4,AV0JrV7Jt6tne_r57Mo4,AV0JrYAct6tne_r57NrD,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 18:08:58,2017-07-03 18:08:58,,Long method,QC:nakedobjects:core/metamodel/src/main/java/org/nakedobjects/metamodel/facets/propparam/validate/mask/MaskFacetAnnotation.java,1.0,1.0,0.0,67.0,,
QC:nakedobjects,AV0JrV7Jt6tne_r57Mo4,AV0JrV7Jt6tne_r57Mo4,AV0JrYCpt6tne_r57Nrr,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 18:08:58,2017-07-03 18:08:58,,Move this constructor to comply with Java Code Conventions.,QC:nakedobjects:core/metamodel/src/main/java/org/nakedobjects/metamodel/facets/properties/modify/PropertyInitializationFacetAbstract.java,14.0,14.0,11.0,46.0,,
QC:nakedobjects,AV0JrV7Jt6tne_r57Mo4,AV0JrV7Jt6tne_r57Mo4,AV0JrYAst6tne_r57NrF,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 18:08:58,2017-07-03 18:08:58,,Move this constructor to comply with Java Code Conventions.,QC:nakedobjects:core/metamodel/src/main/java/org/nakedobjects/metamodel/facets/propparam/validate/mandatory/MandatoryFacetAbstract.java,19.0,19.0,11.0,33.0,,
QC:nakedobjects,AV0JrV7Jt6tne_r57Mo4,AV0JrV7Jt6tne_r57Mo4,AV0JrYC4t6tne_r57Nrt,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,20,20,pitfall,2017-07-03 18:08:58,2017-07-03 18:08:58,,1 duplicated blocks of code must be removed.,QC:nakedobjects:core/metamodel/src/main/java/org/nakedobjects/metamodel/facets/properties/validate/PropertyValidateFacetViaMethod.java,,,,,,
QC:nakedobjects,AV0JrV7Jt6tne_r57Mo4,AV0JrV7Jt6tne_r57Mo4,AV0JrYC4t6tne_r57Nru,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 18:08:58,2017-07-03 18:08:58,,Replace all tab characters in this file by sequences of white-spaces.,QC:nakedobjects:core/metamodel/src/main/java/org/nakedobjects/metamodel/facets/properties/validate/PropertyValidateFacetViaMethod.java,,,,,,
QC:nakedobjects,AV0JrV7Jt6tne_r57Mo4,AV0JrV7Jt6tne_r57Mo4,AV0JrYAst6tne_r57NrH,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 18:08:58,2017-07-03 18:08:58,,Long method,QC:nakedobjects:core/metamodel/src/main/java/org/nakedobjects/metamodel/facets/propparam/validate/mandatory/OptionalAnnotationFacetFactory.java,1.0,1.0,0.0,72.0,,
QC:nakedobjects,AV0JrV7Jt6tne_r57Mo4,AV0JrV7Jt6tne_r57Mo4,AV0JrYDIt6tne_r57Nrw,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 18:08:58,2017-07-03 18:08:58,,Replace all tab characters in this file by sequences of white-spaces.,QC:nakedobjects:core/metamodel/src/main/java/org/nakedobjects/metamodel/facets/properties/defaults/PropertyDefaultFacetViaMethod.java,,,,,,
