project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:nekohtml,AV0Jrikct6tne_r57Pzz,AV0Jrikct6tne_r57Pzz,AV0Jriutt6tne_r57P0k,CODE_SMELL,squid:S00101,MINOR,OPEN,,5,5,convention,2017-07-03 18:19:00,2017-07-03 18:19:00,,Rename this class name to match the regular expression '^[A-Z][a-zA-Z0-9]*$'.,QC:nekohtml:src/org/cyberneko/html/xercesbridge/XercesBridge_2_0.java,32.0,32.0,13.0,29.0,,
QC:nekohtml,AV0Jrikct6tne_r57Pzz,AV0Jrikct6tne_r57Pzz,AV0Jriutt6tne_r57P0l,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 18:19:00,2017-07-03 18:19:00,,Replace all tab characters in this file by sequences of white-spaces.,QC:nekohtml:src/org/cyberneko/html/xercesbridge/XercesBridge_2_0.java,,,,,,
QC:nekohtml,AV0Jrikct6tne_r57Pzz,AV0Jrikct6tne_r57Pzz,AV0Jriutt6tne_r57P0m,CODE_SMELL,squid:UselessImportCheck,MINOR,OPEN,,2,2,unused,2017-07-03 18:19:00,2017-07-03 18:19:00,,Remove this unused import 'java.lang.reflect.Method'.,QC:nekohtml:src/org/cyberneko/html/xercesbridge/XercesBridge_2_0.java,19.0,19.0,0.0,32.0,,
QC:nekohtml,AV0Jrikct6tne_r57Pzz,AV0Jrikct6tne_r57Pzz,AV0Jriutt6tne_r57P0n,CODE_SMELL,squid:UselessImportCheck,MINOR,OPEN,,2,2,unused,2017-07-03 18:19:00,2017-07-03 18:19:00,,Remove this unused import 'java.lang.reflect.InvocationTargetException'.,QC:nekohtml:src/org/cyberneko/html/xercesbridge/XercesBridge_2_0.java,18.0,18.0,0.0,51.0,,
QC:nekohtml,AV0Jrikct6tne_r57Pzz,AV0Jrikct6tne_r57Pzz,AV0Jriutt6tne_r57P0o,CODE_SMELL,squid:ModifiersOrderCheck,MINOR,OPEN,,2,2,convention,2017-07-03 18:19:00,2017-07-03 18:19:00,,Reorder the modifiers to comply with the Java Language Specification.,QC:nekohtml:src/org/cyberneko/html/xercesbridge/XercesBridge.java,32.0,32.0,8.0,15.0,,
QC:nekohtml,AV0Jrikct6tne_r57Pzz,AV0Jrikct6tne_r57Pzz,AV0Jriutt6tne_r57P0p,CODE_SMELL,squid:S1905,MINOR,OPEN,,5,5,"clumsy,redundant",2017-07-03 18:19:00,2017-07-03 18:19:00,,"Remove this unnecessary cast to ""XercesBridge"".",QC:nekohtml:src/org/cyberneko/html/xercesbridge/XercesBridge.java,54.0,54.0,32.0,44.0,,
QC:nekohtml,AV0Jrikct6tne_r57Pzz,AV0Jrikct6tne_r57Pzz,AV0Jriutt6tne_r57P0q,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 18:19:00,2017-07-03 18:19:00,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:nekohtml:src/org/cyberneko/html/xercesbridge/XercesBridge.java,81.0,81.0,13.0,43.0,,
QC:nekohtml,AV0Jrikct6tne_r57Pzz,AV0Jrikct6tne_r57Pzz,AV0Jriutt6tne_r57P0r,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 18:19:00,2017-07-03 18:19:00,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:nekohtml:src/org/cyberneko/html/xercesbridge/XercesBridge.java,94.0,94.0,22.0,54.0,,
QC:nekohtml,AV0Jrikct6tne_r57Pzz,AV0Jrikct6tne_r57Pzz,AV0Jriutt6tne_r57P0s,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 18:19:00,2017-07-03 18:19:00,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:nekohtml:src/org/cyberneko/html/xercesbridge/XercesBridge.java,100.0,100.0,13.0,50.0,,
QC:nekohtml,AV0Jrikct6tne_r57Pzz,AV0Jrikct6tne_r57Pzz,AV0Jriutt6tne_r57P0t,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 18:19:00,2017-07-03 18:19:00,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:nekohtml:src/org/cyberneko/html/xercesbridge/XercesBridge.java,109.0,109.0,13.0,48.0,,
QC:nekohtml,AV0Jrikct6tne_r57Pzz,AV0Jrikct6tne_r57Pzz,AV0Jriutt6tne_r57P0u,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 18:19:00,2017-07-03 18:19:00,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:nekohtml:src/org/cyberneko/html/xercesbridge/XercesBridge.java,119.0,119.0,13.0,48.0,,
