project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:openjms,AV0IRrU0xxgZwiQcLYMc,AV0IRrU0xxgZwiQcLYMc,AV0IRrl6xxgZwiQcLYWf,CODE_SMELL,squid:S1118,MAJOR,OPEN,,30,30,design,2017-07-03 11:44:53,2017-07-03 11:44:53,,Add a private constructor to hide the implicit public one.,QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/db/SchemaConverterFactory.java,59.0,59.0,13.0,35.0,,
QC:openjms,AV0IRrU0xxgZwiQcLYMc,AV0IRrU0xxgZwiQcLYMc,AV0IRrl6xxgZwiQcLYWg,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-03 11:44:53,2017-07-03 11:44:53,,Either log or rethrow this exception.,QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/db/Descriptor.java,149.0,149.0,17.0,49.0,,
QC:openjms,AV0IRrU0xxgZwiQcLYMc,AV0IRrU0xxgZwiQcLYMc,AV0IRrl6xxgZwiQcLYWh,CODE_SMELL,squid:S00112,MAJOR,OPEN,,20,20,"cert,cwe,error-handling",2017-07-03 11:44:53,2017-07-03 11:44:53,,Define and throw a dedicated exception instead of using a generic one.,QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/db/Descriptor.java,150.0,150.0,22.0,38.0,,
QC:openjms,AV0IRrU0xxgZwiQcLYMc,AV0IRrU0xxgZwiQcLYMc,AV0IRrl6xxgZwiQcLYWi,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-03 11:44:53,2017-07-03 11:44:53,,"Rename this field ""_type"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/db/Descriptor.java,66.0,66.0,22.0,27.0,,
QC:openjms,AV0IRrU0xxgZwiQcLYMc,AV0IRrU0xxgZwiQcLYMc,AV0IRrl6xxgZwiQcLYWj,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-03 11:44:53,2017-07-03 11:44:53,,"Rename this field ""_name"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/db/Descriptor.java,71.0,71.0,25.0,30.0,,
QC:openjms,AV0IRrU0xxgZwiQcLYMc,AV0IRrU0xxgZwiQcLYMc,AV0IRrmJxxgZwiQcLYWk,CODE_SMELL,squid:S2166,MAJOR,OPEN,,5,5,"convention,pitfall",2017-07-03 11:44:53,2017-07-03 11:44:53,,"Rename this class to remove ""Exception"" or correct its inheritance.",QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/db/InvalidTypeException.java,58.0,58.0,13.0,33.0,,
QC:openjms,AV0IRrU0xxgZwiQcLYMc,AV0IRrU0xxgZwiQcLYMc,AV0IRrmJxxgZwiQcLYWl,CODE_SMELL,code_smells:lazy_class,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 11:44:53,2017-07-03 11:44:53,,Lazy class,QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/db/InvalidTypeException.java,1.0,1.0,0.0,3.0,,
QC:openjms,AV0IRrU0xxgZwiQcLYMc,AV0IRrU0xxgZwiQcLYMc,AV0IRrmJxxgZwiQcLYWm,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 11:44:53,2017-07-03 11:44:53,,Replace this use of System.out or System.err by a logger.,QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/db/DBTool.java,252.0,252.0,16.0,26.0,,
QC:openjms,AV0IRrU0xxgZwiQcLYMc,AV0IRrU0xxgZwiQcLYMc,AV0IRrmJxxgZwiQcLYWn,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 11:44:53,2017-07-03 11:44:53,,Replace this use of System.out or System.err by a logger.,QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/db/DBTool.java,264.0,264.0,16.0,26.0,,
QC:openjms,AV0IRrU0xxgZwiQcLYMc,AV0IRrU0xxgZwiQcLYMc,AV0IRrmJxxgZwiQcLYWo,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 11:44:53,2017-07-03 11:44:53,,Replace this use of System.out or System.err by a logger.,QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/db/DBTool.java,278.0,278.0,16.0,26.0,,
