project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDZ,CODE_SMELL,squid:ModifiersOrderCheck,MINOR,OPEN,,2,2,convention,2017-07-03 11:47:24,2017-07-03 11:47:24,,Reorder the modifiers to comply with the Java Language Specification.,QC:oscache:docs/wiki/Statistics_attachments/StatisticListenerImpl.java,25.0,25.0,29.0,34.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDa,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-03 11:47:24,2017-07-03 11:47:24,,"Define a constant instead of duplicating this literal "", miss = "" 3 times.",QC:oscache:docs/wiki/Statistics_attachments/StatisticListenerImpl.java,100.0,100.0,38.0,49.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDb,CODE_SMELL,squid:S1598,MAJOR,OPEN,,5,5,pitfall,2017-07-03 11:47:24,2017-07-03 11:47:24,,"This file ""StatisticListenerImpl.java"" should be located in ""com/opensymphony/oscache/extra"" directory, not in ""/var/SQuaSME/QC-projects/batch10/oscache-2.3/docs/wiki/Statistics_attachments"".",QC:oscache:docs/wiki/Statistics_attachments/StatisticListenerImpl.java,5.0,5.0,8.0,38.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDc,CODE_SMELL,squid:S1312,MINOR,OPEN,,5,5,convention,2017-07-03 11:47:24,2017-07-03 11:47:24,,"Rename the ""log"" logger to comply with the format ""LOG(?:GER)?"".",QC:oscache:docs/wiki/Statistics_attachments/StatisticListenerImpl.java,25.0,25.0,39.0,42.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDd,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 11:47:24,2017-07-03 11:47:24,,Long method,QC:oscache:docs/wiki/Statistics_attachments/StatisticListenerImpl.java,1.0,1.0,0.0,3.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDe,CODE_SMELL,code_smells:long_parameter_list,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 11:47:24,2017-07-03 11:47:24,,Long parameter list,QC:oscache:src/java/com/opensymphony/oscache/web/filter/SplitServletOutputStream.java,1.0,1.0,0.0,3.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDf,CODE_SMELL,squid:HiddenFieldCheck,MAJOR,OPEN,,5,5,"cert,pitfall",2017-07-03 11:47:24,2017-07-03 11:47:24,,"Rename ""cacheKeyProvider"" which hides the field declared at line 80.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,321.0,321.0,26.0,42.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDg,CODE_SMELL,squid:HiddenFieldCheck,MAJOR,OPEN,,5,5,"cert,pitfall",2017-07-03 11:47:24,2017-07-03 11:47:24,,"Rename ""cacheGroupsProvider"" which hides the field declared at line 81.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,327.0,327.0,29.0,48.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDh,CODE_SMELL,squid:HiddenFieldCheck,MAJOR,OPEN,,5,5,"cert,pitfall",2017-07-03 11:47:24,2017-07-03 11:47:24,,"Rename ""expiresRefreshPolicy"" which hides the field declared at line 65.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,333.0,333.0,27.0,47.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDi,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 11:47:24,2017-07-03 11:47:24,,"Move the ""session"" string literal on the left side of this string comparison.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,246.0,246.0,35.0,44.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDj,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 11:47:24,2017-07-03 11:47:24,,"Move the ""application"" string literal on the left side of this string comparison.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,248.0,248.0,42.0,55.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDk,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 11:47:24,2017-07-03 11:47:24,,"Move the ""request"" string literal on the left side of this string comparison.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,250.0,250.0,42.0,51.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDl,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 11:47:24,2017-07-03 11:47:24,,"Move the ""page"" string literal on the left side of this string comparison.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,252.0,252.0,42.0,48.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDm,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 11:47:24,2017-07-03 11:47:24,,"Move the ""no"" string literal on the left side of this string comparison.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,266.0,266.0,38.0,42.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDn,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 11:47:24,2017-07-03 11:47:24,,"Move the ""yes"" string literal on the left side of this string comparison.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,268.0,268.0,45.0,50.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDo,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 11:47:24,2017-07-03 11:47:24,,"Move the ""auto"" string literal on the left side of this string comparison.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,270.0,270.0,55.0,61.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDp,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 11:47:24,2017-07-03 11:47:24,,"Move the ""off"" string literal on the left side of this string comparison.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,281.0,281.0,37.0,42.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDq,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 11:47:24,2017-07-03 11:47:24,,"Move the ""sessionIdInURL"" string literal on the left side of this string comparison.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,283.0,283.0,54.0,70.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDr,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 11:47:24,2017-07-03 11:47:24,,"Move the ""off"" string literal on the left side of this string comparison.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,294.0,294.0,42.0,47.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDs,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 11:47:24,2017-07-03 11:47:24,,"Move the ""on"" string literal on the left side of this string comparison.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,296.0,296.0,49.0,53.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDt,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 11:47:24,2017-07-03 11:47:24,,"Move the ""initial"" string literal on the left side of this string comparison.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,298.0,298.0,59.0,68.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDu,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 11:47:24,2017-07-03 11:47:24,,"Move the ""off"" string literal on the left side of this string comparison.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,309.0,309.0,37.0,42.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDv,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 11:47:24,2017-07-03 11:47:24,,"Move the ""on"" string literal on the left side of this string comparison.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,311.0,311.0,44.0,48.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDw,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 11:47:24,2017-07-03 11:47:24,,"Move the ""time"" string literal on the left side of this string comparison.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,313.0,313.0,54.0,60.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDx,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 11:47:24,2017-07-03 11:47:24,,Complete the task associated to this TODO comment.,QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,419.0,419.0,0.0,55.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDy,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 11:47:24,2017-07-03 11:47:24,,Complete the task associated to this TODO comment.,QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,444.0,444.0,0.0,55.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZDz,CODE_SMELL,squid:ModifiersOrderCheck,MINOR,OPEN,,2,2,convention,2017-07-03 11:47:24,2017-07-03 11:47:24,,Reorder the modifiers to comply with the Java Language Specification.,QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,62.0,62.0,18.0,24.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZD0,CODE_SMELL,squid:MethodCyclomaticComplexity,MAJOR,OPEN,,14,14,brain-overload,2017-07-03 11:47:24,2017-07-03 11:47:24,,"The Cyclomatic Complexity of this method ""doFilter"" is 14 which is greater than 10 authorized.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,102.0,102.0,16.0,24.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZD1,CODE_SMELL,squid:MethodCyclomaticComplexity,MAJOR,OPEN,,19,19,brain-overload,2017-07-03 11:47:24,2017-07-03 11:47:24,,"The Cyclomatic Complexity of this method ""init"" is 19 which is greater than 10 authorized.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,227.0,227.0,16.0,20.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZD2,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-03 11:47:24,2017-07-03 11:47:24,,"Define a constant instead of duplicating this literal ""Class '"" 3 times.",QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,354.0,354.0,14.0,23.0,,
QC:oscache,AV0IR17UxxgZwiQcLZBa,AV0IR17UxxgZwiQcLZBa,AV0IR2B6xxgZwiQcLZD3,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-03 11:47:24,2017-07-03 11:47:24,,Either log or rethrow this exception.,QC:oscache:src/java/com/opensymphony/oscache/web/filter/CacheFilter.java,154.0,154.0,17.0,42.0,,
