project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:picocontainer,AV0Kd37Gt6tne_r57R8-,AV0Kd37Gt6tne_r57R8-,AV0Kd4GFt6tne_r57R_x,CODE_SMELL,squid:UselessImportCheck,MINOR,OPEN,,2,2,unused,2017-07-03 18:19:30,2017-07-03 18:19:30,,Remove this unused import 'org.picocontainer.LifecycleStrategy'.,QC:picocontainer:org/picocontainer/injectors/SingleMemberInjector.java,20.0,20.0,0.0,43.0,,
QC:picocontainer,AV0Kd37Gt6tne_r57R8-,AV0Kd37Gt6tne_r57R8-,AV0Kd4GFt6tne_r57R_y,CODE_SMELL,code_smells:refused_parent_bequest,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 18:19:30,2017-07-03 18:19:30,,Refused parent bequest,QC:picocontainer:org/picocontainer/injectors/SingleMemberInjector.java,1.0,1.0,0.0,78.0,,
QC:picocontainer,AV0Kd37Gt6tne_r57R8-,AV0Kd37Gt6tne_r57R8-,AV0Kd4GFt6tne_r57R_z,CODE_SMELL,squid:UselessImportCheck,MINOR,OPEN,,2,2,unused,2017-07-03 18:19:30,2017-07-03 18:19:30,,Remove this unused import 'org.picocontainer.LifecycleStrategy'.,QC:picocontainer:org/picocontainer/injectors/MultiInjector.java,13.0,13.0,0.0,43.0,,
QC:picocontainer,AV0Kd37Gt6tne_r57R8-,AV0Kd37Gt6tne_r57R8-,AV0Kd4GFt6tne_r57R_0,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 18:19:30,2017-07-03 18:19:30,,"Add the ""@Override"" annotation above this method signature",QC:picocontainer:org/picocontainer/injectors/MultiInjector.java,32.0,32.0,18.0,31.0,,
QC:picocontainer,AV0Kd37Gt6tne_r57R8-,AV0Kd37Gt6tne_r57R8-,AV0Kd4GVt6tne_r57R_1,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,redundant,unused",2017-07-03 18:19:30,2017-07-03 18:19:30,,Remove the declaration of thrown exception 'org.picocontainer.PicoCompositionException' which is a runtime exception.,QC:picocontainer:org/picocontainer/injectors/AnnotatedFieldInjection.java,48.0,48.0,83.0,107.0,,
QC:picocontainer,AV0Kd37Gt6tne_r57R8-,AV0Kd37Gt6tne_r57R8-,AV0Kd4GVt6tne_r57R_2,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 18:19:30,2017-07-03 18:19:30,,Replace all tab characters in this file by sequences of white-spaces.,QC:picocontainer:org/picocontainer/injectors/AnnotatedFieldInjection.java,,,,,,
QC:picocontainer,AV0Kd37Gt6tne_r57R8-,AV0Kd37Gt6tne_r57R8-,AV0Kd4GVt6tne_r57R_3,CODE_SMELL,squid:S1488,MINOR,OPEN,,2,2,clumsy,2017-07-03 18:19:30,2017-07-03 18:19:30,,"Immediately return this expression instead of assigning it to the temporary variable ""o"".",QC:picocontainer:org/picocontainer/injectors/MethodInjector.java,133.0,133.0,19.0,75.0,,
QC:picocontainer,AV0Kd37Gt6tne_r57R8-,AV0Kd37Gt6tne_r57R8-,AV0Kd4GVt6tne_r57R_4,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,redundant,unused",2017-07-03 18:19:30,2017-07-03 18:19:30,,Remove the declaration of thrown exception 'org.picocontainer.injectors.AbstractInjector$NotConcreteRegistrationException' which is a runtime exception.,QC:picocontainer:org/picocontainer/injectors/MethodInjector.java,56.0,56.0,70.0,119.0,,
QC:picocontainer,AV0Kd37Gt6tne_r57R8-,AV0Kd37Gt6tne_r57R8-,AV0Kd4GVt6tne_r57R_5,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,redundant,unused",2017-07-03 18:19:30,2017-07-03 18:19:30,,Remove the declaration of thrown exception 'org.picocontainer.PicoCompositionException' which is a runtime exception.,QC:picocontainer:org/picocontainer/injectors/MethodInjector.java,78.0,78.0,111.0,135.0,,
QC:picocontainer,AV0Kd37Gt6tne_r57R8-,AV0Kd37Gt6tne_r57R8-,AV0Kd4GVt6tne_r57R_6,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,redundant,unused",2017-07-03 18:19:30,2017-07-03 18:19:30,,Remove the declaration of thrown exception 'org.picocontainer.PicoCompositionException' which is a runtime exception.,QC:picocontainer:org/picocontainer/injectors/MethodInjector.java,161.0,161.0,61.0,85.0,,
