project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6Hmbt6tne_r55ORp,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 14:41:02,2017-07-03 14:41:02,,This block of commented-out lines of code should be removed.,QC:pmd:regress/test/net/sourceforge/pmd/jaxen/DocumentNavigatorTest.java,124.0,124.0,0.0,45.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6Hmrt6tne_r55ORr,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 14:41:02,2017-07-03 14:41:02,,Replace all tab characters in this file by sequences of white-spaces.,QC:pmd:regress/test/net/sourceforge/pmd/jaxen/MatchesFunctionTest.java,,,,,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6Hmrt6tne_r55ORu,CODE_SMELL,squid:S1186,MAJOR,OPEN,,5,5,suspicious,2017-07-03 14:41:02,2017-07-03 14:41:02,,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",QC:pmd:regress/test/net/sourceforge/pmd/jaxen/MatchesFunctionTest.java,24.0,24.0,16.0,28.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6Hmrt6tne_r55ORw,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 14:41:02,2017-07-03 14:41:02,,Move this variable to comply with Java Code Conventions.,QC:pmd:regress/test/net/sourceforge/pmd/jaxen/MatchesFunctionTest.java,46.0,46.0,19.0,28.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6Hm7t6tne_r55ORy,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 14:41:02,2017-07-03 14:41:02,,Move this variable to comply with Java Code Conventions.,QC:pmd:regress/test/net/sourceforge/pmd/cpd/AnyTokenizerTest.java,22.0,22.0,32.0,37.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6Hm7t6tne_r55OR0,CODE_SMELL,squid:S00112,MAJOR,OPEN,,20,20,"cert,cwe,error-handling",2017-07-03 14:41:02,2017-07-03 14:41:02,,Define and throw a dedicated exception instead of using a generic one.,QC:pmd:regress/test/net/sourceforge/pmd/cpd/CPPTokenizerTest.java,14.0,14.0,45.0,54.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6Hm7t6tne_r55OR1,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 14:41:02,2017-07-03 14:41:02,,Move this variable to comply with Java Code Conventions.,QC:pmd:regress/test/net/sourceforge/pmd/cpd/CPPTokenizerTest.java,44.0,44.0,32.0,37.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6Hm7t6tne_r55OR3,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 14:41:02,2017-07-03 14:41:02,,Move this variable to comply with Java Code Conventions.,QC:pmd:regress/test/net/sourceforge/pmd/cpd/CPPTokenizerTest.java,57.0,57.0,32.0,37.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6Hm7t6tne_r55OR4,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 14:41:02,2017-07-03 14:41:02,,Move this variable to comply with Java Code Conventions.,QC:pmd:regress/test/net/sourceforge/pmd/cpd/CPPTokenizerTest.java,60.0,60.0,32.0,37.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6Hm7t6tne_r55OR5,CODE_SMELL,squid:S1192,MINOR,OPEN,,20,20,design,2017-07-03 14:41:02,2017-07-03 14:41:02,,"Define a constant instead of duplicating this literal ""       write(*,*) ' '"" 9 times.",QC:pmd:regress/test/net/sourceforge/pmd/cpd/FortranTokenizerTest.java,81.0,81.0,3.0,26.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6Hm7t6tne_r55OR8,CODE_SMELL,squid:S00112,MAJOR,OPEN,,20,20,"cert,cwe,error-handling",2017-07-03 14:41:02,2017-07-03 14:41:02,,Define and throw a dedicated exception instead of using a generic one.,QC:pmd:regress/test/net/sourceforge/pmd/cpd/MatchAlgorithmTest.java,47.0,47.0,36.0,45.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6Hm7t6tne_r55OR-,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 14:41:02,2017-07-03 14:41:02,,Long method,QC:pmd:regress/test/net/sourceforge/pmd/cpd/MatchAlgorithmTest.java,1.0,1.0,0.0,3.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6Hm7t6tne_r55OSA,CODE_SMELL,squid:S1192,MINOR,OPEN,,12,12,design,2017-07-03 14:41:02,2017-07-03 14:41:02,,"Define a constant instead of duplicating this literal ""/var/Foo.java"" 5 times.",QC:pmd:regress/test/net/sourceforge/pmd/cpd/XMLRendererTest.java,50.0,50.0,61.0,76.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6Hm7t6tne_r55OSC,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 14:41:02,2017-07-03 14:41:02,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:pmd:regress/test/net/sourceforge/pmd/cpd/XMLRendererTest.java,47.0,47.0,16.0,29.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6HnKt6tne_r55OSE,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-03 14:41:02,2017-07-03 14:41:02,,Either log or rethrow this exception.,QC:pmd:regress/test/net/sourceforge/pmd/cpd/XMLRendererTest.java,40.0,40.0,17.0,28.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6HnKt6tne_r55OSG,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-03 14:41:02,2017-07-03 14:41:02,,Either log or rethrow this exception.,QC:pmd:regress/test/net/sourceforge/pmd/cpd/XMLRendererTest.java,98.0,98.0,17.0,28.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6HnKt6tne_r55OSI,VULNERABILITY,squid:S1148,CRITICAL,OPEN,,10,10,error-handling,2017-07-03 14:41:02,2017-07-03 14:41:02,,Use a logger to log this exception.,QC:pmd:regress/test/net/sourceforge/pmd/cpd/XMLRendererTest.java,76.0,76.0,14.0,29.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6HnKt6tne_r55OSJ,VULNERABILITY,squid:S1148,CRITICAL,OPEN,,10,10,error-handling,2017-07-03 14:41:02,2017-07-03 14:41:02,,Use a logger to log this exception.,QC:pmd:regress/test/net/sourceforge/pmd/cpd/XMLRendererTest.java,99.0,99.0,14.0,29.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6HnKt6tne_r55OSM,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 14:41:02,2017-07-03 14:41:02,,Long method,QC:pmd:regress/test/net/sourceforge/pmd/cpd/MatchTest.java,1.0,1.0,0.0,3.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6HnKt6tne_r55OSP,CODE_SMELL,squid:S1192,MINOR,OPEN,,10,10,design,2017-07-03 14:41:02,2017-07-03 14:41:02,,"Define a constant instead of duplicating this literal ""public class Foo {}"" 4 times.",QC:pmd:regress/test/net/sourceforge/pmd/cpd/JavaTokensTokenizerTest.java,20.0,20.0,79.0,100.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6HnKt6tne_r55OSR,CODE_SMELL,squid:S00112,MAJOR,OPEN,,20,20,"cert,cwe,error-handling",2017-07-03 14:41:02,2017-07-03 14:41:02,,Define and throw a dedicated exception instead of using a generic one.,QC:pmd:regress/test/net/sourceforge/pmd/cpd/JavaTokensTokenizerTest.java,28.0,28.0,31.0,40.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6HnKt6tne_r55OST,CODE_SMELL,squid:S00112,MAJOR,OPEN,,20,20,"cert,cwe,error-handling",2017-07-03 14:41:02,2017-07-03 14:41:02,,Define and throw a dedicated exception instead of using a generic one.,QC:pmd:regress/test/net/sourceforge/pmd/cpd/JavaTokensTokenizerTest.java,47.0,47.0,44.0,53.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6HnKt6tne_r55OSV,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 14:41:02,2017-07-03 14:41:02,,Replace all tab characters in this file by sequences of white-spaces.,QC:pmd:regress/test/net/sourceforge/pmd/cpd/RubyTokenizerTest.java,,,,,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6Hnat6tne_r55OSW,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 14:41:02,2017-07-03 14:41:02,,Replace all tab characters in this file by sequences of white-spaces.,QC:pmd:regress/test/net/sourceforge/pmd/properties/BooleanPropertyTest.java,,,,,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6Hnat6tne_r55OSY,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 14:41:02,2017-07-03 14:41:02,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:pmd:regress/test/net/sourceforge/pmd/properties/BooleanPropertyTest.java,26.0,26.0,0.0,74.0,,
QC:pmd,AV0I6G79t6tne_r55N-F,AV0I6G79t6tne_r55N-F,AV0I6Hnat6tne_r55OSa,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 14:41:02,2017-07-03 14:41:02,,Replace all tab characters in this file by sequences of white-spaces.,QC:pmd:regress/test/net/sourceforge/pmd/properties/EnumeratedPropertyTest.java,,,,,,
