project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:pooka,AV0du6-_t6tne_r58cuF,AV0du6-_t6tne_r58cuF,AV0dvL-6t6tne_r58czM,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-05 14:42:41,2017-07-05 14:42:41,,Replace all tab characters in this file by sequences of white-spaces.,QC:pooka:net/suberic/pooka/OutgoingMailServerManager.java,,,,,,
QC:pooka,AV0du6-_t6tne_r58cuF,AV0du6-_t6tne_r58cuF,AV0dvL-6t6tne_r58czN,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-05 14:42:41,2017-07-05 14:42:41,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:pooka:net/suberic/pooka/OutgoingMailServerManager.java,54.0,54.0,43.0,65.0,,
QC:pooka,AV0du6-_t6tne_r58cuF,AV0du6-_t6tne_r58cuF,AV0dvL-6t6tne_r58czO,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-05 14:42:41,2017-07-05 14:42:41,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:pooka:net/suberic/pooka/OutgoingMailServerManager.java,61.0,61.0,45.0,67.0,,
QC:pooka,AV0du6-_t6tne_r58cuF,AV0du6-_t6tne_r58cuF,AV0dvL-6t6tne_r58czP,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-05 14:42:41,2017-07-05 14:42:41,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:pooka:net/suberic/pooka/OutgoingMailServerManager.java,68.0,68.0,46.0,68.0,,
QC:pooka,AV0du6-_t6tne_r58cuF,AV0du6-_t6tne_r58cuF,AV0dvL-6t6tne_r58czQ,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-05 14:42:41,2017-07-05 14:42:41,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:pooka:net/suberic/pooka/OutgoingMailServerManager.java,75.0,75.0,48.0,71.0,,
QC:pooka,AV0du6-_t6tne_r58cuF,AV0du6-_t6tne_r58cuF,AV0dvL-6t6tne_r58czR,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-05 14:42:41,2017-07-05 14:42:41,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:pooka:net/suberic/pooka/OutgoingMailServerManager.java,82.0,82.0,58.0,76.0,,
QC:pooka,AV0du6-_t6tne_r58cuF,AV0du6-_t6tne_r58cuF,AV0dvL-6t6tne_r58czS,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-05 14:42:41,2017-07-05 14:42:41,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:pooka:net/suberic/pooka/OutgoingMailServerManager.java,89.0,89.0,60.0,79.0,,
QC:pooka,AV0du6-_t6tne_r58cuF,AV0du6-_t6tne_r58cuF,AV0dvL-6t6tne_r58czT,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-05 14:42:41,2017-07-05 14:42:41,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:pooka:net/suberic/pooka/OutgoingMailServerManager.java,97.0,97.0,57.0,77.0,,
QC:pooka,AV0du6-_t6tne_r58cuF,AV0du6-_t6tne_r58cuF,AV0dvL-6t6tne_r58czU,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,performance,2017-07-05 14:42:41,2017-07-05 14:42:41,,"Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".",QC:pooka:net/suberic/pooka/OutgoingMailServerManager.java,46.0,46.0,9.0,25.0,,
QC:pooka,AV0du6-_t6tne_r58cuF,AV0du6-_t6tne_r58cuF,AV0dvL-6t6tne_r58czV,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,performance,2017-07-05 14:42:41,2017-07-05 14:42:41,,"Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".",QC:pooka:net/suberic/pooka/OutgoingMailServerManager.java,166.0,166.0,4.0,10.0,,
