project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:proguard,AV0MgCQSt6tne_r57v_b,AV0MgCQSt6tne_r57v_b,AV0MgDL3t6tne_r57wUD,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-04 07:26:21,2017-07-04 07:26:21,,Complete the task associated to this TODO comment.,QC:proguard:src/proguard/evaluation/Processor.java,618.0,618.0,0.0,47.0,,
QC:proguard,AV0MgCQSt6tne_r57v_b,AV0MgCQSt6tne_r57v_b,AV0MgDL3t6tne_r57wUE,CODE_SMELL,squid:MethodCyclomaticComplexity,MAJOR,OPEN,,112,112,brain-overload,2017-07-04 07:26:21,2017-07-04 07:26:21,,"The Cyclomatic Complexity of this method ""visitSimpleInstruction"" is 112 which is greater than 10 authorized.",QC:proguard:src/proguard/evaluation/Processor.java,74.0,74.0,16.0,38.0,,
QC:proguard,AV0MgCQSt6tne_r57v_b,AV0MgCQSt6tne_r57v_b,AV0MgDL3t6tne_r57wUF,CODE_SMELL,squid:MethodCyclomaticComplexity,MAJOR,OPEN,,24,24,brain-overload,2017-07-04 07:26:21,2017-07-04 07:26:21,,"The Cyclomatic Complexity of this method ""visitConstantInstruction"" is 24 which is greater than 10 authorized.",QC:proguard:src/proguard/evaluation/Processor.java,552.0,552.0,16.0,40.0,,
QC:proguard,AV0MgCQSt6tne_r57v_b,AV0MgCQSt6tne_r57v_b,AV0MgDZCt6tne_r57wjI,VULNERABILITY,squid:ClassVariableVisibilityCheck,MAJOR,OPEN,,10,10,cwe,2017-07-04 07:26:21,2017-07-04 07:26:21,,Make u2nameIndex a static final constant or non-public and provide accessors if needed.,QC:proguard:src/proguard/classfile/attribute/LocalVariableInfo.java,35.0,35.0,15.0,26.0,,
QC:proguard,AV0MgCQSt6tne_r57v_b,AV0MgCQSt6tne_r57v_b,AV0MgDZCt6tne_r57wjJ,VULNERABILITY,squid:ClassVariableVisibilityCheck,MAJOR,OPEN,,10,10,cwe,2017-07-04 07:26:21,2017-07-04 07:26:21,,Make u2descriptorIndex a static final constant or non-public and provide accessors if needed.,QC:proguard:src/proguard/classfile/attribute/LocalVariableInfo.java,36.0,36.0,15.0,32.0,,
QC:proguard,AV0MgCQSt6tne_r57v_b,AV0MgCQSt6tne_r57v_b,AV0MgDZCt6tne_r57wjK,VULNERABILITY,squid:ClassVariableVisibilityCheck,MAJOR,OPEN,,10,10,cwe,2017-07-04 07:26:21,2017-07-04 07:26:21,,Make u2index a static final constant or non-public and provide accessors if needed.,QC:proguard:src/proguard/classfile/attribute/LocalVariableInfo.java,37.0,37.0,15.0,22.0,,
QC:proguard,AV0MgCQSt6tne_r57v_b,AV0MgCQSt6tne_r57v_b,AV0MgDZCt6tne_r57wjL,VULNERABILITY,squid:ClassVariableVisibilityCheck,MAJOR,OPEN,,10,10,cwe,2017-07-04 07:26:21,2017-07-04 07:26:21,,Make referencedClass a static final constant or non-public and provide accessors if needed.,QC:proguard:src/proguard/classfile/attribute/LocalVariableInfo.java,45.0,45.0,17.0,32.0,,
QC:proguard,AV0MgCQSt6tne_r57v_b,AV0MgCQSt6tne_r57v_b,AV0MgDL3t6tne_r57wUK,CODE_SMELL,squid:S1479,MAJOR,OPEN,,30,30,brain-overload,2017-07-04 07:26:21,2017-07-04 07:26:21,,Reduce the number of switch cases from 53 to at most 30.,QC:proguard:src/proguard/evaluation/Processor.java,636.0,636.0,8.0,14.0,,
QC:proguard,AV0MgCQSt6tne_r57v_b,AV0MgCQSt6tne_r57v_b,AV0MgDZCt6tne_r57wjN,CODE_SMELL,squid:MethodCyclomaticComplexity,MAJOR,OPEN,,11,11,brain-overload,2017-07-04 07:26:21,2017-07-04 07:26:21,,"The Cyclomatic Complexity of this method ""compareTo"" is 11 which is greater than 10 authorized.",QC:proguard:src/proguard/classfile/attribute/LocalVariableInfo.java,105.0,105.0,15.0,24.0,,
QC:proguard,AV0MgCQSt6tne_r57v_b,AV0MgCQSt6tne_r57v_b,AV0MgDL3t6tne_r57wUM,CODE_SMELL,squid:S1199,MAJOR,OPEN,,10,10,bad-practice,2017-07-04 07:26:21,2017-07-04 07:26:21,,Extract this nested code block into a method.,QC:proguard:src/proguard/evaluation/Processor.java,581.0,581.0,12.0,13.0,,
