project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:quartz,AV0MgU74t6tne_r57y1C,AV0MgU74t6tne_r57y1C,AV0MgVG3t6tne_r57y5i,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-04 07:28:37,2017-07-04 07:28:37,,Either log or rethrow this exception.,QC:quartz:quartz-weblogic/src/main/java/org/quartz/impl/jdbcjobstore/WebLogicDelegate.java,101.0,101.0,17.0,33.0,,
QC:quartz,AV0MgU74t6tne_r57y1C,AV0MgU74t6tne_r57y1C,AV0MgVG3t6tne_r57y5j,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-04 07:28:37,2017-07-04 07:28:37,,Either log or rethrow this exception.,QC:quartz:quartz-weblogic/src/main/java/org/quartz/impl/jdbcjobstore/WebLogicDelegate.java,126.0,126.0,21.0,37.0,,
QC:quartz,AV0MgU74t6tne_r57y1C,AV0MgU74t6tne_r57y1C,AV0MgVG3t6tne_r57y5k,CODE_SMELL,squid:S00108,MAJOR,OPEN,,5,5,suspicious,2017-07-04 07:28:37,2017-07-04 07:28:37,,Either remove or fill this block of code.,QC:quartz:quartz-weblogic/src/main/java/org/quartz/impl/jdbcjobstore/WebLogicDelegate.java,101.0,101.0,35.0,36.0,,
QC:quartz,AV0MgU74t6tne_r57y1C,AV0MgU74t6tne_r57y1C,AV0MgVG3t6tne_r57y5l,CODE_SMELL,squid:S00108,MAJOR,OPEN,,5,5,suspicious,2017-07-04 07:28:37,2017-07-04 07:28:37,,Either remove or fill this block of code.,QC:quartz:quartz-weblogic/src/main/java/org/quartz/impl/jdbcjobstore/WebLogicDelegate.java,126.0,126.0,39.0,40.0,,
QC:quartz,AV0MgU74t6tne_r57y1C,AV0MgU74t6tne_r57y1C,AV0MgVHGt6tne_r57y5m,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,30,30,pitfall,2017-07-04 07:28:37,2017-07-04 07:28:37,,2 duplicated blocks of code must be removed.,QC:quartz:quartz/src/main/java/org/quartz/CronTrigger.java,,,,,,
QC:quartz,AV0MgU74t6tne_r57y1C,AV0MgU74t6tne_r57y1C,AV0MgVHGt6tne_r57y5n,CODE_SMELL,squid:S1126,MINOR,OPEN,,2,2,clumsy,2017-07-04 07:28:37,2017-07-04 07:28:37,,Replace this if-then-else statement by a single return statement.,QC:quartz:quartz/src/main/java/org/quartz/CronTrigger.java,707.0,707.0,8.0,10.0,,
QC:quartz,AV0MgU74t6tne_r57y1C,AV0MgU74t6tne_r57y1C,AV0MgVHGt6tne_r57y5o,CODE_SMELL,squid:S1126,MINOR,OPEN,,2,2,clumsy,2017-07-04 07:28:37,2017-07-04 07:28:37,,Replace this if-then-else statement by a single return statement.,QC:quartz:quartz/src/main/java/org/quartz/CronTrigger.java,816.0,816.0,8.0,10.0,,
QC:quartz,AV0MgU74t6tne_r57y1C,AV0MgU74t6tne_r57y1C,AV0MgVHGt6tne_r57y5p,CODE_SMELL,squid:S1226,MAJOR,OPEN,,5,5,"misra,pitfall",2017-07-04 07:28:37,2017-07-04 07:28:37,,"Introduce a new variable instead of reusing the parameter ""startTime"".",QC:quartz:quartz/src/main/java/org/quartz/CronTrigger.java,384.0,384.0,12.0,21.0,,
QC:quartz,AV0MgU74t6tne_r57y1C,AV0MgU74t6tne_r57y1C,AV0MgVHGt6tne_r57y5q,CODE_SMELL,squid:S1226,MAJOR,OPEN,,5,5,"misra,pitfall",2017-07-04 07:28:37,2017-07-04 07:28:37,,"Introduce a new variable instead of reusing the parameter ""startTime"".",QC:quartz:quartz/src/main/java/org/quartz/CronTrigger.java,440.0,440.0,12.0,21.0,,
QC:quartz,AV0MgU74t6tne_r57y1C,AV0MgU74t6tne_r57y1C,AV0MgVHGt6tne_r57y5r,CODE_SMELL,squid:S1226,MAJOR,OPEN,,5,5,"misra,pitfall",2017-07-04 07:28:37,2017-07-04 07:28:37,,"Introduce a new variable instead of reusing the parameter ""afterTime"".",QC:quartz:quartz/src/main/java/org/quartz/CronTrigger.java,647.0,647.0,12.0,21.0,,
