project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5bxxgZwiQcK4no,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,30,30,pitfall,2017-07-03 09:23:42,2017-07-03 09:23:42,,2 duplicated blocks of code must be removed.,QC:quickserver:examples/src/main/echowebserver/EchoWebServer.java,,,,,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5bxxgZwiQcK4np,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 09:23:42,2017-07-03 09:23:42,,Replace this use of System.out or System.err by a logger.,QC:quickserver:examples/src/main/echowebserver/EchoWebServer.java,42.0,42.0,4.0,14.0,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5bxxgZwiQcK4nq,CODE_SMELL,squid:S1125,MINOR,OPEN,,2,2,clumsy,2017-07-03 09:23:42,2017-07-03 09:23:42,,"Remove the literal ""true"" boolean value.",QC:quickserver:examples/src/main/echowebserver/EchoWebServer.java,37.0,37.0,35.0,39.0,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5bxxgZwiQcK4nr,CODE_SMELL,squid:S1197,MINOR,OPEN,,5,5,convention,2017-07-03 09:23:42,2017-07-03 09:23:42,,Move the array designator from the variable to the type.,QC:quickserver:examples/src/main/echowebserver/EchoWebServer.java,32.0,32.0,36.0,37.0,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5bxxgZwiQcK4ns,CODE_SMELL,squid:S1197,MINOR,OPEN,,5,5,convention,2017-07-03 09:23:42,2017-07-03 09:23:42,,Move the array designator from the variable to the type.,QC:quickserver:examples/src/main/echowebserver/EchoWebServer.java,36.0,36.0,15.0,16.0,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5bxxgZwiQcK4nt,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 09:23:42,2017-07-03 09:23:42,,Replace all tab characters in this file by sequences of white-spaces.,QC:quickserver:examples/src/main/echowebserver/EchoWebServer.java,,,,,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5bxxgZwiQcK4nu,CODE_SMELL,squid:UselessImportCheck,MINOR,OPEN,,2,2,unused,2017-07-03 09:23:42,2017-07-03 09:23:42,,Remove this unused import 'java.util.StringTokenizer'.,QC:quickserver:examples/src/main/echowebserver/EchoWebServer.java,18.0,18.0,0.0,33.0,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5bxxgZwiQcK4nv,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 09:23:42,2017-07-03 09:23:42,,Replace all tab characters in this file by sequences of white-spaces.,QC:quickserver:examples/src/main/echowebserver/PrepareHook.java,,,,,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5bxxgZwiQcK4nw,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,redundant,unused",2017-07-03 09:23:42,2017-07-03 09:23:42,,Remove the declaration of thrown exception 'java.net.SocketTimeoutException' which is a subclass of 'java.io.IOException'.,QC:quickserver:examples/src/main/echowebserver/EchoWSCommandHandler.java,57.0,57.0,10.0,32.0,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5bxxgZwiQcK4nx,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,redundant,unused",2017-07-03 09:23:42,2017-07-03 09:23:42,,Remove the declaration of thrown exception 'java.net.SocketTimeoutException' which is a subclass of 'java.io.IOException'.,QC:quickserver:examples/src/main/echowebserver/EchoWSCommandHandler.java,71.0,71.0,10.0,32.0,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5bxxgZwiQcK4ny,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 09:23:42,2017-07-03 09:23:42,,Replace all tab characters in this file by sequences of white-spaces.,QC:quickserver:examples/src/main/echowebserver/EchoWSCommandHandler.java,,,,,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5bxxgZwiQcK4nz,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,performance,2017-07-03 09:23:42,2017-07-03 09:23:42,,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",QC:quickserver:examples/src/main/echowebserver/EchoWSCommandHandler.java,34.0,34.0,2.0,14.0,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5bxxgZwiQcK4n0,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,performance,2017-07-03 09:23:42,2017-07-03 09:23:42,,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",QC:quickserver:examples/src/main/echowebserver/EchoWSCommandHandler.java,86.0,86.0,2.0,14.0,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5bxxgZwiQcK4n1,CODE_SMELL,squid:S1312,MINOR,OPEN,,5,5,convention,2017-07-03 09:23:42,2017-07-03 09:23:42,,"Make the ""logger"" logger private static final and rename it to comply with the format ""LOG(?:GER)?"".",QC:quickserver:examples/src/main/echowebserver/EchoWSCommandHandler.java,27.0,27.0,23.0,29.0,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5rxxgZwiQcK4n2,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,30,30,pitfall,2017-07-03 09:23:42,2017-07-03 09:23:42,,2 duplicated blocks of code must be removed.,QC:quickserver:examples/src/main/echowebserver/EchoWSData.java,,,,,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5rxxgZwiQcK4n3,CODE_SMELL,squid:S1126,MINOR,OPEN,,2,2,clumsy,2017-07-03 09:23:42,2017-07-03 09:23:42,,Replace this if-then-else statement by a single return statement.,QC:quickserver:examples/src/main/echowebserver/EchoWSData.java,171.0,171.0,4.0,6.0,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5rxxgZwiQcK4n4,CODE_SMELL,squid:S1226,MAJOR,OPEN,,5,5,"misra,pitfall",2017-07-03 09:23:42,2017-07-03 09:23:42,,"Introduce a new variable instead of reusing the parameter ""obj"".",QC:quickserver:examples/src/main/echowebserver/EchoWSData.java,168.0,168.0,4.0,7.0,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5rxxgZwiQcK4n5,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-03 09:23:42,2017-07-03 09:23:42,,Either log or rethrow this exception.,QC:quickserver:examples/src/main/echowebserver/EchoWSData.java,138.0,138.0,10.0,21.0,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5rxxgZwiQcK4n6,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 09:23:42,2017-07-03 09:23:42,,Replace all tab characters in this file by sequences of white-spaces.,QC:quickserver:examples/src/main/echowebserver/EchoWSData.java,,,,,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5rxxgZwiQcK4n7,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 09:23:42,2017-07-03 09:23:42,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:quickserver:examples/src/main/echowebserver/EchoWSData.java,101.0,101.0,0.0,41.0,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5rxxgZwiQcK4n8,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 09:23:42,2017-07-03 09:23:42,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:quickserver:examples/src/main/echowebserver/EchoWSData.java,107.0,107.0,0.0,41.0,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5rxxgZwiQcK4n9,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 09:23:42,2017-07-03 09:23:42,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:quickserver:examples/src/main/echowebserver/EchoWSData.java,166.0,166.0,0.0,26.0,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5rxxgZwiQcK4n-,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,performance,2017-07-03 09:23:42,2017-07-03 09:23:42,,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",QC:quickserver:examples/src/main/echowebserver/EchoWSData.java,34.0,34.0,9.0,21.0,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5rxxgZwiQcK4n_,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,performance,2017-07-03 09:23:42,2017-07-03 09:23:42,,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",QC:quickserver:examples/src/main/echowebserver/EchoWSData.java,35.0,35.0,9.0,21.0,,
QC:quickserver,AV0HxFwZxxgZwiQcK4kR,AV0HxFwZxxgZwiQcK4kR,AV0HxF5rxxgZwiQcK4oA,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,performance,2017-07-03 09:23:42,2017-07-03 09:23:42,,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",QC:quickserver:examples/src/main/echowebserver/EchoWSData.java,75.0,75.0,2.0,14.0,,
