project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xX,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 09:25:02,2017-07-03 09:25:02,,Replace this use of System.out or System.err by a logger.,QC:quilt:src/java/org/quilt/graph/Directed.java,170.0,170.0,12.0,22.0,,
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xY,CODE_SMELL,squid:HiddenFieldCheck,MAJOR,OPEN,,5,5,"cert,pitfall",2017-07-03 09:25:02,2017-07-03 09:25:02,,"Rename ""depth"" which hides the field declared at line 41.",QC:quilt:src/java/org/quilt/graph/Directed.java,199.0,199.0,16.0,21.0,,
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xZ,CODE_SMELL,squid:ModifiersOrderCheck,MINOR,OPEN,,2,2,convention,2017-07-03 09:25:02,2017-07-03 09:25:02,,Reorder the modifiers to comply with the Java Language Specification.,QC:quilt:src/java/org/quilt/graph/Directed.java,92.0,92.0,10.0,16.0,,
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xa,CODE_SMELL,squid:ModifiersOrderCheck,MINOR,OPEN,,2,2,convention,2017-07-03 09:25:02,2017-07-03 09:25:02,,Reorder the modifiers to comply with the Java Language Specification.,QC:quilt:src/java/org/quilt/graph/Directed.java,165.0,165.0,10.0,19.0,,
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xb,CODE_SMELL,squid:S1172,MAJOR,OPEN,,5,5,"cert,misra,unused",2017-07-03 09:25:02,2017-07-03 09:25:02,,"Remove this unused method parameter ""e"".",QC:quilt:src/java/org/quilt/graph/Directed.java,147.0,147.0,34.0,35.0,,
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xc,CODE_SMELL,squid:S1172,MAJOR,OPEN,,5,5,"cert,misra,unused",2017-07-03 09:25:02,2017-07-03 09:25:02,,"Remove this unused method parameter ""v"".",QC:quilt:src/java/org/quilt/graph/Directed.java,154.0,154.0,37.0,38.0,,
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xd,CODE_SMELL,squid:S1186,MAJOR,OPEN,,5,5,suspicious,2017-07-03 09:25:02,2017-07-03 09:25:02,,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",QC:quilt:src/java/org/quilt/graph/Directed.java,205.0,205.0,20.0,31.0,,
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xe,CODE_SMELL,squid:S1186,MAJOR,OPEN,,5,5,suspicious,2017-07-03 09:25:02,2017-07-03 09:25:02,,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",QC:quilt:src/java/org/quilt/graph/Directed.java,210.0,210.0,20.0,32.0,,
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xf,CODE_SMELL,squid:S1186,MAJOR,OPEN,,5,5,suspicious,2017-07-03 09:25:02,2017-07-03 09:25:02,,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",QC:quilt:src/java/org/quilt/graph/Directed.java,215.0,215.0,20.0,30.0,,
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xg,CODE_SMELL,squid:S1186,MAJOR,OPEN,,5,5,suspicious,2017-07-03 09:25:02,2017-07-03 09:25:02,,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",QC:quilt:src/java/org/quilt/graph/Directed.java,195.0,195.0,15.0,20.0,,
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xh,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 09:25:02,2017-07-03 09:25:02,,Move this constructor to comply with Java Code Conventions.,QC:quilt:src/java/org/quilt/graph/Directed.java,76.0,76.0,14.0,22.0,,
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xi,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-03 09:25:02,2017-07-03 09:25:02,,"Rename this field ""parent_"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:quilt:src/java/org/quilt/graph/Directed.java,40.0,40.0,21.0,28.0,,
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xj,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 09:25:02,2017-07-03 09:25:02,,This block of commented-out lines of code should be removed.,QC:quilt:src/java/org/quilt/graph/Directed.java,99.0,99.0,0.0,45.0,,
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xk,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 09:25:02,2017-07-03 09:25:02,,This block of commented-out lines of code should be removed.,QC:quilt:src/java/org/quilt/graph/Directed.java,243.0,243.0,0.0,40.0,,
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xl,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 09:25:02,2017-07-03 09:25:02,,This block of commented-out lines of code should be removed.,QC:quilt:src/java/org/quilt/graph/Directed.java,255.0,255.0,0.0,47.0,,
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xm,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 09:25:02,2017-07-03 09:25:02,,This block of commented-out lines of code should be removed.,QC:quilt:src/java/org/quilt/graph/Directed.java,257.0,257.0,0.0,72.0,,
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xn,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 09:25:02,2017-07-03 09:25:02,,This block of commented-out lines of code should be removed.,QC:quilt:src/java/org/quilt/graph/Directed.java,265.0,265.0,0.0,69.0,,
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xo,CODE_SMELL,code_smells:antisingleton,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 09:25:02,2017-07-03 09:25:02,,Anti-singleton,QC:quilt:src/java/org/quilt/graph/Directed.java,1.0,1.0,0.0,19.0,,
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xp,CODE_SMELL,code_smells:long_parameter_list,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 09:25:02,2017-07-03 09:25:02,,Long parameter list,QC:quilt:src/java/org/quilt/graph/Directed.java,1.0,1.0,0.0,19.0,,
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xq,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,20,20,pitfall,2017-07-03 09:25:02,2017-07-03 09:25:02,,1 duplicated blocks of code must be removed.,QC:quilt:src/java/org/quilt/graph/MultiConnector.java,,,,,,
QC:quilt,AV0HyKa0xxgZwiQcK-va,AV0HyKa0xxgZwiQcK-va,AV0HyKgbxxgZwiQcK-xr,CODE_SMELL,squid:HiddenFieldCheck,MAJOR,OPEN,,5,5,"cert,pitfall",2017-07-03 09:25:02,2017-07-03 09:25:02,,"Rename ""source"" which hides the field declared at line 18.",QC:quilt:src/java/org/quilt/graph/MultiConnector.java,29.0,29.0,15.0,21.0,,
