project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vMxxgZwiQcLA45,CODE_SMELL,squid:S1141,MAJOR,OPEN,,20,20,confusing,2017-07-03 09:30:16,2017-07-03 09:30:16,,Extract this nested try block into a separate method.,QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/TechnoratiRankingsTask.java,53.0,53.0,12.0,15.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vMxxgZwiQcLA46,CODE_SMELL,squid:S1141,MAJOR,OPEN,,20,20,confusing,2017-07-03 09:30:16,2017-07-03 09:30:16,,Extract this nested try block into a separate method.,QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/TechnoratiRankingsTask.java,91.0,91.0,24.0,27.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vMxxgZwiQcLA47,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-03 09:30:16,2017-07-03 09:30:16,,Either log or rethrow this exception.,QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/TechnoratiRankingsTask.java,61.0,61.0,21.0,34.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vMxxgZwiQcLA48,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-03 09:30:16,2017-07-03 09:30:16,,Either log or rethrow this exception.,QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/TechnoratiRankingsTask.java,111.0,111.0,33.0,44.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vMxxgZwiQcLA49,CODE_SMELL,squid:S1312,MINOR,OPEN,,5,5,convention,2017-07-03 09:30:16,2017-07-03 09:30:16,,"Make the ""log"" logger private static final and rename it to comply with the format ""LOG(?:GER)?"".",QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/TechnoratiRankingsTask.java,40.0,40.0,23.0,26.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vMxxgZwiQcLA4-,CODE_SMELL,squid:S134,MAJOR,OPEN,,10,10,brain-overload,2017-07-03 09:30:16,2017-07-03 09:30:16,,Refactor this code to not nest more than 3 if/for/while/switch/try statements.,QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/TechnoratiRankingsTask.java,90.0,90.0,20.0,22.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vMxxgZwiQcLA4_,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 09:30:16,2017-07-03 09:30:16,,Long method,QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/TechnoratiRankingsTask.java,1.0,1.0,0.0,2.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vcxxgZwiQcLA5A,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 09:30:16,2017-07-03 09:30:16,,Complete the task associated to this TODO comment.,QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/GeneratePlanetTask.java,86.0,86.0,0.0,73.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vcxxgZwiQcLA5B,CODE_SMELL,squid:S1481,MAJOR,OPEN,,5,5,unused,2017-07-03 09:30:16,2017-07-03 09:30:16,,"Remove this unused ""planetManager"" local variable.",QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/GeneratePlanetTask.java,55.0,55.0,26.0,39.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vcxxgZwiQcLA5C,CODE_SMELL,squid:S1596,MAJOR,OPEN,,2,2,"obsolete,pitfall",2017-07-03 09:30:16,2017-07-03 09:30:16,,"Replace ""Collections.EMPTY_LIST"" by ""Collections.emptyList()"".",QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/GeneratePlanetTask.java,95.0,95.0,26.0,48.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vcxxgZwiQcLA5D,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 09:30:16,2017-07-03 09:30:16,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/GeneratePlanetTask.java,93.0,93.0,0.0,62.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vcxxgZwiQcLA5E,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 09:30:16,2017-07-03 09:30:16,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/GeneratePlanetTask.java,102.0,102.0,0.0,58.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vcxxgZwiQcLA5F,CODE_SMELL,squid:S1312,MINOR,OPEN,,5,5,convention,2017-07-03 09:30:16,2017-07-03 09:30:16,,"Make the ""log"" logger private static final and rename it to comply with the format ""LOG(?:GER)?"".",QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/GeneratePlanetTask.java,49.0,49.0,23.0,26.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vcxxgZwiQcLA5G,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 09:30:16,2017-07-03 09:30:16,,This block of commented-out lines of code should be removed.,QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/GeneratePlanetTask.java,33.0,33.0,0.0,47.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vcxxgZwiQcLA5H,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 09:30:16,2017-07-03 09:30:16,,This block of commented-out lines of code should be removed.,QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/GeneratePlanetTask.java,58.0,58.0,0.0,79.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vcxxgZwiQcLA5I,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 09:30:16,2017-07-03 09:30:16,,This block of commented-out lines of code should be removed.,QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/GeneratePlanetTask.java,87.0,87.0,0.0,57.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vcxxgZwiQcLA5J,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 09:30:16,2017-07-03 09:30:16,,This block of commented-out lines of code should be removed.,QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/GeneratePlanetTask.java,97.0,97.0,0.0,60.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vcxxgZwiQcLA5K,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 09:30:16,2017-07-03 09:30:16,,Long method,QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/GeneratePlanetTask.java,1.0,1.0,0.0,2.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vcxxgZwiQcLA5L,CODE_SMELL,squid:S00112,MAJOR,OPEN,,20,20,"cert,cwe,error-handling",2017-07-03 09:30:16,2017-07-03 09:30:16,,Define and throw a dedicated exception instead of using a generic one.,QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/PlanetTask.java,35.0,35.0,36.0,45.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vcxxgZwiQcLA5M,CODE_SMELL,squid:UselessImportCheck,MINOR,OPEN,,2,2,unused,2017-07-03 09:30:16,2017-07-03 09:30:16,,Remove this unused import 'org.apache.roller.planet.business.PlanetFactory'.,QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/PlanetTask.java,22.0,22.0,0.0,55.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vcxxgZwiQcLA5N,CODE_SMELL,squid:UselessImportCheck,MINOR,OPEN,,2,2,unused,2017-07-03 09:30:16,2017-07-03 09:30:16,,Remove this unused import 'org.apache.roller.planet.business.URLStrategy'.,QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/PlanetTask.java,23.0,23.0,0.0,53.0,,
QC:roller,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_SoxxgZwiQcLAsq,AV0Hy_vcxxgZwiQcLA5O,CODE_SMELL,squid:UselessImportCheck,MINOR,OPEN,,2,2,unused,2017-07-03 09:30:16,2017-07-03 09:30:16,,Remove this unused import 'org.apache.roller.planet.config.PlanetConfig'.,QC:roller:planet-business/src/main/java/org/apache/roller/planet/tasks/PlanetTask.java,24.0,24.0,0.0,52.0,,
