project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:rssowl,AV0HzzLtxxgZwiQcLDS2,AV0HzzLtxxgZwiQcLDS2,AV0HzzuYxxgZwiQcLDeZ,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,20,20,pitfall,2017-07-03 09:33:33,2017-07-03 09:33:33,,1 duplicated blocks of code must be removed.,QC:rssowl:org.rssowl.ui/src/org/rssowl/ui/internal/dialogs/importer/ImportSourcePage.java,,,,,,
QC:rssowl,AV0HzzLtxxgZwiQcLDS2,AV0HzzLtxxgZwiQcLDS2,AV0HzzuYxxgZwiQcLDea,CODE_SMELL,squid:MethodCyclomaticComplexity,MAJOR,OPEN,,13,13,brain-overload,2017-07-03 09:33:33,2017-07-03 09:33:33,,"The Cyclomatic Complexity of this method ""updatePageComplete"" is 13 which is greater than 10 authorized.",QC:rssowl:org.rssowl.ui/src/org/rssowl/ui/internal/dialogs/importer/ImportSourcePage.java,419.0,419.0,15.0,33.0,,
QC:rssowl,AV0HzzLtxxgZwiQcLDS2,AV0HzzLtxxgZwiQcLDS2,AV0HzzuYxxgZwiQcLDeb,CODE_SMELL,squid:S134,MAJOR,OPEN,,10,10,brain-overload,2017-07-03 09:33:33,2017-07-03 09:33:33,,Refactor this code to not nest more than 3 if/for/while/switch/try statements.,QC:rssowl:org.rssowl.ui/src/org/rssowl/ui/internal/dialogs/importer/ImportSourcePage.java,446.0,446.0,10.0,12.0,,
QC:rssowl,AV0HzzLtxxgZwiQcLDS2,AV0HzzLtxxgZwiQcLDS2,AV0HzzuYxxgZwiQcLDec,CODE_SMELL,code_smells:complex_class,MINOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 09:33:33,2017-07-03 09:33:33,,Complex class,QC:rssowl:org.rssowl.ui/src/org/rssowl/ui/internal/dialogs/importer/ImportSourcePage.java,1.0,1.0,0.0,80.0,,
QC:rssowl,AV0HzzLtxxgZwiQcLDS2,AV0HzzLtxxgZwiQcLDS2,AV0HzzuYxxgZwiQcLDed,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 09:33:33,2017-07-03 09:33:33,,Long method,QC:rssowl:org.rssowl.ui/src/org/rssowl/ui/internal/dialogs/importer/ImportSourcePage.java,1.0,1.0,0.0,80.0,,
QC:rssowl,AV0HzzLtxxgZwiQcLDS2,AV0HzzLtxxgZwiQcLDS2,AV0HzzuYxxgZwiQcLDee,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 09:33:33,2017-07-03 09:33:33,,Long method,QC:rssowl:org.rssowl.ui/src/org/rssowl/ui/internal/dialogs/importer/ImportTargetPage.java,1.0,1.0,0.0,80.0,,
QC:rssowl,AV0HzzLtxxgZwiQcLDS2,AV0HzzLtxxgZwiQcLDS2,AV0HzzuYxxgZwiQcLDef,VULNERABILITY,squid:ClassVariableVisibilityCheck,MAJOR,OPEN,,10,10,cwe,2017-07-03 09:33:33,2017-07-03 09:33:33,,Make ImportElementsPage_BOOKMARKS a static final constant or non-public and provide accessors if needed.,QC:rssowl:org.rssowl.ui/src/org/rssowl/ui/internal/dialogs/importer/Messages.java,31.0,31.0,23.0,51.0,,
QC:rssowl,AV0HzzLtxxgZwiQcLDS2,AV0HzzLtxxgZwiQcLDS2,AV0HzzuYxxgZwiQcLDeg,VULNERABILITY,squid:ClassVariableVisibilityCheck,MAJOR,OPEN,,10,10,cwe,2017-07-03 09:33:33,2017-07-03 09:33:33,,Make ImportElementsPage_CANCEL_SEARCH a static final constant or non-public and provide accessors if needed.,QC:rssowl:org.rssowl.ui/src/org/rssowl/ui/internal/dialogs/importer/Messages.java,32.0,32.0,23.0,55.0,,
QC:rssowl,AV0HzzLtxxgZwiQcLDS2,AV0HzzLtxxgZwiQcLDS2,AV0HzzuYxxgZwiQcLDeh,VULNERABILITY,squid:ClassVariableVisibilityCheck,MAJOR,OPEN,,10,10,cwe,2017-07-03 09:33:33,2017-07-03 09:33:33,,Make ImportElementsPage_CHOOSE_ELEMENTS a static final constant or non-public and provide accessors if needed.,QC:rssowl:org.rssowl.ui/src/org/rssowl/ui/internal/dialogs/importer/Messages.java,33.0,33.0,23.0,57.0,,
QC:rssowl,AV0HzzLtxxgZwiQcLDS2,AV0HzzLtxxgZwiQcLDS2,AV0HzzunxxgZwiQcLDei,VULNERABILITY,squid:ClassVariableVisibilityCheck,MAJOR,OPEN,,10,10,cwe,2017-07-03 09:33:33,2017-07-03 09:33:33,,Make ImportElementsPage_CHOOSE_ELEMENTS_MESSAGE a static final constant or non-public and provide accessors if needed.,QC:rssowl:org.rssowl.ui/src/org/rssowl/ui/internal/dialogs/importer/Messages.java,34.0,34.0,23.0,65.0,,
QC:rssowl,AV0HzzLtxxgZwiQcLDS2,AV0HzzLtxxgZwiQcLDS2,AV0HzzunxxgZwiQcLDej,VULNERABILITY,squid:ClassVariableVisibilityCheck,MAJOR,OPEN,,10,10,cwe,2017-07-03 09:33:33,2017-07-03 09:33:33,,Make ImportElementsPage_CONNECTING a static final constant or non-public and provide accessors if needed.,QC:rssowl:org.rssowl.ui/src/org/rssowl/ui/internal/dialogs/importer/Messages.java,35.0,35.0,23.0,52.0,,
QC:rssowl,AV0HzzLtxxgZwiQcLDS2,AV0HzzLtxxgZwiQcLDS2,AV0HzzunxxgZwiQcLDek,VULNERABILITY,squid:ClassVariableVisibilityCheck,MAJOR,OPEN,,10,10,cwe,2017-07-03 09:33:33,2017-07-03 09:33:33,,Make ImportElementsPage_DESELECT_ALL a static final constant or non-public and provide accessors if needed.,QC:rssowl:org.rssowl.ui/src/org/rssowl/ui/internal/dialogs/importer/Messages.java,36.0,36.0,23.0,54.0,,
QC:rssowl,AV0HzzLtxxgZwiQcLDS2,AV0HzzLtxxgZwiQcLDS2,AV0HzzunxxgZwiQcLDel,VULNERABILITY,squid:ClassVariableVisibilityCheck,MAJOR,OPEN,,10,10,cwe,2017-07-03 09:33:33,2017-07-03 09:33:33,,Make ImportElementsPage_ENTER_GOOGLE_ACCOUNT a static final constant or non-public and provide accessors if needed.,QC:rssowl:org.rssowl.ui/src/org/rssowl/ui/internal/dialogs/importer/Messages.java,37.0,37.0,23.0,62.0,,
