project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:sablecc,AV0H0COmxxgZwiQcLFN7,AV0H0COmxxgZwiQcLFN7,AV0H0CfNxxgZwiQcLFts,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,30,30,pitfall,2017-07-03 09:36:49,2017-07-03 09:36:49,,2 duplicated blocks of code must be removed.,QC:sablecc:src/org/sablecc/sablecc/node/AStateListTail.java,,,,,,
QC:sablecc,AV0H0COmxxgZwiQcLFN7,AV0H0COmxxgZwiQcLFN7,AV0H0CaFxxgZwiQcLFep,CODE_SMELL,squid:S1197,MINOR,OPEN,,5,5,convention,2017-07-03 09:36:49,2017-07-03 09:36:49,,Move the array designator from the variable to the type.,QC:sablecc:src/org/sablecc/sablecc/InternalTransformationsToGrammar.java,154.0,154.0,17.0,18.0,,
QC:sablecc,AV0H0COmxxgZwiQcLFN7,AV0H0COmxxgZwiQcLFN7,AV0H0CfNxxgZwiQcLFtu,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-03 09:36:49,2017-07-03 09:36:49,,"Rename this field ""_id_"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:sablecc:src/org/sablecc/sablecc/node/AStateListTail.java,10.0,10.0,14.0,18.0,,
QC:sablecc,AV0H0COmxxgZwiQcLFN7,AV0H0COmxxgZwiQcLFN7,AV0H0CaFxxgZwiQcLFes,CODE_SMELL,squid:MethodCyclomaticComplexity,MAJOR,OPEN,,25,25,brain-overload,2017-07-03 09:36:49,2017-07-03 09:36:49,,"The Cyclomatic Complexity of this method ""caseAElem"" is 25 which is greater than 10 authorized.",QC:sablecc:src/org/sablecc/sablecc/InternalTransformationsToGrammar.java,267.0,267.0,14.0,23.0,,
QC:sablecc,AV0H0COmxxgZwiQcLFN7,AV0H0COmxxgZwiQcLFN7,AV0H0CfNxxgZwiQcLFtw,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-03 09:36:49,2017-07-03 09:36:49,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:sablecc:src/org/sablecc/sablecc/node/AStateListTail.java,17.0,17.0,8.0,12.0,,
QC:sablecc,AV0H0COmxxgZwiQcLFN7,AV0H0COmxxgZwiQcLFN7,AV0H0CaFxxgZwiQcLFeu,CODE_SMELL,squid:S1226,MAJOR,OPEN,,5,5,"misra,pitfall",2017-07-03 09:36:49,2017-07-03 09:36:49,,"Introduce a new variable instead of reusing the parameter ""nodeProdTransform"".",QC:sablecc:src/org/sablecc/sablecc/InternalTransformationsToGrammar.java,472.0,472.0,10.0,27.0,,
QC:sablecc,AV0H0COmxxgZwiQcLFN7,AV0H0COmxxgZwiQcLFN7,AV0H0CfNxxgZwiQcLFty,BUG,squid:S1182,MAJOR,OPEN,,20,20,"cert,cwe",2017-07-03 09:36:49,2017-07-03 09:36:49,,Use super.clone() to create and seed the cloned instance to be returned.,QC:sablecc:src/org/sablecc/sablecc/node/Start.java,23.0,23.0,16.0,21.0,,
QC:sablecc,AV0H0COmxxgZwiQcLFN7,AV0H0COmxxgZwiQcLFN7,AV0H0CaFxxgZwiQcLFew,CODE_SMELL,squid:S1188,MAJOR,OPEN,,20,20,java8,2017-07-03 09:36:49,2017-07-03 09:36:49,,"Reduce this anonymous class number of lines from 22 to at most 20, or make it a named class.",QC:sablecc:src/org/sablecc/sablecc/InternalTransformationsToGrammar.java,571.0,571.0,34.0,53.0,,
QC:sablecc,AV0H0COmxxgZwiQcLFN7,AV0H0COmxxgZwiQcLFN7,AV0H0CfcxxgZwiQcLFt0,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-03 09:36:49,2017-07-03 09:36:49,,"Rename this field ""_eof_"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:sablecc:src/org/sablecc/sablecc/node/Start.java,10.0,10.0,14.0,19.0,,
QC:sablecc,AV0H0COmxxgZwiQcLFN7,AV0H0COmxxgZwiQcLFN7,AV0H0CaFxxgZwiQcLFey,CODE_SMELL,squid:S1066,MAJOR,OPEN,,5,5,clumsy,2017-07-03 09:36:49,2017-07-03 09:36:49,,Merge this if statement with the enclosing one.,QC:sablecc:src/org/sablecc/sablecc/InternalTransformationsToGrammar.java,229.0,229.0,12.0,14.0,,
QC:sablecc,AV0H0COmxxgZwiQcLFN7,AV0H0COmxxgZwiQcLFN7,AV0H0CfcxxgZwiQcLFt2,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-03 09:36:49,2017-07-03 09:36:49,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:sablecc:src/org/sablecc/sablecc/node/Start.java,17.0,17.0,8.0,13.0,,
QC:sablecc,AV0H0COmxxgZwiQcLFN7,AV0H0COmxxgZwiQcLFN7,AV0H0CaFxxgZwiQcLFe0,CODE_SMELL,squid:S1068,MAJOR,OPEN,,5,5,"cert,unused",2017-07-03 09:36:49,2017-07-03 09:36:49,,"Remove this unused ""processingProdTransform"" private field.",QC:sablecc:src/org/sablecc/sablecc/InternalTransformationsToGrammar.java,33.0,33.0,18.0,41.0,,
QC:sablecc,AV0H0COmxxgZwiQcLFN7,AV0H0COmxxgZwiQcLFN7,AV0H0CfcxxgZwiQcLFt4,BUG,squid:S1182,MAJOR,OPEN,,20,20,"cert,cwe",2017-07-03 09:36:49,2017-07-03 09:36:49,,Use super.clone() to create and seed the cloned instance to be returned.,QC:sablecc:src/org/sablecc/sablecc/node/AElem.java,33.0,33.0,16.0,21.0,,
QC:sablecc,AV0H0COmxxgZwiQcLFN7,AV0H0COmxxgZwiQcLFN7,AV0H0CaFxxgZwiQcLFe1,CODE_SMELL,squid:S1481,MAJOR,OPEN,,5,5,unused,2017-07-03 09:36:49,2017-07-03 09:36:49,,"Remove this unused ""name_resolved"" local variable.",QC:sablecc:src/org/sablecc/sablecc/InternalTransformationsToGrammar.java,480.0,480.0,13.0,26.0,,
