project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:sandmark,AV0H08ctxxgZwiQcLGVt,AV0H08ctxxgZwiQcLGVt,AV0H09GtxxgZwiQcLHH1,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-07-03 09:38:01,2017-07-03 09:38:01,,Do not forget to remove this deprecated code someday.,QC:sandmark:src/sandmark/analysis/controlflowgraph/MethodCFG.java,128.0,128.0,18.0,27.0,,
QC:sandmark,AV0H08ctxxgZwiQcLGVt,AV0H08ctxxgZwiQcLGVt,AV0H09S6xxgZwiQcLH--,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 09:38:01,2017-07-03 09:38:01,,Complete the task associated to this TODO comment.,QC:sandmark:src/sandmark/watermark/steganography/Steganography.java,152.0,152.0,0.0,21.0,,
QC:sandmark,AV0H08ctxxgZwiQcLGVt,AV0H08ctxxgZwiQcLGVt,AV0H09kvxxgZwiQcLI3q,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 09:38:01,2017-07-03 09:38:01,,Complete the task associated to this TODO comment.,QC:sandmark:src/sandmark/util/graph/graphview/GraphPanel.java,337.0,337.0,0.0,74.0,,
QC:sandmark,AV0H08ctxxgZwiQcLGVt,AV0H08ctxxgZwiQcLGVt,AV0H09lOxxgZwiQcLI5J,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 09:38:01,2017-07-03 09:38:01,,Complete the task associated to this TODO comment.,QC:sandmark:src/sandmark/util/graph/graphview/LayeredDrawingLayout.java,305.0,305.0,0.0,65.0,,
QC:sandmark,AV0H08ctxxgZwiQcLGVt,AV0H08ctxxgZwiQcLGVt,AV0H09CjxxgZwiQcLG2t,CODE_SMELL,squid:S1197,MINOR,OPEN,,5,5,convention,2017-07-03 09:38:01,2017-07-03 09:38:01,,Move the array designator from the variable to the type.,QC:sandmark:src/sandmark/obfuscate/interleavemethods/InterleaveUtil.java,116.0,116.0,34.0,35.0,,
QC:sandmark,AV0H08ctxxgZwiQcLGVt,AV0H08ctxxgZwiQcLGVt,AV0H09CTxxgZwiQcLG0O,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 09:38:01,2017-07-03 09:38:01,,Replace all tab characters in this file by sequences of white-spaces.,QC:sandmark:src/sandmark/obfuscate/interleavemethods/InterleaveMethods.java,,,,,,
QC:sandmark,AV0H08ctxxgZwiQcLGVt,AV0H08ctxxgZwiQcLGVt,AV0H09CjxxgZwiQcLG2x,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 09:38:01,2017-07-03 09:38:01,,Replace all tab characters in this file by sequences of white-spaces.,QC:sandmark:src/sandmark/obfuscate/interleavemethods/InterleaveUtil.java,,,,,,
QC:sandmark,AV0H08ctxxgZwiQcLGVt,AV0H08ctxxgZwiQcLGVt,AV0H09CTxxgZwiQcLG0U,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-03 09:38:01,2017-07-03 09:38:01,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:sandmark:src/sandmark/obfuscate/interleavemethods/InterleaveMethods.java,178.0,178.0,46.0,47.0,,
QC:sandmark,AV0H08ctxxgZwiQcLGVt,AV0H08ctxxgZwiQcLGVt,AV0H09CTxxgZwiQcLG0V,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-03 09:38:01,2017-07-03 09:38:01,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:sandmark:src/sandmark/obfuscate/interleavemethods/InterleaveMethods.java,180.0,180.0,30.0,31.0,,
QC:sandmark,AV0H08ctxxgZwiQcLGVt,AV0H08ctxxgZwiQcLGVt,AV0H09CjxxgZwiQcLG2z,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-03 09:38:01,2017-07-03 09:38:01,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:sandmark:src/sandmark/obfuscate/interleavemethods/InterleaveUtil.java,13.0,13.0,54.0,55.0,,
