project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:squirrel_sql,AV0ITVFbxxgZwiQcLZQV,AV0ITVFbxxgZwiQcLZQV,AV0ITVJVxxgZwiQcLZRc,CODE_SMELL,squid:S1186,MAJOR,OPEN,,5,5,suspicious,2017-07-03 11:54:01,2017-07-03 11:54:01,,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",QC:squirrel_sql:src/net/sourceforge/squirrel_sql/plugins/graph/ConstraintViewAdapter.java,6.0,6.0,15.0,32.0,,
QC:squirrel_sql,AV0ITVFbxxgZwiQcLZQV,AV0ITVFbxxgZwiQcLZQV,AV0ITVJVxxgZwiQcLZRd,CODE_SMELL,squid:S1186,MAJOR,OPEN,,5,5,suspicious,2017-07-03 11:54:01,2017-07-03 11:54:01,,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",QC:squirrel_sql:src/net/sourceforge/squirrel_sql/plugins/graph/ConstraintViewAdapter.java,11.0,11.0,15.0,36.0,,
QC:squirrel_sql,AV0ITVFbxxgZwiQcLZQV,AV0ITVFbxxgZwiQcLZQV,AV0ITVJVxxgZwiQcLZRe,CODE_SMELL,squid:S00120,MINOR,OPEN,,10,10,convention,2017-07-03 11:54:01,2017-07-03 11:54:01,,Rename this package name to match the regular expression '^[a-z]+(\.[a-z][a-z0-9]*)*$'.,QC:squirrel_sql:src/net/sourceforge/squirrel_sql/plugins/graph/ConstraintViewAdapter.java,1.0,1.0,8.0,50.0,,
QC:squirrel_sql,AV0ITVFbxxgZwiQcLZQV,AV0ITVFbxxgZwiQcLZQV,AV0ITVJVxxgZwiQcLZRf,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-03 11:54:01,2017-07-03 11:54:01,,"Rename this field ""_txtColumns"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:squirrel_sql:src/net/sourceforge/squirrel_sql/plugins/graph/GraphTextAreaFactory.java,15.0,15.0,26.0,37.0,,
QC:squirrel_sql,AV0ITVFbxxgZwiQcLZQV,AV0ITVFbxxgZwiQcLZQV,AV0ITVJVxxgZwiQcLZRg,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-03 11:54:01,2017-07-03 11:54:01,,"Rename this field ""_txtZoomColumns"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:squirrel_sql:src/net/sourceforge/squirrel_sql/plugins/graph/GraphTextAreaFactory.java,16.0,16.0,34.0,49.0,,
QC:squirrel_sql,AV0ITVFbxxgZwiQcLZQV,AV0ITVFbxxgZwiQcLZQV,AV0ITVJVxxgZwiQcLZRh,CODE_SMELL,squid:S00120,MINOR,OPEN,,10,10,convention,2017-07-03 11:54:01,2017-07-03 11:54:01,,Rename this package name to match the regular expression '^[a-z]+(\.[a-z][a-z0-9]*)*$'.,QC:squirrel_sql:src/net/sourceforge/squirrel_sql/plugins/graph/GraphTextAreaFactory.java,1.0,1.0,8.0,50.0,,
QC:squirrel_sql,AV0ITVFbxxgZwiQcLZQV,AV0ITVFbxxgZwiQcLZQV,AV0ITVJVxxgZwiQcLZRi,CODE_SMELL,squid:UselessImportCheck,MINOR,OPEN,,2,2,unused,2017-07-03 11:54:01,2017-07-03 11:54:01,,Remove this unused import 'java.awt.event.InputEvent'.,QC:squirrel_sql:src/net/sourceforge/squirrel_sql/plugins/graph/GraphTextAreaFactory.java,11.0,11.0,0.0,33.0,,
QC:squirrel_sql,AV0ITVFbxxgZwiQcLZQV,AV0ITVFbxxgZwiQcLZQV,AV0ITVJVxxgZwiQcLZRj,CODE_SMELL,squid:UselessImportCheck,MINOR,OPEN,,2,2,unused,2017-07-03 11:54:01,2017-07-03 11:54:01,,Remove this unused import 'java.awt.dnd.DnDConstants'.,QC:squirrel_sql:src/net/sourceforge/squirrel_sql/plugins/graph/GraphTextAreaFactory.java,7.0,7.0,0.0,33.0,,
QC:squirrel_sql,AV0ITVFbxxgZwiQcLZQV,AV0ITVFbxxgZwiQcLZQV,AV0ITVJVxxgZwiQcLZRk,CODE_SMELL,squid:UselessImportCheck,MINOR,OPEN,,2,2,unused,2017-07-03 11:54:01,2017-07-03 11:54:01,,Remove this unused import 'java.awt.event.MouseEvent'.,QC:squirrel_sql:src/net/sourceforge/squirrel_sql/plugins/graph/GraphTextAreaFactory.java,10.0,10.0,0.0,33.0,,
QC:squirrel_sql,AV0ITVFbxxgZwiQcLZQV,AV0ITVFbxxgZwiQcLZQV,AV0ITVJVxxgZwiQcLZRl,CODE_SMELL,squid:UselessImportCheck,MINOR,OPEN,,2,2,unused,2017-07-03 11:54:01,2017-07-03 11:54:01,,Remove this unused import 'java.awt.event.MouseAdapter'.,QC:squirrel_sql:src/net/sourceforge/squirrel_sql/plugins/graph/GraphTextAreaFactory.java,9.0,9.0,0.0,35.0,,
