project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:struts,AV0IU_M6xxgZwiQcLZaW,AV0IU_M6xxgZwiQcLZaW,AV0IVBC1xxgZwiQcLaX5,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-03 11:55:17,2017-07-03 11:55:17,,"Define a constant instead of duplicating this literal ""location"" 3 times.",QC:struts:src/core/src/test/java/org/apache/struts2/dispatcher/ServletActionRedirectResultTest.java,57.0,57.0,22.0,32.0,,
QC:struts,AV0IU_M6xxgZwiQcLZaW,AV0IU_M6xxgZwiQcLZaW,AV0IVA6xxxgZwiQcLaJY,CODE_SMELL,code_smells:complex_class,MINOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 11:55:17,2017-07-03 11:55:17,,Complex class,QC:struts:src/core/src/main/java/org/apache/struts2/components/ServletUrlRenderer.java,1.0,1.0,0.0,2.0,,
QC:struts,AV0IU_M6xxgZwiQcLZaW,AV0IU_M6xxgZwiQcLZaW,AV0IVBC1xxgZwiQcLaX7,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-03 11:55:17,2017-07-03 11:55:17,,"Define a constant instead of duplicating this literal ""someNamespace"" 3 times.",QC:struts:src/core/src/test/java/org/apache/struts2/dispatcher/ServletActionRedirectResultTest.java,54.0,54.0,35.0,50.0,,
QC:struts,AV0IU_M6xxgZwiQcLZaW,AV0IU_M6xxgZwiQcLZaW,AV0IVA6xxxgZwiQcLaJb,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 11:55:17,2017-07-03 11:55:17,,Replace all tab characters in this file by sequences of white-spaces.,QC:struts:src/core/src/main/java/org/apache/struts2/components/ListUIBean.java,,,,,,
QC:struts,AV0IU_M6xxgZwiQcLZaW,AV0IU_M6xxgZwiQcLZaW,AV0IVBC1xxgZwiQcLaX9,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-03 11:55:17,2017-07-03 11:55:17,,"Define a constant instead of duplicating this literal ""param1"" 3 times.",QC:struts:src/core/src/test/java/org/apache/struts2/dispatcher/ServletActionRedirectResultTest.java,60.0,60.0,22.0,30.0,,
QC:struts,AV0IU_M6xxgZwiQcLZaW,AV0IU_M6xxgZwiQcLZaW,AV0IVA6xxxgZwiQcLaJe,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 11:55:17,2017-07-03 11:55:17,,Move this variable to comply with Java Code Conventions.,QC:struts:src/core/src/main/java/org/apache/struts2/components/ClosingUIBean.java,45.0,45.0,11.0,23.0,,
QC:struts,AV0IU_M6xxgZwiQcLZaW,AV0IU_M6xxgZwiQcLZaW,AV0IVBC1xxgZwiQcLaX_,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-03 11:55:17,2017-07-03 11:55:17,,"Define a constant instead of duplicating this literal ""prependServletContext"" 3 times.",QC:struts:src/core/src/test/java/org/apache/struts2/dispatcher/ServletActionRedirectResultTest.java,58.0,58.0,22.0,45.0,,
QC:struts,AV0IU_M6xxgZwiQcLZaW,AV0IU_M6xxgZwiQcLZaW,AV0IVA7BxxgZwiQcLaJg,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,40,40,pitfall,2017-07-03 11:55:17,2017-07-03 11:55:17,,3 duplicated blocks of code must be removed.,QC:struts:src/core/src/main/java/org/apache/struts2/components/DoubleListUIBean.java,,,,,,
QC:struts,AV0IU_M6xxgZwiQcLZaW,AV0IU_M6xxgZwiQcLZaW,AV0IVA7BxxgZwiQcLaJh,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 11:55:17,2017-07-03 11:55:17,,Complete the task associated to this TODO comment.,QC:struts:src/core/src/main/java/org/apache/struts2/components/DoubleListUIBean.java,546.0,546.0,0.0,51.0,,
QC:struts,AV0IU_M6xxgZwiQcLZaW,AV0IU_M6xxgZwiQcLZaW,AV0IVBC1xxgZwiQcLaYB,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-03 11:55:17,2017-07-03 11:55:17,,"Define a constant instead of duplicating this literal ""encode"" 3 times.",QC:struts:src/core/src/test/java/org/apache/struts2/dispatcher/ServletActionRedirectResultTest.java,55.0,55.0,22.0,30.0,,
QC:struts,AV0IU_M6xxgZwiQcLZaW,AV0IU_M6xxgZwiQcLZaW,AV0IVA7BxxgZwiQcLaJj,CODE_SMELL,squid:S1192,MINOR,OPEN,,10,10,design,2017-07-03 11:55:17,2017-07-03 11:55:17,,"Define a constant instead of duplicating this literal ""doubleNameValue"" 4 times.",QC:struts:src/core/src/main/java/org/apache/struts2/components/DoubleListUIBean.java,168.0,168.0,29.0,46.0,,
QC:struts,AV0IU_M6xxgZwiQcLZaW,AV0IU_M6xxgZwiQcLZaW,AV0IVBC1xxgZwiQcLaYD,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 11:55:17,2017-07-03 11:55:17,,Long method,QC:struts:src/core/src/test/java/org/apache/struts2/dispatcher/ServletActionRedirectResultTest.java,1.0,1.0,0.0,2.0,,
QC:struts,AV0IU_M6xxgZwiQcLZaW,AV0IU_M6xxgZwiQcLZaW,AV0IVA7BxxgZwiQcLaJm,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 11:55:17,2017-07-03 11:55:17,,This block of commented-out lines of code should be removed.,QC:struts:src/core/src/main/java/org/apache/struts2/components/DoubleListUIBean.java,98.0,98.0,0.0,35.0,,
