project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:sunflow,AV0IVhB6xxgZwiQcLcGD,AV0IVhB6xxgZwiQcLcGD,AV0IVhK8xxgZwiQcLcJE,CODE_SMELL,squid:S1226,MAJOR,OPEN,,5,5,"misra,pitfall",2017-07-03 12:01:43,2017-07-03 12:01:43,,"Introduce a new variable instead of reusing the parameter ""x"".",QC:sunflow:src/org/sunflow/core/filter/CatmullRomFilter.java,15.0,15.0,8.0,9.0,,
QC:sunflow,AV0IVhB6xxgZwiQcLcGD,AV0IVhB6xxgZwiQcLcGD,AV0IVhK8xxgZwiQcLcJF,CODE_SMELL,squid:S1226,MAJOR,OPEN,,5,5,"misra,pitfall",2017-07-03 12:01:43,2017-07-03 12:01:43,,"Introduce a new variable instead of reusing the parameter ""x"".",QC:sunflow:src/org/sunflow/core/filter/MitchellFilter.java,18.0,18.0,8.0,9.0,,
QC:sunflow,AV0IVhB6xxgZwiQcLcGD,AV0IVhB6xxgZwiQcLcGD,AV0IVhK8xxgZwiQcLcJG,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-03 12:01:43,2017-07-03 12:01:43,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:sunflow:src/org/sunflow/core/filter/MitchellFilter.java,15.0,15.0,20.0,21.0,,
QC:sunflow,AV0IVhB6xxgZwiQcLcGD,AV0IVhB6xxgZwiQcLcGD,AV0IVhK8xxgZwiQcLcJH,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-03 12:01:43,2017-07-03 12:01:43,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:sunflow:src/org/sunflow/core/filter/MitchellFilter.java,16.0,16.0,20.0,21.0,,
QC:sunflow,AV0IVhB6xxgZwiQcLcGD,AV0IVhB6xxgZwiQcLcGD,AV0IVhK8xxgZwiQcLcJI,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-03 12:01:43,2017-07-03 12:01:43,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:sunflow:src/org/sunflow/core/filter/MitchellFilter.java,17.0,17.0,20.0,25.0,,
QC:sunflow,AV0IVhB6xxgZwiQcLcGD,AV0IVhB6xxgZwiQcLcGD,AV0IVhK8xxgZwiQcLcJJ,CODE_SMELL,squid:S1226,MAJOR,OPEN,,5,5,"misra,pitfall",2017-07-03 12:01:43,2017-07-03 12:01:43,,"Introduce a new variable instead of reusing the parameter ""x"".",QC:sunflow:src/org/sunflow/core/filter/LanczosFilter.java,15.0,15.0,8.0,9.0,,
QC:sunflow,AV0IVhB6xxgZwiQcLcGD,AV0IVhB6xxgZwiQcLcGD,AV0IVhK8xxgZwiQcLcJK,CODE_SMELL,squid:S1226,MAJOR,OPEN,,5,5,"misra,pitfall",2017-07-03 12:01:43,2017-07-03 12:01:43,,"Introduce a new variable instead of reusing the parameter ""x"".",QC:sunflow:src/org/sunflow/core/filter/LanczosFilter.java,20.0,20.0,8.0,9.0,,
QC:sunflow,AV0IVhB6xxgZwiQcLcGD,AV0IVhB6xxgZwiQcLcGD,AV0IVhK8xxgZwiQcLcJL,CODE_SMELL,squid:S1226,MAJOR,OPEN,,5,5,"misra,pitfall",2017-07-03 12:01:43,2017-07-03 12:01:43,,"Introduce a new variable instead of reusing the parameter ""x"".",QC:sunflow:src/org/sunflow/core/filter/SincFilter.java,21.0,21.0,8.0,9.0,,
QC:sunflow,AV0IVhB6xxgZwiQcLcGD,AV0IVhB6xxgZwiQcLcGD,AV0IVhK8xxgZwiQcLcJM,CODE_SMELL,squid:S1226,MAJOR,OPEN,,5,5,"misra,pitfall",2017-07-03 12:01:43,2017-07-03 12:01:43,,"Introduce a new variable instead of reusing the parameter ""x"".",QC:sunflow:src/org/sunflow/core/filter/SincFilter.java,24.0,24.0,8.0,9.0,,
QC:sunflow,AV0IVhB6xxgZwiQcLcGD,AV0IVhB6xxgZwiQcLcGD,AV0IVhK8xxgZwiQcLcJN,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 12:01:43,2017-07-03 12:01:43,,"Move the ""box"" string literal on the left side of this string comparison.",QC:sunflow:src/org/sunflow/core/filter/FilterFactory.java,7.0,7.0,26.0,31.0,,
