project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:tapestry,AV0IXBQtxxgZwiQcLchW,AV0IXBQtxxgZwiQcLchW,AV0IXCJmxxgZwiQcLdFp,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-07-03 12:04:40,2017-07-03 12:04:40,,Do not forget to remove this deprecated code someday.,QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/PrimaryKeyEncoder.java,37.0,37.0,17.0,34.0,,
QC:tapestry,AV0IXBQtxxgZwiQcLchW,AV0IXBQtxxgZwiQcLchW,AV0IXCJmxxgZwiQcLdFq,CODE_SMELL,squid:MissingDeprecatedCheck,MAJOR,OPEN,,5,5,"bad-practice,obsolete",2017-07-03 12:04:40,2017-07-03 12:04:40,,Add the missing @Deprecated annotation.,QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/PrimaryKeyEncoder.java,37.0,37.0,17.0,34.0,,
QC:tapestry,AV0IXBQtxxgZwiQcLchW,AV0IXBQtxxgZwiQcLchW,AV0IXCJmxxgZwiQcLdFr,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 12:04:40,2017-07-03 12:04:40,,This block of commented-out lines of code should be removed.,QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/PrimaryKeyEncoder.java,3.0,3.0,0.0,66.0,,
QC:tapestry,AV0IXBQtxxgZwiQcLchW,AV0IXBQtxxgZwiQcLchW,AV0IXCJmxxgZwiQcLdFs,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 12:04:40,2017-07-03 12:04:40,,This block of commented-out lines of code should be removed.,QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/PropertyConduit.java,3.0,3.0,0.0,66.0,,
QC:tapestry,AV0IXBQtxxgZwiQcLchW,AV0IXBQtxxgZwiQcLchW,AV0IXCJ2xxgZwiQcLdFt,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 12:04:40,2017-07-03 12:04:40,,This block of commented-out lines of code should be removed.,QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/Translator.java,3.0,3.0,0.0,66.0,,
QC:tapestry,AV0IXBQtxxgZwiQcLchW,AV0IXBQtxxgZwiQcLchW,AV0IXCOuxxgZwiQcLdKS,CODE_SMELL,squid:S1312,MINOR,OPEN,,5,5,convention,2017-07-03 12:04:40,2017-07-03 12:04:40,,"Make the ""logger"" logger private static final and rename it to comply with the format ""LOG(?:GER)?"".",QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/corelib/components/FormInjector.java,115.0,115.0,19.0,25.0,,
QC:tapestry,AV0IXBQtxxgZwiQcLchW,AV0IXBQtxxgZwiQcLchW,AV0IXCJ2xxgZwiQcLdFv,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-07-03 12:04:40,2017-07-03 12:04:40,,Do not forget to remove this deprecated code someday.,QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/ComponentResourcesCommon.java,217.0,217.0,9.0,23.0,,
QC:tapestry,AV0IXBQtxxgZwiQcLchW,AV0IXBQtxxgZwiQcLchW,AV0IXCJ2xxgZwiQcLdFw,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-07-03 12:04:40,2017-07-03 12:04:40,,Do not forget to remove this deprecated code someday.,QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/ComponentResourcesCommon.java,233.0,233.0,9.0,23.0,,
QC:tapestry,AV0IXBQtxxgZwiQcLchW,AV0IXBQtxxgZwiQcLchW,AV0IXCJ2xxgZwiQcLdFx,CODE_SMELL,squid:MissingDeprecatedCheck,MAJOR,OPEN,,5,5,"bad-practice,obsolete",2017-07-03 12:04:40,2017-07-03 12:04:40,,Add the missing @Deprecated annotation.,QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/ComponentResourcesCommon.java,187.0,187.0,9.0,25.0,,
QC:tapestry,AV0IXBQtxxgZwiQcLchW,AV0IXBQtxxgZwiQcLchW,AV0IXCJ2xxgZwiQcLdFy,CODE_SMELL,squid:MissingDeprecatedCheck,MAJOR,OPEN,,5,5,"bad-practice,obsolete",2017-07-03 12:04:40,2017-07-03 12:04:40,,Add the missing @Deprecated annotation.,QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/ComponentResourcesCommon.java,217.0,217.0,9.0,23.0,,
QC:tapestry,AV0IXBQtxxgZwiQcLchW,AV0IXBQtxxgZwiQcLchW,AV0IXCOuxxgZwiQcLdKV,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 12:04:40,2017-07-03 12:04:40,,Long method,QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/corelib/components/FormInjector.java,1.0,1.0,0.0,54.0,,
QC:tapestry,AV0IXBQtxxgZwiQcLchW,AV0IXBQtxxgZwiQcLchW,AV0IXCJ2xxgZwiQcLdF0,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 12:04:40,2017-07-03 12:04:40,,This block of commented-out lines of code should be removed.,QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/ComponentResourcesCommon.java,3.0,3.0,0.0,66.0,,
QC:tapestry,AV0IXBQtxxgZwiQcLchW,AV0IXBQtxxgZwiQcLchW,AV0IXCJ2xxgZwiQcLdF1,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 12:04:40,2017-07-03 12:04:40,,This block of commented-out lines of code should be removed.,QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/ClientElement.java,3.0,3.0,0.0,66.0,,
QC:tapestry,AV0IXBQtxxgZwiQcLchW,AV0IXBQtxxgZwiQcLchW,AV0IXCJ2xxgZwiQcLdF2,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 12:04:40,2017-07-03 12:04:40,,This block of commented-out lines of code should be removed.,QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/Asset.java,3.0,3.0,0.0,66.0,,
QC:tapestry,AV0IXBQtxxgZwiQcLchW,AV0IXBQtxxgZwiQcLchW,AV0IXCJ2xxgZwiQcLdF3,CODE_SMELL,squid:S1186,MAJOR,OPEN,,5,5,suspicious,2017-07-03 12:04:40,2017-07-03 12:04:40,,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/MarkupWriterAdapter.java,24.0,24.0,16.0,31.0,,
QC:tapestry,AV0IXBQtxxgZwiQcLchW,AV0IXBQtxxgZwiQcLchW,AV0IXCOuxxgZwiQcLdKY,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-07-03 12:04:40,2017-07-03 12:04:40,,Do not forget to remove this deprecated code someday.,QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/corelib/components/Form.java,80.0,80.0,31.0,38.0,,
QC:tapestry,AV0IXBQtxxgZwiQcLchW,AV0IXBQtxxgZwiQcLchW,AV0IXCJ2xxgZwiQcLdF5,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 12:04:40,2017-07-03 12:04:40,,This block of commented-out lines of code should be removed.,QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/MarkupWriterAdapter.java,3.0,3.0,0.0,66.0,,
QC:tapestry,AV0IXBQtxxgZwiQcLchW,AV0IXBQtxxgZwiQcLchW,AV0IXCJ2xxgZwiQcLdF6,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 12:04:40,2017-07-03 12:04:40,,This block of commented-out lines of code should be removed.,QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/SelectModel.java,3.0,3.0,0.0,66.0,,
