project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:trove,AV0KqmN1t6tne_r57fYN,AV0KqmN1t6tne_r57fYN,AV0KqmTct6tne_r57feS,CODE_SMELL,squid:S00108,MAJOR,OPEN,,5,5,suspicious,2017-07-03 22:55:01,2017-07-03 22:55:01,,Either remove or fill this block of code.,QC:trove:test/gnu/trove/TArrayListTest.java,57.0,57.0,51.0,52.0,,
QC:trove,AV0KqmN1t6tne_r57fYN,AV0KqmN1t6tne_r57fYN,AV0KqmTct6tne_r57feU,CODE_SMELL,squid:S1185,MINOR,OPEN,,2,2,"clumsy,redundant",2017-07-03 22:55:01,2017-07-03 22:55:01,,Remove this method to simply inherit it.,QC:trove:test/gnu/trove/TArrayListTest.java,26.0,26.0,16.0,24.0,,
QC:trove,AV0KqmN1t6tne_r57fYN,AV0KqmN1t6tne_r57fYN,AV0KqmTct6tne_r57feW,CODE_SMELL,code_smells:lazy_class,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 22:55:01,2017-07-03 22:55:01,,Lazy class,QC:trove:test/gnu/trove/PrimeFinderTest.java,1.0,1.0,0.0,79.0,,
QC:trove,AV0KqmN1t6tne_r57fYN,AV0KqmN1t6tne_r57fYN,AV0KqmTct6tne_r57fea,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 22:55:01,2017-07-03 22:55:01,,Replace this use of System.out or System.err by a logger.,QC:trove:test/gnu/trove/O2PHashMapTest.java,159.0,159.0,12.0,22.0,,
QC:trove,AV0KqmN1t6tne_r57fYN,AV0KqmN1t6tne_r57fYN,AV0KqmTct6tne_r57fec,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 22:55:01,2017-07-03 22:55:01,,Replace this use of System.out or System.err by a logger.,QC:trove:test/gnu/trove/O2PHashMapTest.java,243.0,243.0,8.0,18.0,,
QC:trove,AV0KqmN1t6tne_r57fYN,AV0KqmN1t6tne_r57fYN,AV0KqmTct6tne_r57feh,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 22:55:01,2017-07-03 22:55:01,,Replace this use of System.out or System.err by a logger.,QC:trove:test/gnu/trove/O2PHashMapTest.java,310.0,310.0,8.0,18.0,,
QC:trove,AV0KqmN1t6tne_r57fYN,AV0KqmN1t6tne_r57fYN,AV0KqmTct6tne_r57fej,CODE_SMELL,squid:S1126,MINOR,OPEN,,2,2,clumsy,2017-07-03 22:55:01,2017-07-03 22:55:01,,Replace this if-then-else statement by a single return statement.,QC:trove:test/gnu/trove/O2PHashMapTest.java,272.0,272.0,16.0,18.0,,
QC:trove,AV0KqmN1t6tne_r57fYN,AV0KqmN1t6tne_r57fYN,AV0KqmTct6tne_r57fel,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 22:55:01,2017-07-03 22:55:01,,"Move the ""{Two=22,One=11}"" string literal on the left side of this string comparison.",QC:trove:test/gnu/trove/O2PHashMapTest.java,351.0,351.0,28.0,45.0,,
QC:trove,AV0KqmN1t6tne_r57fYN,AV0KqmN1t6tne_r57fYN,AV0KqmTct6tne_r57fen,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-03 22:55:01,2017-07-03 22:55:01,,"Define a constant instead of duplicating this literal ""Start retain..."" 3 times.",QC:trove:test/gnu/trove/O2PHashMapTest.java,234.0,234.0,27.0,44.0,,
QC:trove,AV0KqmN1t6tne_r57fYN,AV0KqmN1t6tne_r57fYN,AV0KqmTct6tne_r57fep,CODE_SMELL,squid:S1192,MINOR,OPEN,,8,8,design,2017-07-03 22:55:01,2017-07-03 22:55:01,,"Define a constant instead of duplicating this literal ""... end retain"" 3 times.",QC:trove:test/gnu/trove/O2PHashMapTest.java,243.0,243.0,27.0,43.0,,
