project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfwAt6tne_r57e4F,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 22:22:54,2017-07-03 22:22:54,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:velocity:src/java/org/apache/velocity/runtime/parser/Parser.java,2807.0,2807.0,24.0,32.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfuSt6tne_r57eq7,CODE_SMELL,squid:AssignmentInSubExpressionCheck,MAJOR,OPEN,,5,5,"cert,cwe,misra,suspicious",2017-07-03 22:22:54,2017-07-03 22:22:54,,Extract the assignment out of this expression.,QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java,4697.0,4697.0,99.0,100.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfwAt6tne_r57e4H,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 22:22:54,2017-07-03 22:22:54,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:velocity:src/java/org/apache/velocity/runtime/parser/Parser.java,2817.0,2817.0,24.0,32.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfuSt6tne_r57eq9,VULNERABILITY,squid:S2386,CRITICAL,OPEN,,15,15,"cert,cwe,unpredictable",2017-07-03 22:22:54,2017-07-03 22:22:54,,"Make this member ""protected"".",QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java,4021.0,4021.0,29.0,47.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfwAt6tne_r57e4J,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 22:22:54,2017-07-03 22:22:54,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:velocity:src/java/org/apache/velocity/runtime/parser/Parser.java,2827.0,2827.0,24.0,32.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfuSt6tne_r57eq_,VULNERABILITY,squid:S2386,CRITICAL,OPEN,,15,15,"cert,cwe,unpredictable",2017-07-03 22:22:54,2017-07-03 22:22:54,,"Make this member ""protected"".",QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java,4038.0,4038.0,26.0,39.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfwAt6tne_r57e4L,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 22:22:54,2017-07-03 22:22:54,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:velocity:src/java/org/apache/velocity/runtime/parser/Parser.java,2838.0,2838.0,24.0,32.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfuSt6tne_r57erB,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-03 22:22:54,2017-07-03 22:22:54,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java,4264.0,4264.0,9.0,19.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfwAt6tne_r57e4N,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 22:22:54,2017-07-03 22:22:54,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:velocity:src/java/org/apache/velocity/runtime/parser/Parser.java,2848.0,2848.0,24.0,32.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfuSt6tne_r57erD,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-03 22:22:54,2017-07-03 22:22:54,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java,4266.0,4266.0,12.0,23.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfuSt6tne_r57erE,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-03 22:22:54,2017-07-03 22:22:54,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java,4267.0,4267.0,13.0,20.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfwAt6tne_r57e4P,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 22:22:54,2017-07-03 22:22:54,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:velocity:src/java/org/apache/velocity/runtime/parser/Parser.java,2864.0,2864.0,24.0,32.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfuSt6tne_r57erG,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 22:22:54,2017-07-03 22:22:54,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java,280.0,280.0,0.0,45.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfwAt6tne_r57e4S,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 22:22:54,2017-07-03 22:22:54,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:velocity:src/java/org/apache/velocity/runtime/parser/Parser.java,2897.0,2897.0,24.0,31.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfuSt6tne_r57erI,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 22:22:54,2017-07-03 22:22:54,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java,332.0,332.0,0.0,45.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfwAt6tne_r57e4U,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 22:22:54,2017-07-03 22:22:54,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:velocity:src/java/org/apache/velocity/runtime/parser/Parser.java,2923.0,2923.0,24.0,32.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfuSt6tne_r57erK,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 22:22:54,2017-07-03 22:22:54,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java,1052.0,1052.0,0.0,48.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfwAt6tne_r57e4W,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 22:22:54,2017-07-03 22:22:54,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:velocity:src/java/org/apache/velocity/runtime/parser/Parser.java,2933.0,2933.0,24.0,32.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfuSt6tne_r57erM,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 22:22:54,2017-07-03 22:22:54,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java,1095.0,1095.0,0.0,45.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfwAt6tne_r57e4Y,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 22:22:54,2017-07-03 22:22:54,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:velocity:src/java/org/apache/velocity/runtime/parser/Parser.java,2948.0,2948.0,24.0,32.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfuSt6tne_r57erO,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 22:22:54,2017-07-03 22:22:54,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java,1264.0,1264.0,0.0,45.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfwAt6tne_r57e4a,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 22:22:54,2017-07-03 22:22:54,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:velocity:src/java/org/apache/velocity/runtime/parser/Parser.java,2958.0,2958.0,24.0,32.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfuSt6tne_r57erQ,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 22:22:54,2017-07-03 22:22:54,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java,1812.0,1812.0,0.0,48.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfwAt6tne_r57e4c,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 22:22:54,2017-07-03 22:22:54,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:velocity:src/java/org/apache/velocity/runtime/parser/Parser.java,2968.0,2968.0,24.0,32.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfuSt6tne_r57erS,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 22:22:54,2017-07-03 22:22:54,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java,1858.0,1858.0,0.0,45.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfwAt6tne_r57e4e,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 22:22:54,2017-07-03 22:22:54,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:velocity:src/java/org/apache/velocity/runtime/parser/Parser.java,2978.0,2978.0,24.0,30.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfuSt6tne_r57erU,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 22:22:54,2017-07-03 22:22:54,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java,2201.0,2201.0,0.0,45.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfwAt6tne_r57e4g,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 22:22:54,2017-07-03 22:22:54,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:velocity:src/java/org/apache/velocity/runtime/parser/Parser.java,2999.0,2999.0,24.0,32.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfwAt6tne_r57e4h,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 22:22:54,2017-07-03 22:22:54,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:velocity:src/java/org/apache/velocity/runtime/parser/Parser.java,3009.0,3009.0,24.0,32.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfuSt6tne_r57erW,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 22:22:54,2017-07-03 22:22:54,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java,2365.0,2365.0,0.0,48.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfwAt6tne_r57e4j,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 22:22:54,2017-07-03 22:22:54,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:velocity:src/java/org/apache/velocity/runtime/parser/Parser.java,3050.0,3050.0,24.0,32.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfuSt6tne_r57erZ,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-03 22:22:54,2017-07-03 22:22:54,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java,2568.0,2568.0,0.0,48.0,,
QC:velocity,AV0Kqe1Kt6tne_r57eVa,AV0Kqe1Kt6tne_r57eVa,AV0KqfwAt6tne_r57e4l,CODE_SMELL,squid:S00100,MINOR,OPEN,,5,5,convention,2017-07-03 22:22:54,2017-07-03 22:22:54,,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:velocity:src/java/org/apache/velocity/runtime/parser/Parser.java,3060.0,3060.0,24.0,32.0,,
