project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:wct,AV0JJ3Zzt6tne_r563Cu,AV0JJ3Zzt6tne_r563Cu,AV0JJ3vit6tne_r563Ov,CODE_SMELL,squid:S1118,MAJOR,OPEN,,30,30,design,2017-07-03 15:50:00,2017-07-03 15:50:00,,Add a private constructor to hide the implicit public one.,QC:wct:WCTHarvestAgent/src/org/webcurator/core/common/Constants.java,22.0,22.0,19.0,28.0,,
QC:wct,AV0JJ3Zzt6tne_r563Cu,AV0JJ3Zzt6tne_r563Cu,AV0JJ3vxt6tne_r563Ow,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-03 15:50:00,2017-07-03 15:50:00,,Either log or rethrow this exception.,QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/schedule/HarvestAgentHeartBeatJob.java,52.0,52.0,12.0,32.0,,
QC:wct,AV0JJ3Zzt6tne_r563Cu,AV0JJ3Zzt6tne_r563Cu,AV0JJ3vxt6tne_r563Ox,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 15:50:00,2017-07-03 15:50:00,,Replace all tab characters in this file by sequences of white-spaces.,QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/schedule/HarvestAgentHeartBeatJob.java,,,,,,
QC:wct,AV0JJ3Zzt6tne_r563Cu,AV0JJ3Zzt6tne_r563Cu,AV0JJ3vxt6tne_r563Oy,CODE_SMELL,squid:S1118,MAJOR,OPEN,,30,30,design,2017-07-03 15:50:00,2017-07-03 15:50:00,,Add a private constructor to hide the implicit public one.,QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/schedule/SchedulerUtil.java,35.0,35.0,19.0,32.0,,
QC:wct,AV0JJ3Zzt6tne_r563Cu,AV0JJ3Zzt6tne_r563Cu,AV0JJ3vxt6tne_r563Oz,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 15:50:00,2017-07-03 15:50:00,,Replace all tab characters in this file by sequences of white-spaces.,QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/schedule/SchedulerUtil.java,,,,,,
QC:wct,AV0JJ3Zzt6tne_r563Cu,AV0JJ3Zzt6tne_r563Cu,AV0JJ3vxt6tne_r563O0,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 15:50:00,2017-07-03 15:50:00,,Long method,QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/schedule/SchedulerUtil.java,1.0,1.0,0.0,3.0,,
QC:wct,AV0JJ3Zzt6tne_r563Cu,AV0JJ3Zzt6tne_r563Cu,AV0JJ3vxt6tne_r563O1,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 15:50:00,2017-07-03 15:50:00,,Replace all tab characters in this file by sequences of white-spaces.,QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/schedule/HarvestCompleteJob.java,,,,,,
QC:wct,AV0JJ3Zzt6tne_r563Cu,AV0JJ3Zzt6tne_r563Cu,AV0JJ3vxt6tne_r563O2,CODE_SMELL,squid:S1312,MINOR,OPEN,,5,5,convention,2017-07-03 15:50:00,2017-07-03 15:50:00,,"Make the ""log"" logger private static final and rename it to comply with the format ""LOG(?:GER)?"".",QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/schedule/HarvestCompleteJob.java,47.0,47.0,16.0,19.0,,
QC:wct,AV0JJ3Zzt6tne_r563Cu,AV0JJ3Zzt6tne_r563Cu,AV0JJ3vxt6tne_r563O3,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 15:50:00,2017-07-03 15:50:00,,Long method,QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/schedule/HarvestCompleteJob.java,1.0,1.0,0.0,3.0,,
QC:wct,AV0JJ3Zzt6tne_r563Cu,AV0JJ3Zzt6tne_r563Cu,AV0JJ3vxt6tne_r563O4,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 15:50:00,2017-07-03 15:50:00,,Replace all tab characters in this file by sequences of white-spaces.,QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/schedule/HarvestCompleteConfig.java,,,,,,
QC:wct,AV0JJ3Zzt6tne_r563Cu,AV0JJ3Zzt6tne_r563Cu,AV0JJ3vxt6tne_r563O5,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 15:50:00,2017-07-03 15:50:00,,Replace all tab characters in this file by sequences of white-spaces.,QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/HarvestAgentSOAPService.java,,,,,,
QC:wct,AV0JJ3Zzt6tne_r563Cu,AV0JJ3Zzt6tne_r563Cu,AV0JJ3wBt6tne_r563O6,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 15:50:00,2017-07-03 15:50:00,,Replace all tab characters in this file by sequences of white-spaces.,QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/NotEmptyFileFilter.java,,,,,,
QC:wct,AV0JJ3Zzt6tne_r563Cu,AV0JJ3Zzt6tne_r563Cu,AV0JJ3wBt6tne_r563O7,CODE_SMELL,squid:UnusedPrivateMethod,MAJOR,OPEN,,5,5,"cert,unused",2017-07-03 15:50:00,2017-07-03 15:50:00,,"Remove this unused private ""createIndex"" method.",QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/HarvestAgentHeritrix.java,163.0,163.0,32.0,43.0,,
QC:wct,AV0JJ3Zzt6tne_r563Cu,AV0JJ3Zzt6tne_r563Cu,AV0JJ3wBt6tne_r563O8,CODE_SMELL,squid:S1141,MAJOR,OPEN,,20,20,confusing,2017-07-03 15:50:00,2017-07-03 15:50:00,,Extract this nested try block into a separate method.,QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/HarvestAgentHeritrix.java,608.0,608.0,12.0,15.0,,
QC:wct,AV0JJ3Zzt6tne_r563Cu,AV0JJ3Zzt6tne_r563Cu,AV0JJ3wBt6tne_r563O9,CODE_SMELL,squid:S1141,MAJOR,OPEN,,20,20,confusing,2017-07-03 15:50:00,2017-07-03 15:50:00,,Extract this nested try block into a separate method.,QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/HarvestAgentHeritrix.java,617.0,617.0,12.0,15.0,,
QC:wct,AV0JJ3Zzt6tne_r563Cu,AV0JJ3Zzt6tne_r563Cu,AV0JJ3wBt6tne_r563O-,CODE_SMELL,squid:MethodCyclomaticComplexity,MAJOR,OPEN,,13,13,brain-overload,2017-07-03 15:50:00,2017-07-03 15:50:00,,"The Cyclomatic Complexity of this method ""completeHarvest"" is 13 which is greater than 10 authorized.",QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/HarvestAgentHeritrix.java,214.0,214.0,15.0,30.0,,
