project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:webmail,AV0KjH2Ot6tne_r57d3I,AV0KjH2Ot6tne_r57d3I,AV0KjH8Ft6tne_r57d5S,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 22:09:58,2017-07-03 22:09:58,,Replace this use of System.out or System.err by a logger.,QC:webmail:src/org/bulbul/webmail/xmlresource/ResourceBase.java,138.0,138.0,5.0,15.0,,
QC:webmail,AV0KjH2Ot6tne_r57d3I,AV0KjH2Ot6tne_r57d3I,AV0KjH8Ft6tne_r57d5U,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,redundant,unused",2017-07-03 22:09:58,2017-07-03 22:09:58,,Remove the declaration of thrown exception 'java.util.MissingResourceException' which is a runtime exception.,QC:webmail:src/org/bulbul/webmail/xmlresource/ResourceBase.java,82.0,82.0,56.0,80.0,,
QC:webmail,AV0KjH2Ot6tne_r57d3I,AV0KjH2Ot6tne_r57d3I,AV0KjH8Ft6tne_r57d5W,CODE_SMELL,squid:S1132,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 22:09:58,2017-07-03 22:09:58,,"Move the ""#cdata-section"" string literal on the left side of this string comparison.",QC:webmail:src/org/bulbul/webmail/xmlresource/ResourceBase.java,160.0,160.0,38.0,54.0,,
QC:webmail,AV0KjH2Ot6tne_r57d3I,AV0KjH2Ot6tne_r57d3I,AV0KjH8Ft6tne_r57d5Y,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 22:09:58,2017-07-03 22:09:58,,Replace all tab characters in this file by sequences of white-spaces.,QC:webmail:src/org/bulbul/webmail/xmlresource/ResourceBase.java,,,,,,
QC:webmail,AV0KjH2Ot6tne_r57d3I,AV0KjH2Ot6tne_r57d3I,AV0KjH8Ft6tne_r57d5a,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,performance,2017-07-03 22:09:58,2017-07-03 22:09:58,,"Replace the synchronized class ""Hashtable"" by an unsynchronized one such as ""HashMap"".",QC:webmail:src/org/bulbul/webmail/xmlresource/ResourceBase.java,71.0,71.0,1.0,10.0,,
QC:webmail,AV0KjH2Ot6tne_r57d3I,AV0KjH2Ot6tne_r57d3I,AV0KjH8Ft6tne_r57d5b,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,performance,2017-07-03 22:09:58,2017-07-03 22:09:58,,"Replace the synchronized class ""Hashtable"" by an unsynchronized one such as ""HashMap"".",QC:webmail:src/org/bulbul/webmail/xmlresource/ResourceBase.java,142.0,142.0,44.0,53.0,,
QC:webmail,AV0KjH2Ot6tne_r57d3I,AV0KjH2Ot6tne_r57d3I,AV0KjH8Ft6tne_r57d5e,CODE_SMELL,squid:S00101,MINOR,OPEN,,5,5,convention,2017-07-03 22:09:58,2017-07-03 22:09:58,,Rename this class name to match the regular expression '^[A-Z][a-zA-Z0-9]*$'.,QC:webmail:src/org/bulbul/webmail/xmlresource/Resources_en_US.java,28.0,28.0,13.0,28.0,,
QC:webmail,AV0KjH2Ot6tne_r57d3I,AV0KjH2Ot6tne_r57d3I,AV0KjH8Ft6tne_r57d5g,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 22:09:58,2017-07-03 22:09:58,,Replace all tab characters in this file by sequences of white-spaces.,QC:webmail:src/org/bulbul/webmail/xmlresource/Resources.java,,,,,,
QC:webmail,AV0KjH2Ot6tne_r57d3I,AV0KjH2Ot6tne_r57d3I,AV0KjH8Ft6tne_r57d5i,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 22:09:58,2017-07-03 22:09:58,,Replace all tab characters in this file by sequences of white-spaces.,QC:webmail:src/org/bulbul/webmail/xmlresource/Resources_zh_TW.java,,,,,,
QC:webmail,AV0KjH2Ot6tne_r57d3I,AV0KjH2Ot6tne_r57d3I,AV0KjH8Vt6tne_r57d5k,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-03 22:09:58,2017-07-03 22:09:58,,Either log or rethrow this exception.,QC:webmail:src/org/webengruven/webmail/auth/OTPAuthDisplayMngr.java,69.0,69.0,15.0,35.0,,
QC:webmail,AV0KjH2Ot6tne_r57d3I,AV0KjH2Ot6tne_r57d3I,AV0KjH8Vt6tne_r57d5m,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-03 22:09:58,2017-07-03 22:09:58,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:webmail:src/org/webengruven/webmail/auth/OTPAuthDisplayMngr.java,64.0,64.0,34.0,42.0,,
